Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8183406113537119,0.01844429002789772,0.835647853827411,0.01591979190172275,0.8110718405511432,0.01819857275365589,0.8183406113537119,0.01844429002789772
Neural Network,NoScaler,SMOTE,0.8843685947191926,0.011719761330853085,0.8905651153354419,0.00986098500950794,0.8840797175005607,0.011475260387246156,0.8843685947191926,0.011719761330853085
Neural Network,NoScaler,RandomOverSampler,0.8817755690409467,0.010647922428401162,0.895141401087922,0.006172879367454928,0.8798806780926773,0.011470638559270586,0.8817755690409467,0.010647922428401162
Neural Network,NoScaler,BorderlineSMOTE,0.892914457369811,0.01383657693991065,0.9012827629068136,0.01388639901406918,0.8914967628799779,0.014257703059221995,0.892914457369811,0.01383657693991065
Neural Network,NoScaler,SVMSMOTE,0.8981172630199653,0.013805385281414345,0.909975413401774,0.017031717956129674,0.8943320642086896,0.017947994804779294,0.8981172630199653,0.013805385281414345
Neural Network,NoScaler,KMeansSMOTE,0.906002467858138,0.006929099430900866,0.9146090069003245,0.005149801020862843,0.9043768383973063,0.008596548299721462,0.906002467858138,0.006929099430900866
Neural Network,StandardScaler,NoOversampling,0.8227074235807861,0.020593582746815012,0.8334495370347634,0.028905504980007383,0.8204686990356065,0.019089596385667214,0.8227074235807861,0.020593582746815012
Neural Network,StandardScaler,SMOTE,0.9126277696014193,0.017600106284012033,0.9171177911529618,0.016148516880408265,0.9122576909637689,0.017702819385758878,0.9126277696014193,0.017600106284012033
Neural Network,StandardScaler,RandomOverSampler,0.9191034454950504,0.012293490967945332,0.9268362493742115,0.010344344129001043,0.918574128761849,0.013412057698427784,0.9191034454950504,0.012293490967945332
Neural Network,StandardScaler,BorderlineSMOTE,0.9235156549263118,0.007604492021101783,0.9272737239312786,0.005093800615705361,0.9225088604965869,0.008110356968614328,0.9235156549263118,0.007604492021101783
Neural Network,StandardScaler,SVMSMOTE,0.9216510921330408,0.006092179491866761,0.9269386648016491,0.005430100189430096,0.920984625565063,0.005500845300122645,0.9216510921330408,0.006092179491866761
Neural Network,StandardScaler,KMeansSMOTE,0.9278838116466984,0.01584709456914886,0.9348803602956242,0.012683255339890101,0.928245768055401,0.015609042838989057,0.9278838116466984,0.01584709456914886
Neural Network,RobustScaler,NoOversampling,0.8358078602620086,0.019838981120699643,0.848505955836937,0.025082600904748467,0.8401506126776832,0.025003067172795986,0.8358078602620086,0.019838981120699643
Neural Network,RobustScaler,SMOTE,0.9043345900284269,0.011961753731023404,0.9106055658045902,0.010512470413249191,0.9028029236712329,0.014094035742512218,0.9043345900284269,0.011961753731023404
Neural Network,RobustScaler,RandomOverSampler,0.9170292265612924,0.020913321638698003,0.9252821395020934,0.01854219477756579,0.915739761229269,0.02205186517138095,0.9170292265612924,0.020913321638698003
Neural Network,RobustScaler,BorderlineSMOTE,0.924807631566568,0.011740350831152666,0.9296410371197703,0.011209872357007922,0.9246470286164371,0.011835825177012364,0.924807631566568,0.011740350831152666
Neural Network,RobustScaler,SVMSMOTE,0.9227587422366792,0.004023733384134036,0.9295684544841618,0.004605161005869305,0.9223530277687436,0.004549758503149985,0.9227587422366792,0.004023733384134036
Neural Network,RobustScaler,KMeansSMOTE,0.9253114675795088,0.014145163448047334,0.9306386987717105,0.01224429730590946,0.9251049204490258,0.013963189921936087,0.9253114675795088,0.014145163448047334
Neural Network,QuantileTransformer,NoOversampling,0.8262008733624453,0.019411450454928262,0.8358232259851537,0.022721090916650668,0.8345081009541573,0.01620789231203786,0.8262008733624453,0.019411450454928262
Neural Network,QuantileTransformer,SMOTE,0.9089988105078527,0.013516176156362223,0.9147600371323256,0.011896187856383146,0.9081518442936709,0.01443376700739363,0.9089988105078527,0.013516176156362223
Neural Network,QuantileTransformer,RandomOverSampler,0.9318088344993043,0.012628341383957674,0.9372152559404417,0.01051352769987653,0.9316571765993521,0.012889512454598866,0.9318088344993043,0.012628341383957674
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9333655907474985,0.007425097602613668,0.9377010335708313,0.007381669113362965,0.9325792883550174,0.007545446545182012,0.9333655907474985,0.007425097602613668
Neural Network,QuantileTransformer,SVMSMOTE,0.9252449205564686,0.01321781428117248,0.9343391160885636,0.00503955376010342,0.9256323869468173,0.01215017019861665,0.9252449205564686,0.01321781428117248
Neural Network,QuantileTransformer,KMeansSMOTE,0.93071886319309,0.010600395794419962,0.9348260055142671,0.009660096084078066,0.930491130163918,0.010612136267218545,0.93071886319309,0.010600395794419962
