Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8615720524017467,0.00909199249504671,0.8632705322494487,0.012802868369836164,0.8544994817878384,0.007384336310648699,0.8615720524017467,0.00909199249504671
Neural Network,NoScaler,SMOTE,0.9054961235505987,0.007241201207598829,0.9088602676804441,0.005635197906853545,0.9050077785800779,0.006653651790590459,0.9054961235505987,0.007241201207598829
Neural Network,NoScaler,RandomOverSampler,0.8977177003690006,0.018928629746673423,0.9061255428531,0.014489955052176666,0.8954102650700015,0.02008380166102826,0.8977177003690006,0.018928629746673423
Neural Network,NoScaler,BorderlineSMOTE,0.911137137341116,0.010742934266772038,0.9155073588928703,0.008475098948854108,0.9098817698878546,0.011006966808288518,0.911137137341116,0.010742934266772038
Neural Network,NoScaler,SVMSMOTE,0.9176356565471464,0.009957012796354067,0.9256895938661096,0.007916026654776594,0.9153503548287596,0.010927760876938435,0.9176356565471464,0.009957012796354067
Neural Network,NoScaler,KMeansSMOTE,0.9158495522749348,0.011693586452628434,0.9250615109603281,0.009715555746869345,0.9148047386909542,0.012586488035499466,0.9158495522749348,0.011693586452628434
Neural Network,StandardScaler,NoOversampling,0.900873362445415,0.007669942388755602,0.9019244052245605,0.009032788536116837,0.8952589138821198,0.008684223637857312,0.900873362445415,0.007669942388755602
Neural Network,StandardScaler,SMOTE,0.9338857243093976,0.006902790958980734,0.9378068200446575,0.0059440357328476145,0.9337546547235795,0.006946957714118774,0.9338857243093976,0.006902790958980734
Neural Network,StandardScaler,RandomOverSampler,0.9368032133407421,0.0021494949479734364,0.9406399944100443,0.0011682447258150616,0.9361547726804378,0.0020555286900337086,0.9368032133407421,0.0021494949479734364
Neural Network,StandardScaler,BorderlineSMOTE,0.9494418774178571,0.00544108582116214,0.9514644518910653,0.0047620222494248006,0.94858165630614,0.005792839721756839,0.9494418774178571,0.00544108582116214
Neural Network,StandardScaler,SVMSMOTE,0.9440063910238216,0.010002926196998725,0.9481321551267257,0.008234847676944016,0.9439000167325652,0.009504566257485081,0.9440063910238216,0.010002926196998725
Neural Network,StandardScaler,KMeansSMOTE,0.9452747685004323,0.005389472677800099,0.9496714593681599,0.003233072470614459,0.9452975882246399,0.0052379610947495886,0.9452747685004323,0.005389472677800099
Neural Network,RobustScaler,NoOversampling,0.8984716157205239,0.01069646175887849,0.9009974789431396,0.011381082400340782,0.894716379061433,0.010202568105047908,0.8984716157205239,0.01069646175887849
Neural Network,RobustScaler,SMOTE,0.9293487922136989,0.00575550760717558,0.9339871354199341,0.004981882999003955,0.9288524738138774,0.005561124321749278,0.9293487922136989,0.00575550760717558
Neural Network,RobustScaler,RandomOverSampler,0.9351833921374408,0.005790364046826013,0.9402864048319145,0.006366600058647278,0.934319195642427,0.006044989249543332,0.9351833921374408,0.005790364046826013
Neural Network,RobustScaler,BorderlineSMOTE,0.94736883567867,0.007942922447826092,0.9498233634471545,0.006844599694437651,0.9472251339131879,0.007723734751426101,0.94736883567867,0.007942922447826092
Neural Network,RobustScaler,SVMSMOTE,0.947743271519102,0.006088961923504151,0.9513446984584364,0.004597860940087733,0.9473356646499933,0.006366334346386268,0.947743271519102,0.006088961923504151
Neural Network,RobustScaler,KMeansSMOTE,0.9415397298872931,0.006240690237884642,0.9464990616196157,0.004245485165765689,0.9410666873572608,0.00615368174232523,0.9415397298872931,0.006240690237884642
Neural Network,QuantileTransformer,NoOversampling,0.9120087336244541,0.010208445176909145,0.9147742358613087,0.011229542370310857,0.908375108475358,0.010649227539095404,0.9120087336244541,0.010208445176909145
Neural Network,QuantileTransformer,SMOTE,0.9392018747288692,0.01235035819490684,0.9434543237335571,0.008499258025881464,0.9385637993160174,0.0132546133303774,0.9392018747288692,0.01235035819490684
Neural Network,QuantileTransformer,RandomOverSampler,0.9489886778896904,0.006587051211609093,0.9531355187396937,0.005049629133109648,0.9489838382114538,0.006277456571026673,0.9489886778896904,0.006587051211609093
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9601376005613261,0.0018967552794191943,0.962132285382834,0.0023241208425111345,0.9598600299973865,0.0017525830551051748,0.9601376005613261,0.0018967552794191943
Neural Network,QuantileTransformer,SVMSMOTE,0.9494057282066206,0.010639543499563852,0.9547593590764079,0.004608354878711762,0.949775185890825,0.00953107440529794,0.9494057282066206,0.010639543499563852
Neural Network,QuantileTransformer,KMeansSMOTE,0.9558329228124766,0.004720961929037824,0.9572093740691313,0.004100318023991579,0.955739006068003,0.004830647331861027,0.9558329228124766,0.004720961929037824
