Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5944689386306065,0.00791099478289549,0.6167458762769253,0.017317919433375715,0.5911699133797679,0.034527487893403465,0.5944689386306065,0.00791099478289549
Support Vector Machine,NoScaler,SMOTE,0.674963190729773,0.00538052570269682,0.686462865565913,0.007262439530027457,0.6697782304316617,0.014878119989392426,0.674963190729773,0.00538052570269682
Support Vector Machine,NoScaler,RandomOverSampler,0.6515140758118286,0.0054505082519705995,0.6767242777947186,0.009979648425803976,0.6425998451269548,0.006415363669479564,0.6515140758118286,0.0054505082519705995
Support Vector Machine,NoScaler,BorderlineSMOTE,0.7064786887933862,0.0034515205230770565,0.7460034929046053,0.0038446827680911114,0.7082866876808188,0.0033981918831120263,0.7064786887933862,0.0034515205230770565
Support Vector Machine,NoScaler,SVMSMOTE,0.7360956202825166,0.003992869394267572,0.7625443072227683,0.003672571941117703,0.7192738110396998,0.004107872465606,0.7360956202825166,0.003992869394267572
Support Vector Machine,NoScaler,KMeansSMOTE,0.7422097804288242,0.0035135170275850626,0.7648756667887519,0.0029799967899574007,0.7421313911616789,0.0030466939947004197,0.7422097804288242,0.0035135170275850626
Support Vector Machine,StandardScaler,NoOversampling,0.7587566035426063,0.0051968959145951565,0.7864256850144599,0.010053656280873171,0.7300532954012062,0.006053785574181231,0.7587566035426063,0.0051968959145951565
Support Vector Machine,StandardScaler,SMOTE,0.8312160451907642,0.0020810121157462534,0.8499684628056231,0.0022870022329271604,0.8315268920663502,0.0020446885656241636,0.8312160451907642,0.0020810121157462534
Support Vector Machine,StandardScaler,RandomOverSampler,0.8040502312113403,0.0035881495990169937,0.8219739949072448,0.003401422351709702,0.801478524416828,0.003642883777646314,0.8040502312113403,0.0035881495990169937
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8238987174176554,0.0049687469609212016,0.8374962806503259,0.004272294016677508,0.8229454629947821,0.005023791811259296,0.8238987174176554,0.0049687469609212016
Support Vector Machine,StandardScaler,SVMSMOTE,0.8393010907886331,0.001521071495451314,0.8460238758959788,0.0017620937898752034,0.8353035701583688,0.0018765020172292074,0.8393010907886331,0.001521071495451314
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8557531693407787,0.0028047222770963905,0.8714878595160759,0.001694622379023815,0.8566365440996027,0.0026414556119402806,0.8557531693407787,0.0028047222770963905
Support Vector Machine,RobustScaler,NoOversampling,0.7585630879624834,0.004645662607921973,0.7851389006207599,0.0074335241391059684,0.7306937432771834,0.006350363329207006,0.7585630879624834,0.004645662607921973
Support Vector Machine,RobustScaler,SMOTE,0.8259154024059786,0.00238336644720145,0.848318729041271,0.0025939727738731404,0.8274377670905112,0.0020779534111063074,0.8259154024059786,0.00238336644720145
Support Vector Machine,RobustScaler,RandomOverSampler,0.7960708427430971,0.003172428175190853,0.815136757022457,0.0038661215838001824,0.7933204105335007,0.0032477261100177057,0.7960708427430971,0.003172428175190853
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8147954264232806,0.003940675198921704,0.831059687095603,0.00356989175389513,0.8138952971920009,0.004152499792376346,0.8147954264232806,0.003940675198921704
Support Vector Machine,RobustScaler,SVMSMOTE,0.8325643801907106,0.002115412568062467,0.8403444411496682,0.002461861365764425,0.8287557604167347,0.002462700851148403,0.8325643801907106,0.002115412568062467
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8531205344457247,0.003189568283834403,0.8693601831468797,0.002084855460636012,0.8538109140347634,0.0030015453004367866,0.8531205344457247,0.003189568283834403
Support Vector Machine,QuantileTransformer,NoOversampling,0.7878702927688266,0.006989907754704781,0.8125213678545551,0.00776565582053825,0.7588075880835563,0.010589223973195616,0.7878702927688266,0.006989907754704781
Support Vector Machine,QuantileTransformer,SMOTE,0.8291707243161573,0.0021325762688759985,0.8431537134876563,0.0021308164190657884,0.8294275575430559,0.0021105885430607717,0.8291707243161573,0.0021325762688759985
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8078528877187813,0.004224814467767066,0.8217724011874964,0.004962073631170927,0.8060341583554536,0.004448736485866431,0.8078528877187813,0.004224814467767066
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8300059777723787,0.004162752731647737,0.8422395362431301,0.0036813786260668797,0.8291171721201245,0.004522708486070558,0.8300059777723787,0.004162752731647737
Support Vector Machine,QuantileTransformer,SVMSMOTE,0.8546202872488937,0.0018195437822632944,0.862021931215953,0.0024035975183788762,0.8513610784317391,0.0022611838862398423,0.8546202872488937,0.0018195437822632944
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8653963098809075,0.0036640194700606216,0.8786255825023824,0.003256269347189654,0.8652110283103711,0.003407055403870678,0.8653963098809075,0.0036640194700606216
K-Nearest Neighbors,NoScaler,NoOversampling,0.8281417795899918,0.0048576229763906895,0.8303543356229482,0.0062693587222174205,0.8224605252112356,0.005249388864790756,0.8281417795899918,0.0048576229763906895
K-Nearest Neighbors,NoScaler,SMOTE,0.9378329678959437,0.0018115069793163035,0.9390161861631088,0.0017763445170329937,0.9374893620658359,0.00183817570760402,0.9378329678959437,0.0018115069793163035
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9631839504279698,0.0018679837595344535,0.964233704231997,0.001801250013996173,0.9625211983344828,0.001891354385947237,0.9631839504279698,0.0018679837595344535
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9419814622673448,0.0016831870498686182,0.9430929338543865,0.001662324289174278,0.9415322735407292,0.0016427383586450363,0.9419814622673448,0.0016831870498686182
K-Nearest Neighbors,NoScaler,SVMSMOTE,0.9368154934576343,0.0021470824041736497,0.93830459653283,0.0020055843231235808,0.9365712581141636,0.0021854841643838565,0.9368154934576343,0.0021470824041736497
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9465190848321218,0.0023103678481163075,0.9477257111206605,0.0022517022898892783,0.9462918100723385,0.002320918979380266,0.9465190848321218,0.0023103678481163075
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8790869454672153,0.004857117057179324,0.8791301016877728,0.005489278208152389,0.8739044976082809,0.005405377893491191,0.8790869454672153,0.004857117057179324
K-Nearest Neighbors,StandardScaler,SMOTE,0.9498746443540753,0.0016860050444418627,0.950791094437443,0.0016844438771403227,0.9497918842636504,0.0016976862269346786,0.9498746443540753,0.0016860050444418627
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.974332346552807,0.0016325163014539205,0.9746927376079082,0.0016329212661178737,0.9740976268288003,0.0016402093451284448,0.974332346552807,0.0016325163014539205
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9559531526525908,0.0018633490436209005,0.9568869544599636,0.001857102322350471,0.9556786398504455,0.0018909080259655899,0.9559531526525908,0.0018633490436209005
K-Nearest Neighbors,StandardScaler,SVMSMOTE,0.9541035610344745,0.0012228980773138012,0.954798441462027,0.001126594372433611,0.9539521604251249,0.0012059262377168611,0.9541035610344745,0.0012228980773138012
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9578789553806935,0.0028452951960424087,0.9587176776868068,0.002712811092145799,0.957804768420691,0.0028697235310013217,0.9578789553806935,0.0028452951960424087
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8840370834235779,0.003656164037021183,0.8850522522861437,0.004083488369913565,0.8797087362083564,0.004024233163303091,0.8840370834235779,0.003656164037021183
K-Nearest Neighbors,RobustScaler,SMOTE,0.9511710177281942,0.0022950199377674164,0.9518269380848118,0.0022636709416267047,0.9511049542166636,0.0022950687411687778,0.9511710177281942,0.0022950199377674164
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9752830065307412,0.0017985641156138719,0.9757292679381939,0.0017375225305378003,0.975167855286416,0.0018209157971991758,0.9752830065307412,0.0017985641156138719
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9578832578560741,0.0021310346016965315,0.9585406890552415,0.0020536128034713717,0.9576524272717345,0.0021776167287153223,0.9578832578560741,0.0021310346016965315
K-Nearest Neighbors,RobustScaler,SVMSMOTE,0.9551186806426426,0.0011972290219096778,0.9558591899358457,0.0011716806707977034,0.9550211889406842,0.0012021889660560608,0.9551186806426426,0.0011972290219096778
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9579361636093102,0.0023481696241045022,0.9588438277743228,0.002190075268783246,0.9579056186391783,0.0023470467709034836,0.9579361636093102,0.0023481696241045022
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8838425319936343,0.004700898033181702,0.881715778018588,0.005559071050493632,0.8790988246350631,0.00521013415147236,0.8838425319936343,0.004700898033181702
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9518047744511137,0.0015788683190374527,0.9528179994977266,0.0015918656547662883,0.9516788272992672,0.001554054963204884,0.9518047744511137,0.0015788683190374527
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9728632202037423,0.0014785394809630748,0.9733868389600294,0.0014957335364086323,0.9725795255882554,0.0014802488302543843,0.9728632202037423,0.0014785394809630748
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.959265945483778,0.0018373870775956556,0.9599210790151915,0.0017550894727293037,0.959031203092412,0.0018478486906529775,0.959265945483778,0.0018373870775956556
K-Nearest Neighbors,QuantileTransformer,SVMSMOTE,0.9545956699713699,0.0025913461795999595,0.9554576675990214,0.002596077274778983,0.9543870123583161,0.002587130766027353,0.9545956699713699,0.0025913461795999595
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9573352233503909,0.0019295850670632258,0.9580951310510224,0.0018594833321048958,0.9572362637728953,0.001923854857220824,0.9573352233503909,0.0019295850670632258
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.9999135778743427,0.00013201197925318288,0.9999140417624395,0.0001313033775774379,0.99991357659108,0.00013201393884867057,0.9999135778743427,0.00013201197925318288
