Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8593668954996186,0.0372172258731515,0.885683216400427,0.03651609120530601,0.8652663024898011,0.03854167688342348,0.8593668954996186,0.0372172258731515
Random Forest,NoScaler,SMOTE,0.9530744902765628,0.012169391740766432,0.9554261576985862,0.012200851569618502,0.952898743618021,0.012271567227400328,0.9530744902765628,0.012169391740766432
Random Forest,NoScaler,RandomOverSampler,0.9911869995289685,0.004043837889189261,0.991857932824856,0.0034797973263133875,0.9911717036432469,0.004009001830786858,0.9911869995289685,0.004043837889189261
Random Forest,NoScaler,BorderlineSMOTE,0.9704441154700222,0.006677044422333437,0.9723549724501067,0.006577111824527754,0.9702075341183363,0.006826425364402122,0.9704441154700222,0.006677044422333437
Random Forest,NoScaler,SVMSMOTE,0.9584724751687302,0.008296102925145002,0.9606684968807457,0.008557250475784588,0.9584590511632529,0.008272186793216868,0.9584724751687302,0.008296102925145002
Random Forest,NoScaler,KMeansSMOTE,0.9639433652240743,0.01050429065303223,0.9658887078520682,0.009924783413726143,0.9636781187770854,0.010753769126190298,0.9639433652240743,0.01050429065303223
Random Forest,StandardScaler,NoOversampling,0.8584973302822274,0.03686554094771121,0.8855962598786877,0.03646035110594626,0.8646655839415123,0.03857053906469504,0.8584973302822274,0.03686554094771121
Random Forest,StandardScaler,SMOTE,0.9533342305363032,0.012142547820356595,0.9556955179679465,0.012186215680121081,0.9531583877844353,0.012239679541338398,0.9533342305363032,0.012142547820356595
Random Forest,StandardScaler,RandomOverSampler,0.9911876724311958,0.004043146009789657,0.9918585764704648,0.003479447641367006,0.991164778397472,0.004011598206069509,0.9911876724311958,0.004043146009789657
Random Forest,StandardScaler,BorderlineSMOTE,0.9701850481125092,0.006681207415686021,0.972079713382749,0.006604352077520242,0.9699468281311111,0.006828710825606235,0.9701850481125092,0.006681207415686021
Random Forest,StandardScaler,SVMSMOTE,0.9590264917892289,0.008368200342297807,0.9612037172668592,0.008602037674380085,0.9590021416832235,0.008353081092504865,0.9590264917892289,0.008368200342297807
Random Forest,StandardScaler,KMeansSMOTE,0.9639433652240743,0.010567338235087178,0.9659434158625697,0.010004756626945024,0.9636868663858882,0.010814804302002035,0.9639433652240743,0.010567338235087178
Random Forest,RobustScaler,NoOversampling,0.8593745232646836,0.03719771274630289,0.8849457411605142,0.036409008017558885,0.8648545231150182,0.03892470226764839,0.8593745232646836,0.03719771274630289
Random Forest,RobustScaler,SMOTE,0.9530744902765628,0.012169391740766432,0.9554261576985862,0.012200851569618502,0.952898743618021,0.012271567227400328,0.9530744902765628,0.012169391740766432
Random Forest,RobustScaler,RandomOverSampler,0.9911869995289685,0.004043837889189261,0.991857932824856,0.0034797973263133875,0.9911717036432469,0.004009001830786858,0.9911869995289685,0.004043837889189261
Random Forest,RobustScaler,BorderlineSMOTE,0.9704441154700222,0.00716201869522052,0.9722986328749166,0.006986134672608295,0.9702021837048468,0.007302722026158971,0.9704441154700222,0.00716201869522052
Random Forest,RobustScaler,SVMSMOTE,0.9587494834789796,0.008428372087159358,0.9608919502510134,0.008661326866500275,0.9587299458054828,0.008400370857806502,0.9587494834789796,0.008428372087159358
Random Forest,RobustScaler,KMeansSMOTE,0.9636856332653114,0.010596215765188141,0.9656408609544567,0.010006308980097942,0.9634232831804159,0.010839405402241679,0.9636856332653114,0.010596215765188141
Random Forest,QuantileTransformer,NoOversampling,0.8584897025171625,0.03608158315041984,0.8830282624615711,0.03651217297843149,0.8628760323473585,0.03662835032428892,0.8584897025171625,0.03608158315041984
Random Forest,QuantileTransformer,SMOTE,0.9543698270641275,0.01017599781110356,0.9567180317915543,0.010145743614263788,0.9540870705621378,0.010319497711106709,0.9543698270641275,0.01017599781110356
Random Forest,QuantileTransformer,RandomOverSampler,0.9906681919117153,0.003697970663597263,0.9913449930709154,0.003183430346052394,0.990616454335045,0.0036712825115808433,0.9906681919117153,0.003697970663597263
Random Forest,QuantileTransformer,BorderlineSMOTE,0.9696662404952561,0.006662321629331495,0.971562693657007,0.006577869024284108,0.9694290588018772,0.006816231799999579,0.9696662404952561,0.006662321629331495
Random Forest,QuantileTransformer,SVMSMOTE,0.9598567515036501,0.006799034693465048,0.9619075837715549,0.006815762473075381,0.9597220908738068,0.006795414885250893,0.9598567515036501,0.006799034693465048
Random Forest,QuantileTransformer,KMeansSMOTE,0.9644588291416001,0.009424735784521424,0.9664417100205401,0.008821045899242408,0.9642466869618236,0.009631049130246589,0.9644588291416001,0.009424735784521424
Support Vector Machine,NoScaler,NoOversampling,0.5851792524790237,0.04078050392259343,0.7046158317030135,0.02323808503326484,0.5342994733177748,0.05186414342808513,0.5851792524790237,0.04078050392259343
Support Vector Machine,NoScaler,SMOTE,0.6665789650763745,0.023098716050524676,0.6948474090057235,0.02757875529219642,0.6837246186376069,0.03643066792048456,0.6665789650763745,0.023098716050524676
Support Vector Machine,NoScaler,RandomOverSampler,0.6372767646860911,0.012361506241841687,0.6760987877159862,0.02059397556181797,0.6324010102690542,0.016948237165227097,0.6372767646860911,0.012361506241841687
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6979523585223067,0.020340027020109955,0.7472366194187525,0.015304706443575124,0.6987917425793481,0.019533312514939533,0.6979523585223067,0.020340027020109955
Support Vector Machine,NoScaler,SVMSMOTE,0.7295212806660443,0.01710431213104021,0.7653775841490548,0.022441151039207366,0.717080112117873,0.023034805794209943,0.7295212806660443,0.01710431213104021
