Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7877729257641921,0.006535646090434806,0.8141656113525212,0.01129602995335771,0.7814677304463392,0.015526977720423682,0.7877729257641921,0.006535646090434806
Neural Network,NoScaler,SMOTE,0.8447007116791999,0.014122684668823918,0.8586562032486261,0.013232780754567179,0.8424919756955094,0.014337769471976418,0.8447007116791999,0.014122684668823918
Neural Network,NoScaler,RandomOverSampler,0.8197942917817518,0.029165528500613484,0.830915020502261,0.027505761961600716,0.8172864798628414,0.032027040922715536,0.8197942917817518,0.029165528500613484
Neural Network,NoScaler,BorderlineSMOTE,0.8011451382028587,0.016647689544746283,0.8194915633039086,0.01464295911880375,0.7934451003153511,0.02081350229466107,0.8011451382028587,0.016647689544746283
Neural Network,NoScaler,SVMSMOTE,0.8331543722342099,0.025612147936933137,0.8516493873064024,0.020518962920792094,0.8259212678546769,0.028843262729746483,0.8331543722342099,0.025612147936933137
Neural Network,NoScaler,KMeansSMOTE,0.8815578085983333,0.008219518132674375,0.8935745066378844,0.00937044338563616,0.8794645192899729,0.010266671227739986,0.8815578085983333,0.008219518132674375
Neural Network,StandardScaler,NoOversampling,0.8296943231441049,0.013530072825178737,0.8468642039863992,0.015310550478528992,0.8282636309491563,0.0185943579153359,0.8296943231441049,0.013530072825178737
Neural Network,StandardScaler,SMOTE,0.9183275874814353,0.01350996292146463,0.9264571669360077,0.011433094916289094,0.9179113794843806,0.013878464336755061,0.9183275874814353,0.01350996292146463
Neural Network,StandardScaler,RandomOverSampler,0.9292181609241748,0.010909993596499294,0.9362991522456452,0.007051493931875943,0.9283647328410705,0.009776371916069171,0.9292181609241748,0.010909993596499294
Neural Network,StandardScaler,BorderlineSMOTE,0.9248096476549532,0.007173850795106482,0.9300492600205461,0.0059942197112694846,0.9246070497515104,0.0068865068070448,0.9248096476549532,0.007173850795106482
Neural Network,StandardScaler,SVMSMOTE,0.9110335369198698,0.01990251522797767,0.9168375384489467,0.020795302404215753,0.9102439156209773,0.020492186547432376,0.9110335369198698,0.01990251522797767
Neural Network,StandardScaler,KMeansSMOTE,0.9490561622725648,0.002098000224755722,0.9517658365134748,0.003254275142177842,0.9491665143477725,0.0021680202156024587,0.9490561622725648,0.002098000224755722
Neural Network,RobustScaler,NoOversampling,0.840174672489083,0.01397379912663755,0.8531455308980729,0.013721881174406427,0.837389744511295,0.015342520462499284,0.840174672489083,0.01397379912663755
Neural Network,RobustScaler,SMOTE,0.9170305706202159,0.019749201866292983,0.9229782056532396,0.01792293821777065,0.9155688278078987,0.021176497403050665,0.9170305706202159,0.019749201866292983
Neural Network,RobustScaler,RandomOverSampler,0.9170342667822557,0.01745707458092059,0.9252580601189777,0.01357637604954903,0.9159304921978728,0.01793525127654857,0.9170342667822557,0.01745707458092059
Neural Network,RobustScaler,BorderlineSMOTE,0.9087424312681869,0.013380482194464796,0.9164746149133471,0.010476225737314306,0.9073480874319216,0.014171921144636382,0.9087424312681869,0.013380482194464796
Neural Network,RobustScaler,SVMSMOTE,0.9045455875361152,0.008801423150604356,0.9138493361658583,0.0034868088823893405,0.9028167206549581,0.008562171286916347,0.9045455875361152,0.008801423150604356
Neural Network,RobustScaler,KMeansSMOTE,0.9451751790901586,0.010406969109272047,0.9479032324741359,0.009111893033084396,0.9452261946214138,0.010342103831926155,0.9451751790901586,0.010406969109272047
Neural Network,QuantileTransformer,NoOversampling,0.8279475982532751,0.012835754110654194,0.8405903212926316,0.015445042206002685,0.8277317966945059,0.0188260219849627,0.8279475982532751,0.012835754110654194
Neural Network,QuantileTransformer,SMOTE,0.9242881527926183,0.017341872336150328,0.9312173545059566,0.013564566011044112,0.9234989254199639,0.01755834501675157,0.9242881527926183,0.017341872336150328
Neural Network,QuantileTransformer,RandomOverSampler,0.9331068594047162,0.014105285134356318,0.9373442539641305,0.012652519078423963,0.9324130744616719,0.014629546827203854,0.9331068594047162,0.014105285134356318
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9271483101819185,0.006011979696643873,0.9324510317455464,0.004981717825339248,0.9261714576551793,0.00616208704477297,0.9271483101819185,0.006011979696643873
Neural Network,QuantileTransformer,SVMSMOTE,0.9175247778224774,0.010207529915117981,0.9235920322350062,0.00755215984595221,0.9162236851285612,0.010880749589637195,0.9175247778224774,0.010207529915117981
Neural Network,QuantileTransformer,KMeansSMOTE,0.9418109917733852,0.013384647516448476,0.94672853107199,0.011003908525361183,0.9414884799008064,0.013939678010325751,0.9418109917733852,0.013384647516448476
