Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8082969432314411,0.0300771621968953,0.8109767070236957,0.033738358938364015,0.7937334147979602,0.03392285781425476,0.8082969432314411,0.0300771621968953
Neural Network,NoScaler,SMOTE,0.8534482805706955,0.005365524467330972,0.8668282729801049,0.0053600062733509595,0.8522376369205931,0.00519463000776313,0.8534482805706955,0.005365524467330972
Neural Network,NoScaler,RandomOverSampler,0.8274578874007255,0.012990459181385746,0.8344963458865736,0.010688643815784337,0.8252905658866047,0.01379006106981586,0.8274578874007255,0.012990459181385746
Neural Network,NoScaler,BorderlineSMOTE,0.8102139951325114,0.009901170460851653,0.8257689219159259,0.013251511302304833,0.8031754467800056,0.013274456162367845,0.8102139951325114,0.009901170460851653
Neural Network,NoScaler,SVMSMOTE,0.8418730310410864,0.013181589475052645,0.855486523627396,0.008992830874909244,0.8361387859049468,0.01620920780446323,0.8418730310410864,0.013181589475052645
Neural Network,NoScaler,KMeansSMOTE,0.8887380871919014,0.006513010423933801,0.8975621842171414,0.007225766073719158,0.8862564267431743,0.00646992116461626,0.8887380871919014,0.006513010423933801
Neural Network,StandardScaler,NoOversampling,0.9041484716157205,0.007884484753392028,0.9066806073543464,0.0069892631204337315,0.899690665729312,0.007020025578930419,0.9041484716157205,0.007884484753392028
Neural Network,StandardScaler,SMOTE,0.9378403224264756,0.008225210215147294,0.94341601431979,0.006658776268689076,0.9379742857840065,0.008103155691007178,0.9378403224264756,0.008225210215147294
Neural Network,StandardScaler,RandomOverSampler,0.9397205133026132,0.0059743550041494245,0.9441723677615945,0.004421470838494719,0.9392465811117912,0.005770603581080318,0.9397205133026132,0.0059743550041494245
Neural Network,StandardScaler,BorderlineSMOTE,0.9443231785519588,0.011556757035400397,0.9474571751823337,0.010108017665130703,0.944246418050388,0.011489693326538082,0.9443231785519588,0.011556757035400397
Neural Network,StandardScaler,SVMSMOTE,0.9375329183310062,0.011397149458319614,0.9411935800324865,0.011057633170054293,0.9364067580547095,0.012072129616559405,0.9375329183310062,0.011397149458319614
Neural Network,StandardScaler,KMeansSMOTE,0.9653477387373662,0.0011477827171923725,0.9663487671336786,0.001379364923769662,0.9653756189503383,0.0012850816658358103,0.9653477387373662,0.0011477827171923725
Neural Network,RobustScaler,NoOversampling,0.8958515283842795,0.00885828068781694,0.8921997948045248,0.008730631256264134,0.8932841194068258,0.01312785214501238,0.8958515283842795,0.00885828068781694
Neural Network,RobustScaler,SMOTE,0.9333041466086713,0.012290551391742009,0.9361104193581685,0.01294798734370951,0.9324654558815638,0.012748727646604867,0.9333041466086713,0.012290551391742009
Neural Network,RobustScaler,RandomOverSampler,0.9400441162105017,0.007240536280652249,0.9446095760772796,0.004746530767010899,0.9391464497355291,0.008004851162770098,0.9400441162105017,0.007240536280652249
Neural Network,RobustScaler,BorderlineSMOTE,0.9341443293338137,0.011630404747816545,0.9387899368178646,0.009364539221552235,0.9336827108194626,0.011757086478671857,0.9341443293338137,0.011630404747816545
Neural Network,RobustScaler,SVMSMOTE,0.9335458158045006,0.0075881789087798935,0.9391272223506,0.005377953864618783,0.932824197749458,0.007520004542221822,0.9335458158045006,0.0075881789087798935
Neural Network,RobustScaler,KMeansSMOTE,0.9575252707962243,0.0067595267686852084,0.9599710609839972,0.005184302106911674,0.957404709804574,0.006874521301531585,0.9575252707962243,0.0067595267686852084
Neural Network,QuantileTransformer,NoOversampling,0.9050218340611353,0.012768726215906927,0.9064738225801297,0.011759495490222913,0.899342123211435,0.014183752688709585,0.9050218340611353,0.012768726215906927
Neural Network,QuantileTransformer,SMOTE,0.9487952598182201,0.0068748056968084845,0.9521013228762673,0.006041207887796466,0.9486971530041035,0.006988542348455325,0.9487952598182201,0.0068748056968084845
Neural Network,QuantileTransformer,RandomOverSampler,0.9521652761307143,0.008545910986357937,0.9556014449112,0.006304853179000495,0.9520520536467924,0.008309256801489447,0.9521652761307143,0.008545910986357937
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9484702073777009,0.0058806093682076295,0.9514967749933154,0.004342608030111713,0.9476741019711289,0.006777978128910785,0.9484702073777009,0.0058806093682076295
Neural Network,QuantileTransformer,SVMSMOTE,0.9455114648905791,0.006234960001647088,0.9490285597929391,0.005728413519583131,0.9449613550964852,0.005699634058050618,0.9455114648905791,0.006234960001647088
Neural Network,QuantileTransformer,KMeansSMOTE,0.9628271274189002,0.008595313766561434,0.9651100968224995,0.00712344484669291,0.9627636848047045,0.008756862232969669,0.9628271274189002,0.008595313766561434
