Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5863178363922292,0.008835803067012747,0.6995038004774337,0.014036006556459322,0.5214168213660995,0.014100082585848252,0.5863178363922292,0.008835803067012747
Support Vector Machine,NoScaler,SMOTE,0.7212567727065734,0.0053960243423361405,0.7654464051762587,0.00910347238751384,0.697736189475396,0.007953260848504758,0.7212567727065734,0.0053960243423361405
Support Vector Machine,NoScaler,RandomOverSampler,0.716158647290851,0.006480217894020523,0.7558865749250265,0.020298685854613085,0.7136924294295925,0.016267430468560155,0.716158647290851,0.006480217894020523
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6469043702461608,0.004430223606817815,0.7037001490293258,0.007093605547293956,0.6083613499495694,0.007927600317097343,0.6469043702461608,0.004430223606817815
Support Vector Machine,NoScaler,SVMSMOTE,0.72811120803198,0.0020593943234694136,0.7745770619356657,0.00349331832371728,0.7021760759526623,0.0026334094672181264,0.72811120803198,0.0020593943234694136
Support Vector Machine,NoScaler,KMeansSMOTE,0.7231269502422014,0.008541259581770006,0.7537672062498093,0.009339514263245939,0.7030182523092112,0.01273337902881407,0.7231269502422014,0.008541259581770006
Support Vector Machine,StandardScaler,NoOversampling,0.7901011366097577,0.0043982968006629685,0.8107858585600182,0.005789117727701159,0.7630401530379227,0.006152290502918501,0.7901011366097577,0.0043982968006629685
Support Vector Machine,StandardScaler,SMOTE,0.8427679326533077,0.0033940070528608157,0.8519981434738076,0.003454582554952833,0.8420172210992396,0.0034849240351124047,0.8427679326533077,0.0033940070528608157
Support Vector Machine,StandardScaler,RandomOverSampler,0.8102728483006663,0.0026631638533277336,0.8249912210674349,0.001983831673167795,0.8067052101191674,0.0032055819705728767,0.8102728483006663,0.0026631638533277336
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8183677594605466,0.0027727511246360362,0.8295498137826588,0.0036616396450129323,0.8163425486216939,0.00279688205741858,0.8183677594605466,0.0027727511246360362
Support Vector Machine,StandardScaler,SVMSMOTE,0.8400335971618874,0.0028189623092986504,0.8491369893752477,0.003793298606040742,0.830101678243991,0.0031653630150307735,0.8400335971618874,0.0028189623092986504
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8908425624160052,0.002354806611196743,0.8990608340994749,0.0023831821208639787,0.8895698476648738,0.002268156253424172,0.8908425624160052,0.002354806611196743
Support Vector Machine,RobustScaler,NoOversampling,0.7650652114546157,0.0063644722788669394,0.7831993056382476,0.005884854664776668,0.7304037503279585,0.0071692773477670885,0.7650652114546157,0.0063644722788669394
Support Vector Machine,RobustScaler,SMOTE,0.8211045818081881,0.003289457900448463,0.8340831540861215,0.0032172661835507,0.8200773151478664,0.003404991705660808,0.8211045818081881,0.003289457900448463
Support Vector Machine,RobustScaler,RandomOverSampler,0.7929882572121607,0.0027092682369538514,0.8129676965274047,0.0029532873875018693,0.788999846574936,0.0026296671735383547,0.7929882572121607,0.0027092682369538514
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.771987481528982,0.0027958511994154245,0.7843623480525997,0.0027553604198217747,0.7670547480252375,0.003233756840355332,0.771987481528982,0.0027958511994154245
Support Vector Machine,RobustScaler,SVMSMOTE,0.8160566127793054,0.0023159840937398064,0.8214578787403466,0.005750265327609352,0.8044348546035875,0.0023579894655142517,0.8160566127793054,0.0023159840937398064
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8935147533242859,0.0031775521375513207,0.9026728844966474,0.002892379564100854,0.8922625034725229,0.0032642615031077135,0.8935147533242859,0.0031775521375513207
Support Vector Machine,QuantileTransformer,NoOversampling,0.7824349062555912,0.004959444631393958,0.8020543056538759,0.005136453356937901,0.7557429582285838,0.008013095282372883,0.7824349062555912,0.004959444631393958
Support Vector Machine,QuantileTransformer,SMOTE,0.8375825553267562,0.0030541065720413436,0.8475440915137513,0.003153331984004582,0.8370530904077071,0.003132330577005576,0.8375825553267562,0.0030541065720413436
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8098117615741754,0.0029251089836280927,0.8236364775696888,0.003002131511725479,0.8081083547804517,0.002916743004132994,0.8098117615741754,0.0029251089836280927
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8141905296286414,0.002278034168694618,0.8225897174894323,0.00236896368855734,0.8122220482055242,0.0022613558537927223,0.8141905296286414,0.002278034168694618
Support Vector Machine,QuantileTransformer,SVMSMOTE,0.8377200486834809,0.003519973504436765,0.8456076734867259,0.004357109316496815,0.8291371967053829,0.0040201246419398345,0.8377200486834809,0.003519973504436765
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8905265942868841,0.0016955030158708943,0.897459665283215,0.0016113490977439655,0.8890075788468597,0.0017642686935562077,0.8905265942868841,0.0016955030158708943
K-Nearest Neighbors,NoScaler,NoOversampling,0.9033482432928726,0.003601147244597428,0.9036285549234577,0.004020384702220784,0.8994421944163532,0.004210915804388739,0.9033482432928726,0.003601147244597428
K-Nearest Neighbors,NoScaler,SMOTE,0.9642496684178452,0.0014724185472420068,0.9648931360587983,0.0013843411490305684,0.9640925775608176,0.0014812597988077562,0.9642496684178452,0.0014724185472420068
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9806123681803276,0.0016308950300456245,0.9810964042833404,0.0016461703051516645,0.9804421145092348,0.0016461554257342797,0.9806123681803276,0.0016308950300456245
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9666983395666794,0.0012835235568503275,0.9674823378983588,0.001280109770010327,0.9665458078427248,0.001293682051022419,0.9666983395666794,0.0012835235568503275
K-Nearest Neighbors,NoScaler,SVMSMOTE,0.9661378933238209,0.001302067752129402,0.9667293649227073,0.001208086733509651,0.9659364461851865,0.0013213185159466315,0.9661378933238209,0.001302067752129402
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9729621392980613,0.0007528043428238072,0.9734111113098175,0.0007044824996315186,0.9728531428910427,0.0007633821261117041,0.9729621392980613,0.0007528043428238072
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8871416195041105,0.006387571270583228,0.8855398222056277,0.007354095616706676,0.8825283441197588,0.007023553978106842,0.8871416195041105,0.006387571270583228
K-Nearest Neighbors,StandardScaler,SMOTE,0.9572783693592862,0.002014306086714964,0.9584920672990137,0.001958824397481304,0.957076590918378,0.002042476385561871,0.9572783693592862,0.002014306086714964
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9719989740536136,0.0017607312148758905,0.9728019984452299,0.0016769513269456878,0.9716829517170114,0.0017697430154168879,0.9719989740536136,0.0017607312148758905
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9575375195663343,0.001724689900809479,0.9584745602741993,0.0016621836265031651,0.9572484868966852,0.001726831193508847,0.9575375195663343,0.001724689900809479
K-Nearest Neighbors,StandardScaler,SVMSMOTE,0.9594976293701041,0.0016718426717596076,0.9602175586633355,0.0015692485502991089,0.9591813921178212,0.0017171957069977305,0.9594976293701041,0.0016718426717596076
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9612677193434308,0.0009679602800780367,0.9625034716128061,0.0010104617539555892,0.9611568419817074,0.0009903550280608293,0.9612677193434308,0.0009679602800780367
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8873361709340541,0.0037704808457275415,0.8846452633893473,0.004193592615689243,0.8819788388311947,0.0041344776763949315,0.8873361709340541,0.0037704808457275415
K-Nearest Neighbors,RobustScaler,SMOTE,0.9553769996163073,0.0019841166084287004,0.9566750040985464,0.0018579096188512149,0.955153806022723,0.001993384266333495,0.9553769996163073,0.0019841166084287004
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9707602458553891,0.0013768815628650065,0.9716033645938176,0.0013302205985953415,0.9704157863049367,0.0013983482041034123,0.9707602458553891,0.0013768815628650065
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9539941709251242,0.0019198299589570798,0.9550455386137425,0.0018202549468184894,0.9537080776087727,0.0019127056827349432,0.9539941709251242,0.0019198299589570798
K-Nearest Neighbors,RobustScaler,SVMSMOTE,0.9579052166855375,0.0018040793331617823,0.9587488203737872,0.0017021537455823175,0.9576216252904336,0.0018308753676540494,0.9579052166855375,0.0018040793331617823
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9639111828745207,0.0009450649648209269,0.964769032995342,0.0009878171167945768,0.9638774252316669,0.0009521622700169862,0.9639111828745207,0.0009450649648209269
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8833570951004303,0.00523303971690984,0.8810181395275405,0.006013238965541559,0.8789873402543764,0.00560910030184797,0.8833570951004303,0.00523303971690984
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9614554000427505,0.0010195211588593623,0.9623613057311747,0.0009067708906175614,0.9612466620376875,0.0010258395434081342,0.9614554000427505,0.0010195211588593623
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9721430247594618,0.0017187676838034255,0.9725946180358171,0.0017237718967781136,0.971813940073026,0.001727959925218366,0.9721430247594618,0.0017187676838034255
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9540806262421884,0.001906854030419081,0.9555537804535129,0.0018577676207294945,0.9536401295608764,0.0019367195822033582,0.9540806262421884,0.001906854030419081
K-Nearest Neighbors,QuantileTransformer,SVMSMOTE,0.960399008494697,0.001280575467969084,0.9611967888467552,0.0012090285103778695,0.9601002292731557,0.0012898899828775057,0.960399008494697,0.001280575467969084
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9601183766060091,0.0008005905474436294,0.9611480735126856,0.0008325754939609954,0.9598965341484206,0.0007656112491870105,0.9601183766060091,0.0008005905474436294
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.999884767733173,0.00014113012964478435,0.9998853873517625,0.00014037125398086032,0.9998847673124176,0.00014113064475606204,0.999884767733173,0.00014113012964478435
