Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8628985507246376,0.03743775475768876,0.8891674878348924,0.0393815530376731,0.8681559002025192,0.039205185906736224,0.8628985507246376,0.03743775475768876
Random Forest,NoScaler,SMOTE,0.9647426148980554,0.009201248029392983,0.9669087875077753,0.008428613021813438,0.9646562180337652,0.00929823626396909,0.9647426148980554,0.009201248029392983
Random Forest,NoScaler,RandomOverSampler,0.9904057600430656,0.004349564003664049,0.9912095599092945,0.0038294339124701387,0.9903877145390071,0.004383744502751013,0.9904057600430656,0.004349564003664049
Random Forest,NoScaler,BorderlineSMOTE,0.9652607496130813,0.006669435521365285,0.9669888951141313,0.0063657085252559935,0.9652658858754013,0.006597692254082884,0.9652607496130813,0.006669435521365285
Random Forest,NoScaler,SVMSMOTE,0.9599824214458362,0.00807810474178983,0.9623640299497564,0.007025231267281678,0.9595507304546725,0.00819233669143709,0.9599824214458362,0.00807810474178983
Random Forest,NoScaler,KMeansSMOTE,0.9689668099235517,0.010736917209519648,0.9703895555781777,0.009892721802867014,0.9688701113157547,0.010668027550871326,0.9689668099235517,0.010736917209519648
Random Forest,StandardScaler,NoOversampling,0.8628985507246376,0.03743775475768876,0.8891674878348924,0.0393815530376731,0.8681559002025192,0.039205185906736224,0.8628985507246376,0.03743775475768876
Random Forest,StandardScaler,SMOTE,0.9647426148980554,0.009201248029392983,0.9669087875077753,0.008428613021813438,0.9646562180337652,0.00929823626396909,0.9647426148980554,0.009201248029392983
Random Forest,StandardScaler,RandomOverSampler,0.9904057600430656,0.004349564003664049,0.9912095599092945,0.0038294339124701387,0.9903877145390071,0.004383744502751013,0.9904057600430656,0.004349564003664049
Random Forest,StandardScaler,BorderlineSMOTE,0.9652607496130813,0.006669435521365285,0.9669888951141313,0.0063657085252559935,0.9652658858754013,0.006597692254082884,0.9652607496130813,0.006669435521365285
Random Forest,StandardScaler,SVMSMOTE,0.9599824214458362,0.00807810474178983,0.9623640299497564,0.007025231267281678,0.9595507304546725,0.00819233669143709,0.9599824214458362,0.00807810474178983
Random Forest,StandardScaler,KMeansSMOTE,0.9689668099235517,0.010736917209519648,0.9703895555781777,0.009892721802867014,0.9688701113157547,0.010668027550871326,0.9689668099235517,0.010736917209519648
Random Forest,RobustScaler,NoOversampling,0.8628985507246376,0.03743775475768876,0.8891674878348924,0.0393815530376731,0.8681559002025192,0.039205185906736224,0.8628985507246376,0.03743775475768876
Random Forest,RobustScaler,SMOTE,0.9647426148980554,0.009201248029392983,0.9669087875077753,0.008428613021813438,0.9646562180337652,0.00929823626396909,0.9647426148980554,0.009201248029392983
Random Forest,RobustScaler,RandomOverSampler,0.9904057600430656,0.004349564003664049,0.9912095599092945,0.0038294339124701387,0.9903877145390071,0.004383744502751013,0.9904057600430656,0.004349564003664049
Random Forest,RobustScaler,BorderlineSMOTE,0.9652607496130813,0.006669435521365285,0.9669888951141313,0.0063657085252559935,0.9652658858754013,0.006597692254082884,0.9652607496130813,0.006669435521365285
Random Forest,RobustScaler,SVMSMOTE,0.9599824214458362,0.00807810474178983,0.9623640299497564,0.007025231267281678,0.9595507304546725,0.00819233669143709,0.9599824214458362,0.00807810474178983
Random Forest,RobustScaler,KMeansSMOTE,0.9689668099235517,0.010736917209519648,0.9703895555781777,0.009892721802867014,0.9688701113157547,0.010668027550871326,0.9689668099235517,0.010736917209519648
Random Forest,QuantileTransformer,NoOversampling,0.8611212814645309,0.03822712965679882,0.8845836003265198,0.0414312865226406,0.8676862738200046,0.03677467792966362,0.8611212814645309,0.03822712965679882
Random Forest,QuantileTransformer,SMOTE,0.9665581051073279,0.009218489286304513,0.9687965340960447,0.008464187970837067,0.9664976295317121,0.009320723035280724,0.9665581051073279,0.009218489286304513
Random Forest,QuantileTransformer,RandomOverSampler,0.9901473655877802,0.004460467618961023,0.9910369319484458,0.003912330040456,0.9901559676237941,0.004449292704576669,0.9901473655877802,0.004460467618961023
Random Forest,QuantileTransformer,BorderlineSMOTE,0.9665567593028733,0.007457271162060464,0.9682177465940175,0.007170087946570563,0.9665699434517471,0.0074080052826967936,0.9665567593028733,0.007457271162060464
