Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7944666880204996,0.02338892987214118,0.814263516237356,0.018193871637989485,0.7862941167879584,0.02059484496610553,0.7944666880204996,0.02338892987214118
Neural Network,NoScaler,SMOTE,0.7310618193465728,0.04117182077494585,0.807226360806156,0.023876246171059358,0.7621178442649048,0.03604734383522793,0.7310618193465728,0.04117182077494585
Neural Network,NoScaler,RandomOverSampler,0.7399503523382448,0.048174537781458956,0.8115396093333409,0.026242346426894093,0.7700340315097629,0.03746993726360471,0.7399503523382448,0.048174537781458956
Neural Network,NoScaler,BorderlineSMOTE,0.7515454836643178,0.02645823827317066,0.8139095720406498,0.01939557008324079,0.7714225752551066,0.02040127629164119,0.7515454836643178,0.02645823827317066
Neural Network,NoScaler,KMeansSMOTE,0.7006726457399103,0.05221990780259777,0.7856277627331067,0.029436435478848392,0.7305786726398622,0.04626096102981259,0.7006726457399103,0.05221990780259777
Neural Network,StandardScaler,NoOversampling,0.8132607303010891,0.02018459876082869,0.8244352039151723,0.02020714644511076,0.812920592886903,0.018132949555223436,0.8132607303010891,0.02018459876082869
Neural Network,StandardScaler,SMOTE,0.7203515374759769,0.042557809291847645,0.7866335834594073,0.02807427433701264,0.7522654462515449,0.033089664699832516,0.7203515374759769,0.042557809291847645
Neural Network,StandardScaler,RandomOverSampler,0.7658952594490711,0.03537316706004421,0.8119591193902703,0.020643366004657507,0.7852749372293454,0.02752894058063273,0.7658952594490711,0.03537316706004421
Neural Network,StandardScaler,BorderlineSMOTE,0.7462163677130045,0.05316208605352982,0.8071976723279534,0.030709237655004627,0.7763625349475223,0.03989445137133913,0.7462163677130045,0.05316208605352982
Neural Network,StandardScaler,KMeansSMOTE,0.7257246957078796,0.05758481275850957,0.7952035641957963,0.0356776512083573,0.7569264604458545,0.05151903033522181,0.7257246957078796,0.05758481275850957
Neural Network,RobustScaler,NoOversampling,0.8212764253683537,0.015636681291211197,0.8340380798000107,0.018022938559552282,0.8115603395911606,0.01694773414424926,0.8212764253683537,0.015636681291211197
Neural Network,RobustScaler,SMOTE,0.7596532671364511,0.05075889067243178,0.8113080880490371,0.03541872411887257,0.785478130140895,0.037761200890030926,0.7596532671364511,0.05075889067243178
Neural Network,RobustScaler,RandomOverSampler,0.7560898462524023,0.03788009282386916,0.8069037754274129,0.027892014354638235,0.7782339182632196,0.0312759118795383,0.7560898462524023,0.03788009282386916
Neural Network,RobustScaler,BorderlineSMOTE,0.7497677770659834,0.018632120529309366,0.8078427151887972,0.020465672504978383,0.7760399649002604,0.02268762826399868,0.7497677770659834,0.018632120529309366
Neural Network,RobustScaler,KMeansSMOTE,0.7212524023062139,0.04914650039126421,0.7900759858555788,0.026390321312704277,0.7578972994862421,0.03943575122979895,0.7212524023062139,0.04914650039126421
Neural Network,QuantileTransformer,NoOversampling,0.8168161434977579,0.021381520993545795,0.8216489178083313,0.024631177059518818,0.8195663147776069,0.015030160503639263,0.8168161434977579,0.021381520993545795
Neural Network,QuantileTransformer,SMOTE,0.7507126841768097,0.035291799748746064,0.7985775028503742,0.02436047703279788,0.7735016631374891,0.024648897163408928,0.7507126841768097,0.035291799748746064
Neural Network,QuantileTransformer,RandomOverSampler,0.7632086803331198,0.03783577080155423,0.8006492087603666,0.01578140074044115,0.7770454705296478,0.025726141636714706,0.7632086803331198,0.03783577080155423
Neural Network,QuantileTransformer,BorderlineSMOTE,0.7587083600256246,0.029243077718806215,0.8073477341604967,0.021958133862237522,0.7779035719418508,0.02123446455616922,0.7587083600256246,0.029243077718806215
Neural Network,QuantileTransformer,KMeansSMOTE,0.7489029468289559,0.02840797044499729,0.7853872917031481,0.020310728507033794,0.770645701750085,0.02178344580904801,0.7489029468289559,0.02840797044499729
