Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.6738508968609865,0.029130959106302912,0.686837823447336,0.038249978643060095,0.6818744547780026,0.03311515335654588,0.6738508968609865,0.029130959106302912
Neural Network,NoScaler,SMOTE,0.5925408392056374,0.03893187107066494,0.7035060055219867,0.025115748046152235,0.6489511088965714,0.023563631216925493,0.5925408392056374,0.03893187107066494
Neural Network,NoScaler,RandomOverSampler,0.5907751441383728,0.04399563768279297,0.6910693674877317,0.02078313237059929,0.6440152558935907,0.042222018652320836,0.5907751441383728,0.04399563768279297
Neural Network,NoScaler,BorderlineSMOTE,0.5987908392056374,0.03275997266906863,0.676403700078005,0.011052949004149036,0.6489486108763612,0.0387327989730296,0.5987908392056374,0.03275997266906863
Neural Network,NoScaler,KMeansSMOTE,0.5916680012812299,0.05488494282728379,0.6903139629248123,0.024001834978330926,0.6362135524213361,0.04779937061118494,0.5916680012812299,0.05488494282728379
Neural Network,StandardScaler,NoOversampling,0.694370595771941,0.017971779468463882,0.6923471790603486,0.020957432348965927,0.7176414346877242,0.023099357942487575,0.694370595771941,0.017971779468463882
Neural Network,StandardScaler,SMOTE,0.6184577194106342,0.047463035387058025,0.694582389443912,0.031381599300109385,0.6688408363631458,0.02743539926896467,0.6184577194106342,0.047463035387058025
Neural Network,StandardScaler,RandomOverSampler,0.5934176809737348,0.04553377393095588,0.6828706308965881,0.03365364928846332,0.6365464735882174,0.03303299007211109,0.5934176809737348,0.04553377393095588
Neural Network,StandardScaler,BorderlineSMOTE,0.6077194106342089,0.05592541778185849,0.6846640412431505,0.037358636544448084,0.6384889870180734,0.03901286226012953,0.6077194106342089,0.05592541778185849
Neural Network,StandardScaler,KMeansSMOTE,0.6086322869955156,0.03778917439693909,0.6856880378774137,0.013452367126309081,0.6456799832979644,0.03498602565065238,0.6086322869955156,0.03778917439693909
Neural Network,RobustScaler,NoOversampling,0.6809617232543242,0.019932007347547152,0.6954336060754966,0.0241833104969419,0.6912261641928452,0.022551553849305923,0.6809617232543242,0.019932007347547152
Neural Network,RobustScaler,SMOTE,0.6140214606021781,0.05420733958066348,0.6994311014820823,0.02687603836487599,0.6554744256667684,0.03475667448736583,0.6140214606021781,0.05420733958066348
Neural Network,RobustScaler,RandomOverSampler,0.5979139974375401,0.03735093696103413,0.6861126724916459,0.02225266091686034,0.6572471639445745,0.027078787026710762,0.5979139974375401,0.03735093696103413
Neural Network,RobustScaler,BorderlineSMOTE,0.6274023062139653,0.04014707993851014,0.688326906352392,0.0214634091412205,0.673168393630189,0.02890734160412347,0.6274023062139653,0.04014707993851014
Neural Network,RobustScaler,KMeansSMOTE,0.6113308776425368,0.04441628117533227,0.695347421664604,0.022045800584358663,0.6486944988280763,0.03649277035855778,0.6113308776425368,0.04441628117533227
Neural Network,QuantileTransformer,NoOversampling,0.6961643177450353,0.015058111725890918,0.7048856574522686,0.019985041239287932,0.703046655243749,0.020507393866922227,0.6961643177450353,0.015058111725890918
Neural Network,QuantileTransformer,SMOTE,0.6041439782190903,0.029419104593838424,0.667988801442071,0.031646046370097415,0.6554346895345562,0.02516643356824046,0.6041439782190903,0.029419104593838424
Neural Network,QuantileTransformer,RandomOverSampler,0.5960922485586163,0.018351634040800063,0.6731409258661555,0.027293111009844485,0.6542767970681916,0.006390597466974006,0.5960922485586163,0.018351634040800063
Neural Network,QuantileTransformer,BorderlineSMOTE,0.6068105381165919,0.024483573240843468,0.6646260172757215,0.023431159094158497,0.6559354789087297,0.01959511339814005,0.6068105381165919,0.024483573240843468
Neural Network,QuantileTransformer,KMeansSMOTE,0.6202434336963485,0.03606022337492985,0.683255216676298,0.025984302231392566,0.6549652871043223,0.020686356212925874,0.6202434336963485,0.03606022337492985
