Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8235033419792499,0.004624950189378657,0.8259690805567981,0.005344827803573279,0.8107728983012444,0.008007341396400431,0.8235033419792499,0.004624950189378657
Neural Network,NoScaler,SMOTE,0.9243920412675019,0.011022185213650407,0.9304736940513262,0.00840248431839949,0.9231168590083227,0.011255480624939817,0.9243920412675019,0.011022185213650407
Neural Network,NoScaler,RandomOverSampler,0.913301400147384,0.030832978140719978,0.9214919479339848,0.027527311690236513,0.912219407166633,0.03209355586278809,0.913301400147384,0.030832978140719978
Neural Network,NoScaler,BorderlineSMOTE,0.9393146647015476,0.00732355059721852,0.9431502540713375,0.004996645808145517,0.9383757510805772,0.00728832473762955,0.9393146647015476,0.00732355059721852
Neural Network,NoScaler,KMeansSMOTE,0.9343863948455107,0.008504059445521382,0.9388804039182839,0.008202201635890739,0.9328917797197371,0.008968861335370885,0.9343863948455107,0.008504059445521382
Neural Network,StandardScaler,NoOversampling,0.8869518156424581,0.005181023063488042,0.8868569817887095,0.005874992637005011,0.8770778686635928,0.00719945495982807,0.8869518156424581,0.005181023063488042
Neural Network,StandardScaler,SMOTE,0.9584008843036109,0.0021903999922921105,0.9606957625447642,0.0023251002903305123,0.9579096757997408,0.0021359368296122658,0.9584008843036109,0.0021903999922921105
Neural Network,StandardScaler,RandomOverSampler,0.975939572586588,0.006356973417646976,0.9773470379973489,0.005311595669713395,0.9755912865767888,0.006587810509461344,0.975939572586588,0.006356973417646976
Neural Network,StandardScaler,BorderlineSMOTE,0.9636330140014738,0.005985176136983435,0.9662520685967172,0.003943081676727846,0.9631853948153125,0.0061544992785610535,0.9636330140014738,0.005985176136983435
Neural Network,StandardScaler,KMeansSMOTE,0.9635055882919492,0.0072966697070671075,0.9657622785250426,0.006350731773892567,0.9629685612197114,0.007477312163004383,0.9635055882919492,0.0072966697070671075
Neural Network,RobustScaler,NoOversampling,0.8838243216280925,0.0028471117455727956,0.8817252812831196,0.005030859688935568,0.8731526409273119,0.003442341253174957,0.8838243216280925,0.0028471117455727956
Neural Network,RobustScaler,SMOTE,0.9567428150331614,0.00551140052865935,0.9592516098635148,0.004511127068598602,0.956332437859556,0.0055472251955926075,0.9567428150331614,0.00551140052865935
Neural Network,RobustScaler,RandomOverSampler,0.9687177597641856,0.003905326662412971,0.9708628677604185,0.0035213005894303064,0.9683082187264885,0.004000044871439172,0.9687177597641856,0.003905326662412971
Neural Network,RobustScaler,BorderlineSMOTE,0.9614222549742077,0.005140774052941813,0.9628480017997955,0.0048935222824757285,0.9611530470321934,0.005110652647579768,0.9614222549742077,0.005140774052941813
Neural Network,RobustScaler,KMeansSMOTE,0.9633257934760137,0.005150348886143083,0.9651396157416835,0.003929674189020916,0.9629330923983825,0.005145953922318408,0.9633257934760137,0.005150348886143083
Neural Network,QuantileTransformer,NoOversampling,0.8831546787709499,0.010106850716434619,0.8794516131205296,0.012144607656916025,0.87770739496205,0.009736788660281378,0.8831546787709499,0.010106850716434619
Neural Network,QuantileTransformer,SMOTE,0.9648857774502579,0.003232382048557303,0.9662676817964291,0.0025386621681731223,0.9646308679620812,0.0033883326468752786,0.9648857774502579,0.003232382048557303
Neural Network,QuantileTransformer,RandomOverSampler,0.9777450257921887,0.006716083944032116,0.9795500202198391,0.006034641299924721,0.9776056284593097,0.006881831523961075,0.9777450257921887,0.006716083944032116
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9681650700073693,0.0054693640187930895,0.9696016070313822,0.0048764062419419975,0.9680258980633735,0.005414294530969003,0.9681650700073693,0.0054693640187930895
Neural Network,QuantileTransformer,KMeansSMOTE,0.9756105737668431,0.003801443434678564,0.9764173750051384,0.0031578137825684647,0.9755264810969795,0.0038049201015030814,0.9756105737668431,0.003801443434678564
