Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7106776237031125,0.017319893089418555,0.7067320502768912,0.02002356909699549,0.6845028673034426,0.01716515189770932,0.7106776237031125,0.017319893089418555
Neural Network,NoScaler,SMOTE,0.8274871039056743,0.0073826332919659735,0.835623923893636,0.004714248028612824,0.8252579461325305,0.006898584789513337,0.8274871039056743,0.0073826332919659735
Neural Network,NoScaler,RandomOverSampler,0.84966838614591,0.02600162362885075,0.8598319928234532,0.018937710420035815,0.8465983606701286,0.02620163799081709,0.84966838614591,0.02600162362885075
Neural Network,NoScaler,BorderlineSMOTE,0.8913411938098748,0.01312896392137855,0.8983923503612475,0.010967764476958103,0.8904739335299695,0.012751143793483037,0.8913411938098748,0.01312896392137855
Neural Network,NoScaler,KMeansSMOTE,0.8822693525470301,0.010585896911316044,0.8900957445660019,0.010028464214716364,0.8801408685494042,0.011315857992404093,0.8822693525470301,0.010585896911316044
Neural Network,StandardScaler,NoOversampling,0.7692151336791699,0.012077404535477839,0.7598784773574948,0.014114382846432337,0.7519035328303831,0.012725724722171181,0.7692151336791699,0.012077404535477839
Neural Network,StandardScaler,SMOTE,0.9040530582166545,0.010539110788519554,0.9069000790796787,0.009757132667116593,0.9028534446946198,0.010632372615742897,0.9040530582166545,0.010539110788519554
Neural Network,StandardScaler,RandomOverSampler,0.9454679439941046,0.007308148010781257,0.9507771213208972,0.004990350539832408,0.9431834490157629,0.009232352379929185,0.9454679439941046,0.007308148010781257
Neural Network,StandardScaler,BorderlineSMOTE,0.9251289609432571,0.011820958816023755,0.9286735873786357,0.0098734687958984,0.9230545854355903,0.01323717997803173,0.9251289609432571,0.011820958816023755
Neural Network,StandardScaler,KMeansSMOTE,0.9330498719658546,0.004824475505490221,0.9362118472729122,0.0035826211328598093,0.9326306400357562,0.004596401206656821,0.9330498719658546,0.004824475505490221
Neural Network,RobustScaler,NoOversampling,0.7609484736632083,0.004228237565086473,0.764528302904658,0.009722038320414149,0.7402696069151184,0.008181463632604484,0.7609484736632083,0.004228237565086473
Neural Network,RobustScaler,SMOTE,0.9000736919675756,0.012072669664139639,0.9047477685712544,0.011324687118579388,0.8981045671462844,0.012393595758309542,0.9000736919675756,0.012072669664139639
Neural Network,RobustScaler,RandomOverSampler,0.9419675755342668,0.013160258938210942,0.9449796041802063,0.01142359328361767,0.9400390161938965,0.013615523597570556,0.9419675755342668,0.013160258938210942
Neural Network,RobustScaler,BorderlineSMOTE,0.9179439941046426,0.013629328905041772,0.9230034372341553,0.0082793436251262,0.9168362951695714,0.013577495922571493,0.9179439941046426,0.013629328905041772
Neural Network,RobustScaler,KMeansSMOTE,0.9292377094453259,0.005211782073050293,0.9317982598469161,0.005420324943545869,0.927962730971811,0.005032758789977344,0.9292377094453259,0.005211782073050293
Neural Network,QuantileTransformer,NoOversampling,0.7725625997605746,0.006759198372115282,0.7767385258401385,0.00321030767090734,0.7564984651510814,0.005749860344261496,0.7725625997605746,0.006759198372115282
Neural Network,QuantileTransformer,SMOTE,0.9065954310980103,0.0048069536499043275,0.9099505535928808,0.004399304331301564,0.9054129332101979,0.005753950228993806,0.9065954310980103,0.0048069536499043275
Neural Network,QuantileTransformer,RandomOverSampler,0.9575165806927044,0.0062329640246987774,0.960689176563627,0.005452330728865734,0.9562364490367441,0.0062999589912702495,0.9575165806927044,0.0062329640246987774
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9325718496683862,0.004107955411103551,0.9336000245639194,0.003853363739737474,0.9315657288915278,0.004295061704571384,0.9325718496683862,0.004107955411103551
Neural Network,QuantileTransformer,KMeansSMOTE,0.934588527582998,0.005092929638623184,0.9374720481452945,0.004858035028683729,0.9340565078671388,0.004989470145663987,0.934588527582998,0.005092929638623184
