Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5911534816440542,0.003146980532329012,0.7301121274671043,0.013840139336657184,0.5073783136946785,0.01087823249745215,0.5911534816440542,0.003146980532329012
Support Vector Machine,NoScaler,SMOTE,0.7012527634487841,0.0037350997487027643,0.7394526449526672,0.004214294845645164,0.7029019943900393,0.005513845609680073,0.7012527634487841,0.0037350997487027643
Support Vector Machine,NoScaler,RandomOverSampler,0.6463522476050111,0.01797223056381288,0.690528784656862,0.019168165599940182,0.6421737024841747,0.01892043169940277,0.6463522476050111,0.01797223056381288
Support Vector Machine,NoScaler,BorderlineSMOTE,0.7616433308769344,0.007139378832591209,0.7872615602551989,0.012098790013331953,0.7545041367486466,0.007636373704270134,0.7616433308769344,0.007139378832591209
Support Vector Machine,NoScaler,KMeansSMOTE,0.763849575278098,0.014330322434048732,0.7862368837955597,0.012103207753457888,0.7567393143578246,0.018567056908499597,0.763849575278098,0.014330322434048732
Support Vector Machine,StandardScaler,NoOversampling,0.7806085395051875,0.0046776217539527985,0.799148696642931,0.006336160971716459,0.7602047413384622,0.012979131653229628,0.7806085395051875,0.0046776217539527985
Support Vector Machine,StandardScaler,SMOTE,0.8598747236551215,0.005426001174037844,0.867002558330433,0.004649968550859737,0.859832930623311,0.005331707280207276,0.8598747236551215,0.005426001174037844
Support Vector Machine,StandardScaler,RandomOverSampler,0.8027634487840825,0.010510215960252745,0.8191557307683398,0.010494516361588234,0.801932869833059,0.011434531158383282,0.8027634487840825,0.010510215960252745
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8915622697126013,0.006752573164653026,0.8935117198772365,0.006277561868114418,0.8904457288417766,0.0066864817455316175,0.8915622697126013,0.006752573164653026
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8804403115502211,0.008052102048216688,0.8884991756402478,0.0072712153201085795,0.8805779156460598,0.008951451907025518,0.8804403115502211,0.008052102048216688
Support Vector Machine,RobustScaler,NoOversampling,0.7694375997605747,0.0023453353060082236,0.7929707481883115,0.012425511961996493,0.7430243889555445,0.00944396293454803,0.7694375997605747,0.0023453353060082236
Support Vector Machine,RobustScaler,SMOTE,0.8438098747236552,0.005005361108237465,0.8530199343952336,0.004116809732872312,0.8444161810193467,0.004713656193160952,0.8438098747236552,0.005005361108237465
Support Vector Machine,RobustScaler,RandomOverSampler,0.7871039056742815,0.00654636072722772,0.8030486834257591,0.006654497600242091,0.7869700758018018,0.007453288118173755,0.7871039056742815,0.00654636072722772
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.876602800294768,0.00560543559491131,0.8786150575677556,0.004944361463547909,0.8749363856856733,0.005782189882160895,0.876602800294768,0.00560543559491131
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8693633187369567,0.008793919558491547,0.8796983643460173,0.008895491446804366,0.8694108219929648,0.009780004963127184,0.8693633187369567,0.008793919558491547
Support Vector Machine,QuantileTransformer,NoOversampling,0.7841829608938548,0.004287163541388507,0.7961577497204957,0.005892437075648384,0.7636124503963642,0.005648757678510819,0.7841829608938548,0.004287163541388507
Support Vector Machine,QuantileTransformer,SMOTE,0.8585114222549741,0.006500993278546583,0.8632841917512479,0.006075661937365467,0.8585997504392189,0.006182358603858085,0.8585114222549741,0.006500993278546583
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8106853352984524,0.0077100606262943145,0.8231543076769692,0.007156017883477267,0.8098985300385728,0.007860316439777483,0.8106853352984524,0.0077100606262943145
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.894915254237288,0.010754104929861594,0.8967130036856613,0.010012148051199534,0.8942523508807347,0.010793110926938349,0.894915254237288,0.010754104929861594
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8856848155777041,0.008263333508507994,0.8907883355760141,0.009058449143804843,0.8853795791897344,0.009042406531685278,0.8856848155777041,0.008263333508507994
K-Nearest Neighbors,NoScaler,NoOversampling,0.8069750099760574,0.012963561448050703,0.8134552088905866,0.014361557647734977,0.7932568306935012,0.015591602216597455,0.8069750099760574,0.012963561448050703
K-Nearest Neighbors,NoScaler,SMOTE,0.9562638172439204,0.0037586515641286865,0.9568914940323257,0.0037249802035658358,0.9554822834307675,0.003896156884741724,0.9562638172439204,0.0037586515641286865
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9815401621223288,0.0010640773086362247,0.9821115139455033,0.0009689988400014496,0.9808519975758303,0.001133236486017184,0.9815401621223288,0.0010640773086362247
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9668386145910095,0.0034229105858492644,0.9674462710513849,0.003218251724767279,0.9663131900358337,0.003579750638108837,0.9668386145910095,0.0034229105858492644
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9667363502605705,0.0017030212914680286,0.9673846062601555,0.0017425526366444705,0.9661206067571454,0.0017355696784478317,0.9667363502605705,0.0017030212914680286
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8630471867517956,0.0045076072427225715,0.8609283413160093,0.006108844636742374,0.8547731622368892,0.0075327727266218504,0.8630471867517956,0.0045076072427225715
K-Nearest Neighbors,StandardScaler,SMOTE,0.97343404568902,0.001595052381865431,0.9737982959971372,0.0017482484510112212,0.9730851557434546,0.0016040494614183293,0.97343404568902,0.001595052381865431
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9892041267501842,0.0007604925364978104,0.9896097142055797,0.0007173951232408255,0.988940356823339,0.0007984989165938186,0.9892041267501842,0.0007604925364978104
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9738761974944732,0.002095367311438867,0.974343952672014,0.0019592129855521994,0.9736146418019249,0.00212987288785958,0.9738761974944732,0.002095367311438867
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9748399063795523,0.0030273400895834204,0.9753069803178154,0.0029309202076220025,0.9746036996986485,0.0030867276261182987,0.9748399063795523,0.0030273400895834204
K-Nearest Neighbors,RobustScaler,NoOversampling,0.864835145650439,0.004510036698323007,0.8630358271419014,0.006930753545157597,0.8570021803942899,0.0068281733173836245,0.864835145650439,0.004510036698323007
K-Nearest Neighbors,RobustScaler,SMOTE,0.9726602800294767,0.001604387697647562,0.9730800822741699,0.001789269327142581,0.972304585462975,0.0016002476932978193,0.9726602800294767,0.001604387697647562
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9889830508474576,0.0006424316792248665,0.9893889201161905,0.0006192054784814229,0.9887106145761404,0.0006867320898263442,0.9889830508474576,0.0006424316792248665
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9733603537214444,0.0012901356963899403,0.9737885833721064,0.0011445542215035407,0.9731425003827727,0.0013666422074501531,0.9733603537214444,0.0012901356963899403
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9749871188850724,0.0018872779892489667,0.9754152518714003,0.0018124659629291538,0.97478302427579,0.0019213777081439122,0.9749871188850724,0.0018872779892489667
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8650583599361532,0.004538240118922724,0.8658827605680068,0.007687405630766564,0.8524687495632272,0.004848622811093025,0.8650583599361532,0.004538240118922724
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9729918938835669,0.0015352001957258474,0.9733487540927331,0.0015484100418736494,0.9726721737424017,0.001572249697354202,0.9729918938835669,0.0015352001957258474
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9901252763448785,0.0004602061900072399,0.9904021973318438,0.0004113548984374032,0.9899241658053228,0.0004968921289797535,0.9901252763448785,0.0004602061900072399
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9757553426676491,0.0017578276259214013,0.9761262079950294,0.0015537012740284542,0.9755506807076282,0.0018328008906524525,0.9757553426676491,0.0017578276259214013
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9749870715057594,0.0022793531908153865,0.9755155687386766,0.0021213254543265307,0.974732536318091,0.002359314259127675,0.9749870715057594,0.0022793531908153865
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.9998526160648489,0.0002148471589847363,0.9998529256782867,0.00021452980422374305,0.9998526154032905,0.00021484812336331345,0.9998526160648489,0.0002148471589847363
Gradient Boosting,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,BorderlineSMOTE,0.9999631540162122,7.369196757553985e-05,0.9999633094844983,7.338103100344995e-05,0.9999631538508227,7.369229835467728e-05,0.9999631540162122,7.369196757553985e-05
Gradient Boosting,NoScaler,KMeansSMOTE,0.9999633632533431,7.327349331380795e-05,0.999963517838772,7.29643224559151e-05,0.9999633632533431,7.327349331380795e-05,0.9999633632533431,7.327349331380795e-05
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,0.9998526160648489,0.0002148471589847363,0.9998529256782867,0.00021452980422374305,0.9998526154032905,0.00021484812336331345,0.9998526160648489,0.0002148471589847363
Gradient Boosting,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,BorderlineSMOTE,0.9999631540162122,7.369196757553985e-05,0.9999633094844983,7.338103100344995e-05,0.9999631538508227,7.369229835467728e-05,0.9999631540162122,7.369196757553985e-05
Gradient Boosting,StandardScaler,KMeansSMOTE,0.9999633632533431,7.327349331380795e-05,0.999963517838772,7.29643224559151e-05,0.9999633632533431,7.327349331380795e-05,0.9999633632533431,7.327349331380795e-05
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,0.9998526160648489,0.0002148471589847363,0.9998529256782867,0.00021452980422374305,0.9998526154032905,0.00021484812336331345,0.9998526160648489,0.0002148471589847363
Gradient Boosting,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,BorderlineSMOTE,0.9999631540162122,7.369196757553985e-05,0.9999633094844983,7.338103100344995e-05,0.9999631538508227,7.369229835467728e-05,0.9999631540162122,7.369196757553985e-05
