Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5878030227454111,0.004717090581650783,0.7337917107283004,0.010997082485386027,0.5016960300961327,0.013608448080263465,0.5878030227454111,0.004717090581650783
Support Vector Machine,NoScaler,SMOTE,0.621702284450995,0.005963588211108419,0.6604226276624435,0.013779121624808132,0.6124735826291333,0.004816364641783674,0.621702284450995,0.005963588211108419
Support Vector Machine,NoScaler,RandomOverSampler,0.5610537951363301,0.014149337531782718,0.605572055674758,0.013493090802349183,0.5549497947580965,0.020757931484057208,0.5610537951363301,0.014149337531782718
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6871407516580692,0.018246538913493662,0.7177066550826618,0.015070267987266173,0.6674351939515082,0.02060356918505033,0.6871407516580692,0.018246538913493662
Support Vector Machine,NoScaler,KMeansSMOTE,0.7101642911078511,0.017888449155774176,0.7278541403923031,0.018645831789414046,0.697147538621176,0.020031810686232915,0.7101642911078511,0.017888449155774176
Support Vector Machine,StandardScaler,NoOversampling,0.6907968375897846,0.0060986202379778994,0.7351721203083148,0.007160086935509296,0.636597976746581,0.016045013378293404,0.6907968375897846,0.0060986202379778994
Support Vector Machine,StandardScaler,SMOTE,0.7801400147383935,0.007898802720180424,0.7926751686843654,0.006838148763992177,0.7791217251888481,0.007847490435491985,0.7801400147383935,0.007898802720180424
Support Vector Machine,StandardScaler,RandomOverSampler,0.7277450257921886,0.0145648403512499,0.7469026683080486,0.013550563772283683,0.7261065555962805,0.01396285727475857,0.7277450257921886,0.0145648403512499
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8328297715549005,0.007424808584969492,0.8364758928146303,0.007537385127960809,0.8298266574367906,0.007353700840488629,0.8328297715549005,0.007424808584969492
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8416445406725961,0.00981380023097926,0.8500222029238487,0.013261813165023721,0.840375954736935,0.01004007486352738,0.8416445406725961,0.00981380023097926
Support Vector Machine,RobustScaler,NoOversampling,0.6847630686352754,0.005071324567078376,0.7202468163911708,0.012085223978697724,0.637665230321374,0.012741291835722824,0.6847630686352754,0.005071324567078376
Support Vector Machine,RobustScaler,SMOTE,0.7790714812085482,0.00565246694391051,0.7930497258438404,0.004955085750903605,0.7782376258218288,0.005383136000109572,0.7790714812085482,0.00565246694391051
Support Vector Machine,RobustScaler,RandomOverSampler,0.7330140014738393,0.011676398664565477,0.7539514184730993,0.009541194408726084,0.731233715267191,0.010589754212285219,0.7330140014738393,0.011676398664565477
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8307295504789977,0.007101244926541846,0.8351646171957313,0.005900648919415122,0.8277289515199179,0.006656405607565783,0.8307295504789977,0.007101244926541846
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8416446012401343,0.009006285571736748,0.8495523718627126,0.012246603155314355,0.8403005123288667,0.009368175646743093,0.8416446012401343,0.009006285571736748
Support Vector Machine,QuantileTransformer,NoOversampling,0.7024124600957702,0.003164126803741007,0.7261936008682403,0.019011457023020314,0.6628107853283859,0.011888993394747615,0.7024124600957702,0.003164126803741007
Support Vector Machine,QuantileTransformer,SMOTE,0.7846720707442889,0.008860980320043236,0.799023362424409,0.007366831863087085,0.7845392976814946,0.008666232012641589,0.7846720707442889,0.008860980320043236
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.7436256448047163,0.010060100727923398,0.7640114388989275,0.011208643512892783,0.7420059386784065,0.009962241204879273,0.7436256448047163,0.010060100727923398
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8393146647015476,0.008203839172384562,0.8451930243590613,0.006194295264848193,0.8374626083778868,0.008226846459131309,0.8393146647015476,0.008203839172384562
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8483191738304562,0.00960699887466483,0.8569916722188948,0.012644784809579033,0.8477901950273713,0.009677404611703118,0.8483191738304562,0.00960699887466483
K-Nearest Neighbors,NoScaler,NoOversampling,0.7484387470071827,0.00846756685860643,0.7507741878794217,0.011691269803579136,0.7322327987737227,0.010999165057974452,0.7484387470071827,0.00846756685860643
K-Nearest Neighbors,NoScaler,SMOTE,0.9289977892409726,0.005639482147121508,0.9295387489073701,0.0056245654350844205,0.9272082963655904,0.006115018463348278,0.9289977892409726,0.005639482147121508
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9734340456890198,0.0015165155215369878,0.9743122880858233,0.001334966775303798,0.9717112195327946,0.0017246666990413536,0.9734340456890198,0.0015165155215369878
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9515475313190862,0.004098028802770629,0.9519855844960498,0.004262164719544259,0.9503558145986348,0.0041900250807784725,0.9515475313190862,0.004098028802770629
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9535449074317679,0.0027641365863866826,0.9542274406531316,0.002863877058260181,0.9519292789658589,0.0027354840273871453,0.9535449074317679,0.0027641365863866826
K-Nearest Neighbors,StandardScaler,NoOversampling,0.7634053272146847,0.0044072439102316565,0.7544162692342008,0.009665589593669933,0.7547658320515731,0.008231682043546002,0.7634053272146847,0.0044072439102316565
K-Nearest Neighbors,StandardScaler,SMOTE,0.940493736182756,0.002613209023802094,0.9411849850661804,0.002629880664150382,0.9386971867089647,0.0028195257994024924,0.940493736182756,0.002613209023802094
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9754605747973469,0.0013254315216363393,0.9762194913770859,0.0012919004993858295,0.973949964701951,0.0014832836908862707,0.9754605747973469,0.0013254315216363393
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9519896831245396,0.0022126005594697903,0.9526020410138214,0.0020807605524666784,0.9508056750451692,0.002283539068850197,0.9519896831245396,0.0022126005594697903
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9528855064263417,0.0015258119782134486,0.9537008834899746,0.0016667700624362057,0.9514602865933094,0.0015861311251508406,0.9528855064263417,0.0015258119782134486
K-Nearest Neighbors,RobustScaler,NoOversampling,0.7696623104549083,0.006536451175662372,0.7731869991736355,0.008869016246368095,0.7537633190129165,0.006492183767254741,0.7696623104549083,0.006536451175662372
K-Nearest Neighbors,RobustScaler,SMOTE,0.9385408990420043,0.0016502723416771303,0.9393094097408884,0.0014598084444155449,0.936628788509186,0.0016199949408272761,0.9385408990420043,0.0016502723416771303
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9749815770081061,0.0016203856615546036,0.9757433828747637,0.0016435124360980602,0.9733742626359778,0.0017601685614145161,0.9749815770081061,0.0016203856615546036
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9508843036109065,0.001993091869756603,0.9513495876183928,0.0020654577521028268,0.9497504926026912,0.0019918424813806694,0.9508843036109065,0.001993091869756603
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9513824795825311,0.0018249362755464154,0.952272501364597,0.0019503150459289197,0.949952948121215,0.002148321909785764,0.9513824795825311,0.0018249362755464154
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.7674281723862728,0.0047162427568007365,0.7651317349212061,0.007141168816019231,0.7497703132854341,0.005818033991564185,0.7674281723862728,0.0047162427568007365
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9387988209285189,0.003300544683354273,0.9397631268017805,0.003619403509386015,0.9370450453224022,0.0033355815230417616,0.9387988209285189,0.003300544683354273
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9775239498894621,0.00038644393816142825,0.9780979002450285,0.0004481725029820777,0.9763578586577293,0.00036231758918848773,0.9775239498894621,0.00038644393816142825
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9518422991893883,0.00229097885876344,0.9522973921469198,0.002174614413786886,0.9508619895004319,0.0022956147499316607,0.9518422991893883,0.00229097885876344
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9529219952619193,0.003020869358374485,0.9541137985742386,0.0027894317315753656,0.9516071347144784,0.0030390033916293294,0.9529219952619193,0.003020869358374485
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.9956890198968313,0.001180222356525208,0.995728619235069,0.0011631080070348863,0.995680173993601,0.0011829906622722406,0.9956890198968313,0.001180222356525208
Gradient Boosting,NoScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
Gradient Boosting,NoScaler,BorderlineSMOTE,0.9985261606484894,0.0009248268532064116,0.9985304201075736,0.0009224234976587006,0.9985244039610262,0.0009269241357118751,0.9985261606484894,0.0009248268532064116
Gradient Boosting,NoScaler,KMeansSMOTE,0.9988634144896599,0.0004549283056172789,0.9988716283471035,0.0004523409095540749,0.9988625370795431,0.00045639946033509065,0.9988634144896599,0.0004549283056172789
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,0.9958364038319824,0.0010063743761052008,0.9958735426467088,0.000993318904146821,0.995826886623659,0.0010092973332229134,0.9958364038319824,0.0010063743761052008
Gradient Boosting,StandardScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
Gradient Boosting,StandardScaler,BorderlineSMOTE,0.998563006632277,0.0009494545856098039,0.9985664888786226,0.0009486055576690211,0.9985614965759917,0.0009512669558443932,0.998563006632277,0.0009494545856098039
Gradient Boosting,StandardScaler,KMeansSMOTE,0.99879006037266,0.00044300934322438475,0.9987979845880398,0.0004388780278062598,0.9987887222650874,0.0004440775117422283,0.99879006037266,0.00044300934322438475
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,0.9958364038319824,0.0010063743761052008,0.9958735426467088,0.000993318904146821,0.995826886623659,0.0010092973332229134,0.9958364038319824,0.0010063743761052008
Gradient Boosting,RobustScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
