Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8543401665598974,0.00909895831957583,0.8637922007009122,0.007495135888472678,0.8425165837613985,0.012329240054051527,0.8543401665598974,0.00909895831957583
Random Forest,NoScaler,SMOTE,0.8043201473414477,0.02058442043783348,0.8245669720338299,0.019023055968086882,0.8225179325780368,0.013208393420464941,0.8043201473414477,0.02058442043783348
Random Forest,NoScaler,RandomOverSampler,0.8391495836002563,0.012211062930446399,0.8514393501772876,0.0127551856287615,0.8329817603319156,0.01230202547225322,0.8391495836002563,0.012211062930446399
Random Forest,NoScaler,BorderlineSMOTE,0.8159112748238309,0.02575356980612694,0.8291989978977161,0.021668064969776007,0.823711216172752,0.025348816511501168,0.8159112748238309,0.02575356980612694
Random Forest,NoScaler,KMeansSMOTE,0.8150384368994235,0.02216109723619507,0.8333988767275067,0.02400479474662931,0.8224455731059805,0.014120267539706936,0.8150384368994235,0.02216109723619507
Random Forest,StandardScaler,NoOversampling,0.8516615951313261,0.007524354748307644,0.8618399614718874,0.007498975555172368,0.8393499960880778,0.00955041715720811,0.8516615951313261,0.007524354748307644
Random Forest,StandardScaler,SMOTE,0.8043201473414477,0.02058442043783348,0.8245669720338299,0.019023055968086882,0.8225179325780368,0.013208393420464941,0.8043201473414477,0.02058442043783348
Random Forest,StandardScaler,RandomOverSampler,0.8391495836002563,0.012211062930446399,0.8514393501772876,0.0127551856287615,0.8329817603319156,0.01230202547225322,0.8391495836002563,0.012211062930446399
Random Forest,StandardScaler,BorderlineSMOTE,0.8159112748238309,0.02575356980612694,0.8291989978977161,0.021668064969776007,0.823711216172752,0.025348816511501168,0.8159112748238309,0.02575356980612694
Random Forest,StandardScaler,KMeansSMOTE,0.8141415759128764,0.021073393640656916,0.8314890116503602,0.02171940652433461,0.8217500770833419,0.01315664081026042,0.8141415759128764,0.021073393640656916
Random Forest,RobustScaler,NoOversampling,0.8534473094170403,0.00854418367216225,0.8632648526649236,0.006797672480179245,0.8418542627656199,0.01198396015245685,0.8534473094170403,0.00854418367216225
Random Forest,RobustScaler,SMOTE,0.8034272901985908,0.021075768446875833,0.8238016659113809,0.018481317081155857,0.8213239133036605,0.013105365498040889,0.8034272901985908,0.021075768446875833
Random Forest,RobustScaler,RandomOverSampler,0.8400424407431135,0.013580488909215099,0.8521482395022483,0.013660313938041097,0.8337731423732977,0.013196569973614212,0.8400424407431135,0.013580488909215099
Random Forest,RobustScaler,BorderlineSMOTE,0.8159112748238309,0.02575356980612694,0.8291989978977161,0.021668064969776007,0.823711216172752,0.025348816511501168,0.8159112748238309,0.02575356980612694
Random Forest,RobustScaler,KMeansSMOTE,0.8150344330557335,0.02218506123810878,0.8322017166041364,0.022414662811046943,0.8225827655216642,0.014042035368659219,0.8150344330557335,0.02218506123810878
Random Forest,QuantileTransformer,NoOversampling,0.8534433055733505,0.003211107600855758,0.8598432905087021,0.005361062594912428,0.8459000820097369,0.009160695186019465,0.8534433055733505,0.003211107600855758
Random Forest,QuantileTransformer,SMOTE,0.8087844330557334,0.017246863312232023,0.8262630407146878,0.01941973328730661,0.8264886802112577,0.012069562920921326,0.8087844330557334,0.017246863312232023
Random Forest,QuantileTransformer,RandomOverSampler,0.8391495836002563,0.009659528273303545,0.8516993384659415,0.011998270941435045,0.8331872785299813,0.009984430113782042,0.8391495836002563,0.009659528273303545
Random Forest,QuantileTransformer,BorderlineSMOTE,0.816804131966688,0.025851798967564232,0.8301602199030558,0.021511342877573322,0.8250333098261408,0.025687614311006836,0.816804131966688,0.025851798967564232
Random Forest,QuantileTransformer,KMeansSMOTE,0.8141455797565664,0.02486795148156827,0.8316235639437138,0.023543192704551484,0.8215479697513235,0.0152491868872593,0.8141455797565664,0.02486795148156827
