Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.722986066623959,0.024573548162207186,0.7378355329932076,0.014789596730369252,0.7191039672785411,0.01933814774514096,0.722986066623959,0.024573548162207186
Random Forest,NoScaler,SMOTE,0.6729580397181294,0.03775345763852681,0.7188190235237976,0.028273889115065877,0.7018336213557592,0.02229887134043781,0.6729580397181294,0.03775345763852681
Random Forest,NoScaler,RandomOverSampler,0.715835201793722,0.02516066983291402,0.7321668469824217,0.018476528292863052,0.71961880453844,0.015902911272218028,0.715835201793722,0.02516066983291402
Random Forest,NoScaler,BorderlineSMOTE,0.693477738629084,0.024848750691684383,0.7254301540703845,0.01784811559044775,0.7102399444378226,0.016094205655502642,0.693477738629084,0.024848750691684383
Random Forest,NoScaler,KMeansSMOTE,0.6872597693786033,0.03663308901789991,0.7302058390056023,0.011956525882696445,0.7134182398534308,0.018266702008154296,0.6872597693786033,0.03663308901789991
Random Forest,StandardScaler,NoOversampling,0.7212003523382446,0.024328655672167004,0.7356781114113908,0.014942634604810484,0.7164559351412076,0.02023353235725854,0.7212003523382446,0.024328655672167004
Random Forest,StandardScaler,SMOTE,0.6729580397181294,0.03775345763852681,0.7188190235237976,0.028273889115065877,0.7018336213557592,0.02229887134043781,0.6729580397181294,0.03775345763852681
Random Forest,StandardScaler,RandomOverSampler,0.715835201793722,0.02318180409577278,0.7324427668567253,0.017016365344902275,0.7200588135995385,0.014107519167854179,0.715835201793722,0.02318180409577278
Random Forest,StandardScaler,BorderlineSMOTE,0.693477738629084,0.024848750691684383,0.7254301540703845,0.01784811559044775,0.7102399444378226,0.016094205655502642,0.693477738629084,0.024848750691684383
Random Forest,StandardScaler,KMeansSMOTE,0.6872597693786033,0.03663308901789991,0.7302058390056023,0.011956525882696445,0.7134182398534308,0.018266702008154296,0.6872597693786033,0.03663308901789991
Random Forest,RobustScaler,NoOversampling,0.7212003523382446,0.024328655672167004,0.7356781114113908,0.014942634604810484,0.7164559351412076,0.02023353235725854,0.7212003523382446,0.024328655672167004
