Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8141255605381167,0.013636437999475963,0.8299023330180086,0.01374175352951704,0.795579453837757,0.010572898619483212,0.8141255605381167,0.013636437999475963
Neural Network,NoScaler,SMOTE,0.6953355221012172,0.0495788538706931,0.8134137042289717,0.029839594117757124,0.7298227446575801,0.04342469815974417,0.6953355221012172,0.0495788538706931
Neural Network,NoScaler,RandomOverSampler,0.7318625880845612,0.04054185241785167,0.8218781858325995,0.024907483062791513,0.7562182847811821,0.03405778413090454,0.7318625880845612,0.04054185241785167
Neural Network,NoScaler,BorderlineSMOTE,0.7354620435618193,0.06576336649961287,0.8124758648693436,0.029579299784732584,0.7584374175358632,0.05704490546168605,0.7354620435618193,0.06576336649961287
Neural Network,NoScaler,KMeansSMOTE,0.7399903907751442,0.04931427341127927,0.8132662463963763,0.008414205644402359,0.769704714633011,0.03774374603075669,0.7399903907751442,0.04931427341127927
Neural Network,StandardScaler,NoOversampling,0.823963004484305,0.021140463783950833,0.8261716122226881,0.02440414581887287,0.825604767394313,0.01186351137998151,0.823963004484305,0.021140463783950833
Neural Network,StandardScaler,SMOTE,0.758752402306214,0.04178747690040248,0.7934772371204749,0.037271235847921476,0.779473605627133,0.025780783135554687,0.758752402306214,0.04178747690040248
Neural Network,StandardScaler,RandomOverSampler,0.7649783792440743,0.01495026548439336,0.7980790170057721,0.020912335897575757,0.7833669858624581,0.003169269653007423,0.7649783792440743,0.01495026548439336
Neural Network,StandardScaler,BorderlineSMOTE,0.756049807815503,0.018853608057877648,0.7966622045864138,0.026087690986493613,0.7795971898908179,0.019277241020355385,0.756049807815503,0.018853608057877648
Neural Network,StandardScaler,KMeansSMOTE,0.7703395259449071,0.03703925696121479,0.80868712223382,0.030027500986355395,0.7940749381869314,0.022719425911487373,0.7703395259449071,0.03703925696121479
Neural Network,RobustScaler,NoOversampling,0.8302370275464446,0.02617320613090735,0.8406198452291257,0.0273272721125386,0.8185577714437751,0.01926356061882994,0.8302370275464446,0.02617320613090735
Neural Network,RobustScaler,SMOTE,0.764998398462524,0.03538719141568911,0.8095575248198559,0.032624156584191356,0.792378883337577,0.022916246155912857,0.764998398462524,0.03538719141568911
Neural Network,RobustScaler,RandomOverSampler,0.7712604099935938,0.03720991687127297,0.817588802421222,0.02433584082942348,0.7949548268994272,0.026127580129711187,0.7712604099935938,0.03720991687127297
Neural Network,RobustScaler,BorderlineSMOTE,0.76320067264574,0.031686026872481954,0.8022193755855571,0.019203038238539364,0.788212350892931,0.023265066079937825,0.76320067264574,0.031686026872481954
Neural Network,RobustScaler,KMeansSMOTE,0.7480020819987188,0.04913266566556529,0.8072435854062429,0.033395695671336434,0.7776746407635311,0.03148042498418346,0.7480020819987188,0.04913266566556529
Neural Network,QuantileTransformer,NoOversampling,0.804300128122998,0.029464112970149527,0.8202643551288868,0.023158407076775692,0.8065279946321873,0.023158243842668194,0.804300128122998,0.029464112970149527
Neural Network,QuantileTransformer,SMOTE,0.7462163677130045,0.04360576218349733,0.7919592357367505,0.024976894019136116,0.7695993311090112,0.026725773193748605,0.7462163677130045,0.04360576218349733
Neural Network,QuantileTransformer,RandomOverSampler,0.760546124279308,0.04396171763604561,0.7979546778296449,0.02851893173662255,0.7840769201034467,0.03376288211281248,0.760546124279308,0.04396171763604561
Neural Network,QuantileTransformer,BorderlineSMOTE,0.7426809737347854,0.05089537621668731,0.7781444971681849,0.032641263159605326,0.7677053707011129,0.032968352523257964,0.7426809737347854,0.05089537621668731
Neural Network,QuantileTransformer,KMeansSMOTE,0.7569706918641896,0.05178699708475185,0.7878495303270956,0.037814414530168185,0.7764618419871271,0.037987950249947194,0.7569706918641896,0.05178699708475185
