Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.6568866111467009,0.029714763792717126,0.6783255281791872,0.018466257618204918,0.6593336682562809,0.03077124707106368,0.6568866111467009,0.029714763792717126
Neural Network,NoScaler,SMOTE,0.5934417040358745,0.036836564386551786,0.6943770806462013,0.028639567253189932,0.6439041345613432,0.026310900300490832,0.5934417040358745,0.036836564386551786
Neural Network,NoScaler,RandomOverSampler,0.5755084881486228,0.02759269845064695,0.6960660191342443,0.0231616487474043,0.6497469752173555,0.013782600387067256,0.5755084881486228,0.02759269845064695
Neural Network,NoScaler,BorderlineSMOTE,0.5844770980140936,0.03864740562630767,0.6829268548658441,0.011012128315356378,0.6446463758322144,0.029459076495672722,0.5844770980140936,0.03864740562630767
Neural Network,NoScaler,KMeansSMOTE,0.5880405188981422,0.011913836368812674,0.6935539131437882,0.014602700098186327,0.6280814411021158,0.010696815500409965,0.5880405188981422,0.011913836368812674
Neural Network,StandardScaler,NoOversampling,0.6997397501601537,0.010098655805741956,0.706577683622867,0.022611142392718817,0.7013825221915899,0.018277509543682575,0.6997397501601537,0.010098655805741956
Neural Network,StandardScaler,SMOTE,0.5943625880845611,0.0467289617653117,0.6641095369296705,0.021221090824443022,0.6456253468027551,0.028090884074451976,0.5943625880845611,0.0467289617653117
Neural Network,StandardScaler,RandomOverSampler,0.6122317424727738,0.04548204371904225,0.6672760809304779,0.03298992182810221,0.6606797412587266,0.030245730293349923,0.6122317424727738,0.04548204371904225
Neural Network,StandardScaler,BorderlineSMOTE,0.6139253683536194,0.03282000860738165,0.6597970401034521,0.020853534354518703,0.6640264771127008,0.03242140942392684,0.6139253683536194,0.03282000860738165
Neural Network,StandardScaler,KMeansSMOTE,0.6372037155669442,0.02603942646123281,0.6751145655813139,0.02599091733953129,0.6830342669071781,0.03298957434073136,0.6372037155669442,0.02603942646123281
Neural Network,RobustScaler,NoOversampling,0.6872357463164638,0.025544326314262664,0.6947597132725727,0.011701808195253367,0.7070767037845067,0.02088776133514334,0.6872357463164638,0.025544326314262664
Neural Network,RobustScaler,SMOTE,0.6015174567584882,0.05392488697699361,0.6930430826322305,0.02595111628672094,0.6536294958930429,0.036541684940542975,0.6015174567584882,0.05392488697699361
Neural Network,RobustScaler,RandomOverSampler,0.5969770980140936,0.021657953741561337,0.6750433702421408,0.025558324664502533,0.6494044971273587,0.008180820138674823,0.5969770980140936,0.021657953741561337
Neural Network,RobustScaler,BorderlineSMOTE,0.6255765534913518,0.041568205996800556,0.6802614351793739,0.020047729136922078,0.6758876020104718,0.028621301415912882,0.6255765534913518,0.041568205996800556
Neural Network,RobustScaler,KMeansSMOTE,0.6112788276745675,0.025756339638257342,0.6751541564870964,0.007753432917528183,0.6515173178617346,0.02842128064409636,0.6112788276745675,0.025756339638257342
Neural Network,QuantileTransformer,NoOversampling,0.6845571748878924,0.024658639312187293,0.6995179861575855,0.022488593441056966,0.68419779244017,0.014269295953521196,0.6845571748878924,0.024658639312187293
Neural Network,QuantileTransformer,SMOTE,0.5827314221652786,0.04194684430185459,0.6539784810030119,0.024655015657397444,0.6340001473981465,0.028795594707566895,0.5827314221652786,0.04194684430185459
Neural Network,QuantileTransformer,RandomOverSampler,0.5987708199871877,0.025296709021969864,0.6774821255536602,0.023491625640694007,0.6416135891304384,0.016198990277499162,0.5987708199871877,0.025296709021969864
Neural Network,QuantileTransformer,BorderlineSMOTE,0.5996997117232544,0.06343276732420353,0.6681194898594542,0.039047504302795535,0.6593112107022432,0.03130505395253276,0.5996997117232544,0.06343276732420353
Neural Network,QuantileTransformer,KMeansSMOTE,0.5880405188981422,0.03580400455145767,0.6567084935679274,0.019258477221359885,0.637346370218671,0.030072022079052196,0.5880405188981422,0.03580400455145767
