Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.6811878990422984,0.011641534608868078,0.6441092609672973,0.01909474061966731,0.6811878990422984,0.011641534608868078
Neural Network,NoScaler,SMOTE,0.7981945467943994,0.01564310550869449,0.7940026911613121,0.01770946564795346,0.7981945467943994,0.01564310550869449
Neural Network,NoScaler,RandomOverSampler,0.7963890935887988,0.02830491111536645,0.7921355892305921,0.02672010852482225,0.7963890935887988,0.02830491111536645
Neural Network,NoScaler,BorderlineSMOTE,0.8362452107279694,0.015095688196197648,0.8326186772830443,0.01601073651724912,0.8362452107279694,0.015095688196197648
Neural Network,NoScaler,KMeansSMOTE,0.8527293794789415,0.023838311697547243,0.8494127762615248,0.025564939744049307,0.8527293794789415,0.023838311697547243
Neural Network,StandardScaler,NoOversampling,0.7643029229848364,0.010633342499396467,0.7444780879932842,0.011130034325613485,0.7643029229848364,0.010633342499396467
Neural Network,StandardScaler,SMOTE,0.9049373618275608,0.008431211339698475,0.903430396169765,0.00860482076468819,0.9049373618275608,0.008431211339698475
Neural Network,StandardScaler,RandomOverSampler,0.9467943994104642,0.008785584684090757,0.9461553453261107,0.009087043019988809,0.9467943994104642,0.008785584684090757
Neural Network,StandardScaler,BorderlineSMOTE,0.9265900383141762,0.004996145076690587,0.9257278609381372,0.005379321248250537,0.9265900383141762,0.004996145076690587
Neural Network,StandardScaler,KMeansSMOTE,0.9299243742981147,0.00891749399165236,0.929833715277357,0.008760949928621758,0.9299243742981147,0.00891749399165236
Neural Network,RobustScaler,NoOversampling,0.7589368016759777,0.007314224108241225,0.7440629604581332,0.013299561220006669,0.7589368016759777,0.007314224108241225
Neural Network,RobustScaler,SMOTE,0.907774502579219,0.010033750660279629,0.9063488900757335,0.010121465134138013,0.907774502579219,0.010033750660279629
Neural Network,RobustScaler,RandomOverSampler,0.9399778924097273,0.005794785101929786,0.9380923652657787,0.0064140096069980525,0.9399778924097273,0.005794785101929786
Neural Network,RobustScaler,BorderlineSMOTE,0.9223754789272031,0.0045743339786935054,0.9215809788246705,0.005014841540205376,0.9223754789272031,0.0045743339786935054
Neural Network,RobustScaler,KMeansSMOTE,0.9322410503299936,0.010726182917930463,0.9317465505133532,0.011048549183695274,0.9322410503299936,0.010726182917930463
Neural Network,QuantileTransformer,NoOversampling,0.765863926576217,0.006854195896567809,0.747034448116717,0.007580660055917181,0.765863926576217,0.006854195896567809
Neural Network,QuantileTransformer,SMOTE,0.9076639646278556,0.008900726825561112,0.9059783848294745,0.00874560294270474,0.9076639646278556,0.008900726825561112
Neural Network,QuantileTransformer,RandomOverSampler,0.9535372144436256,0.005988350936051722,0.9523299846183063,0.006761681382967355,0.9535372144436256,0.005988350936051722
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9283908045977011,0.0068809956527317315,0.9275976319988011,0.006566513866150421,0.9283908045977011,0.0068809956527317315
Neural Network,QuantileTransformer,KMeansSMOTE,0.9447541762621114,0.00720807119712763,0.9437526415282689,0.00739608795198803,0.9447541762621114,0.00720807119712763
