Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.6995076815642458,0.0036668395294112382,0.7631969124532871,0.004929119572174041,0.6486348970931199,0.004225298968606004,0.6995076815642458,0.0036668395294112382
Support Vector Machine,NoScaler,SMOTE,0.7814664701547531,0.0005132051686508398,0.7970685868441356,0.0018988604456496195,0.7790990507490335,0.0004340102604379472,0.7814664701547531,0.0005132051686508398
Support Vector Machine,NoScaler,RandomOverSampler,0.7450257921886514,0.009130818401015341,0.7635765630648387,0.019026752833098057,0.7473906987465666,0.010604325363277399,0.7450257921886514,0.009130818401015341
Support Vector Machine,NoScaler,BorderlineSMOTE,0.7588122605363985,0.010978198300302219,0.7702834538498499,0.013402693476576698,0.7460087912729461,0.014203402552501406,0.7588122605363985,0.010978198300302219
Support Vector Machine,NoScaler,KMeansSMOTE,0.8390307748612754,0.012997055439167193,0.8558181247547745,0.010023224326098869,0.8380098228092117,0.013675435185876036,0.8390307748612754,0.012997055439167193
Support Vector Machine,StandardScaler,NoOversampling,0.7984823922585794,0.0036881642631863137,0.8088379893872439,0.008902004956155266,0.7730670821038524,0.008484596515199578,0.7984823922585794,0.0036881642631863137
Support Vector Machine,StandardScaler,SMOTE,0.8506632277081799,0.004269366893910404,0.8591766699638148,0.005888986158260468,0.849404620349939,0.004206490315178103,0.8506632277081799,0.004269366893910404
Support Vector Machine,StandardScaler,RandomOverSampler,0.8111643330876934,0.005834012074781841,0.8245341510035973,0.007363374733648713,0.8103887165875875,0.006236783949080942,0.8111643330876934,0.005834012074781841
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8567049808429118,0.005641429063388784,0.8630320045053104,0.005004338851490431,0.8554730215339024,0.004835021162596875,0.8567049808429118,0.005641429063388784
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8868176882915391,0.011363069708279824,0.8946374176449823,0.00885902362971517,0.8867121282087744,0.01160830598671862,0.8868176882915391,0.011363069708279824
Support Vector Machine,RobustScaler,NoOversampling,0.77435330207502,0.006315220414757592,0.7920823875414035,0.013655822352474927,0.7454042439920943,0.01747057691234391,0.77435330207502,0.006315220414757592
Support Vector Machine,RobustScaler,SMOTE,0.8209653647752395,0.00319393263563291,0.831149644423021,0.0037597060054817737,0.8194728166580539,0.003649480353947175,0.8209653647752395,0.00319393263563291
Support Vector Machine,RobustScaler,RandomOverSampler,0.7831982313927781,0.00994391120492933,0.7953853151623381,0.01051320938141291,0.7815719814046844,0.010347843821873388,0.7831982313927781,0.00994391120492933
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.836551724137931,0.00762577243817582,0.8440095854625108,0.006655598648230802,0.8345147206159311,0.007020237389990043,0.836551724137931,0.00762577243817582
Support Vector Machine,RobustScaler,KMeansSMOTE,0.869980538024525,0.01335204051847886,0.8802228609937417,0.008951988891410152,0.870367952922314,0.013031395365630251,0.869980538024525,0.01335204051847886
Support Vector Machine,QuantileTransformer,NoOversampling,0.7841829608938548,0.004287163541388507,0.7961577497204957,0.005892437075648384,0.7636124503963642,0.005648757678510819,0.7841829608938548,0.004287163541388507
Support Vector Machine,QuantileTransformer,SMOTE,0.8515475313190862,0.005153698212205122,0.8584942457800203,0.004648929953604718,0.8510067253976047,0.0056633942657375825,0.8515475313190862,0.005153698212205122
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8100589535740603,0.00831773091202504,0.8222786288944199,0.007963132140623403,0.8092871684353256,0.008368067551990892,0.8100589535740603,0.00831773091202504
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8651340996168582,0.00992033859474772,0.8706567699883395,0.00956997912742191,0.8641611531508238,0.009307411723185256,0.8651340996168582,0.00992033859474772
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8952699583655503,0.008915262375678511,0.9016402194160593,0.007699230377233172,0.8953379561520155,0.00886653938414751,0.8952699583655503,0.008915262375678511
K-Nearest Neighbors,NoScaler,NoOversampling,0.8708666699920192,0.002886368802384154,0.8739388178536007,0.0025361465844939445,0.8586634951743047,0.003748682206364655,0.8708666699920192,0.002886368802384154
K-Nearest Neighbors,NoScaler,SMOTE,0.9761606484893146,0.0009218862198376314,0.9768173304642825,0.0008013152165003575,0.9757719689886217,0.0009769314643346854,0.9761606484893146,0.0009218862198376314
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.990346352247605,0.0003793526212596415,0.9906545174982824,0.00037053405639658803,0.9901456443590216,0.0004103557886155263,0.990346352247605,0.0003793526212596415
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9774712643678161,0.0009195402298850685,0.9779455101301948,0.0009337135326047172,0.9772208180321812,0.0009306855300347831,0.9774712643678161,0.0009195402298850685
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9801488855860893,0.0016684695598134453,0.9805085885366822,0.001542336204925688,0.979922157246677,0.0017418579576321633,0.9801488855860893,0.0016684695598134453
K-Nearest Neighbors,StandardScaler,NoOversampling,0.866176426576217,0.0035811642853749042,0.8654926436261301,0.009747407834913284,0.8563486416148477,0.003369814510334054,0.866176426576217,0.0035811642853749042
K-Nearest Neighbors,StandardScaler,SMOTE,0.9744657332350772,0.0022370094674518024,0.9751014784614348,0.0020212230068238505,0.97412771596195,0.002308299821907487,0.9744657332350772,0.0022370094674518024
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9912675018422992,0.0007049051757446365,0.9915205894791924,0.000675429948829244,0.9911226775514523,0.0007215103165921506,0.9912675018422992,0.0007049051757446365
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9750957854406129,0.001797094160851892,0.9756781067232108,0.0018254319925384698,0.974846436584864,0.0018118976158960143,0.9750957854406129,0.001797094160851892
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9790092807331128,0.0016953602779643364,0.9794876410889077,0.0014734312296706435,0.9787939788549164,0.0017571185776015113,0.9790092807331128,0.0016953602779643364
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8675169592976856,0.004461464663960587,0.8677316833858665,0.006594614603133984,0.855450283888317,0.004648126738130246,0.8675169592976856,0.004461464663960587
K-Nearest Neighbors,RobustScaler,SMOTE,0.9732498157700811,0.0016161910242786463,0.9739517685674872,0.0014387343869359896,0.9728770350140137,0.0017048973125133034,0.9732498157700811,0.0016161910242786463
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9899042004421519,0.000471858823687022,0.9902638101764405,0.0004311236987246826,0.9897126931335147,0.000508842961275509,0.9899042004421519,0.000471858823687022
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9740229885057472,0.0020004256677711545,0.9746657592179352,0.00203149808287051,0.9737614593907875,0.0020134937920672762,0.9740229885057472,0.0020004256677711545
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9775756123335182,0.0022492496873602903,0.9780784045872093,0.0020730483403395136,0.9773303393407679,0.0023363457693035728,0.9775756123335182,0.0022492496873602903
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8650583599361532,0.004538240118922724,0.8658827605680068,0.007687405630766564,0.8524687495632272,0.004848622811093025,0.8650583599361532,0.004538240118922724
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9741341193809875,0.002495210457382049,0.9747097252312178,0.0023847183436987076,0.9737940357239235,0.00259544471650945,0.9741341193809875,0.002495210457382049
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9901252763448785,0.0004602061900072399,0.9904021973318438,0.0004113548984374032,0.9899241658053228,0.0004968921289797535,0.9901252763448785,0.0004602061900072399
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.974904214559387,0.0020018927935039166,0.9754613774163611,0.0018113674738205589,0.9746631823176285,0.0020193203855642028,0.974904214559387,0.0020018927935039166
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9780898658335546,0.0024924225948223817,0.9785636825480106,0.0023605436756554956,0.9778492487181676,0.002567204736547338,0.9780898658335546,0.0024924225948223817
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.9997789240972734,0.00013786504741246226,0.9997793905021315,0.00013778244733121764,0.9997789236011047,0.00013786513581747221,0.9997789240972734,0.00013786504741246226
Gradient Boosting,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,BorderlineSMOTE,0.9998467432950191,0.00022340811857644028,0.999847066621401,0.00022307552184864453,0.9998467429510596,0.00022340847250808238,0.9998467432950191,0.00022340811857644028
Gradient Boosting,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,0.9997789240972734,0.00013786504741246226,0.9997793905021315,0.00013778244733121764,0.9997789236011047,0.00013786513581747221,0.9997789240972734,0.00013786504741246226
Gradient Boosting,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,BorderlineSMOTE,0.9998084291187739,0.0002098553860172987,0.9998089141083467,0.0002095603970472607,0.9998084286028346,0.00020985570000822118,0.9998084291187739,0.0002098553860172987
Gradient Boosting,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,0.9997789240972734,0.00013786504741246226,0.9997793905021315,0.00013778244733121764,0.9997789236011047,0.00013786513581747221,0.9997789240972734,0.00013786504741246226
Gradient Boosting,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,BorderlineSMOTE,0.9998084291187739,0.0002098553860172987,0.9998089141083467,0.0002095603970472607,0.9998084286028346,0.00020985570000822118,0.9998084291187739,0.0002098553860172987
Gradient Boosting,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
