Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5784202913008778,0.00850834360204801,0.7364311981205822,0.020642539327221533,0.4794526210783407,0.017569553214058967,0.5784202913008778,0.00850834360204801
Support Vector Machine,NoScaler,SMOTE,0.656484893146647,0.008007201139871894,0.6947712561956129,0.00870538757057208,0.6504407504272912,0.008160439278958494,0.656484893146647,0.008007201139871894
Support Vector Machine,NoScaler,RandomOverSampler,0.5958732498157702,0.01666668929375999,0.6300099496199401,0.018829915593491443,0.5863930022593323,0.01622115736238931,0.5958732498157702,0.01666668929375999
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6775095785440612,0.013197885144282606,0.6932124768903261,0.01851248550157708,0.6589398334358538,0.014991799205730533,0.6775095785440612,0.013197885144282606
Support Vector Machine,NoScaler,KMeansSMOTE,0.7111798034411182,0.020539667541565165,0.7323158867361026,0.01757077938478661,0.701526378359598,0.021525402830024097,0.7111798034411182,0.020539667541565165
Support Vector Machine,StandardScaler,NoOversampling,0.7075503790901836,0.005542951859292507,0.7408904369745776,0.008597092980412285,0.6547718088914163,0.008084568262820049,0.7075503790901836,0.005542951859292507
Support Vector Machine,StandardScaler,SMOTE,0.7820191599115696,0.00861550186726934,0.7976904585808852,0.007720234865556435,0.7812121991342784,0.007978059866283228,0.7820191599115696,0.00861550186726934
Support Vector Machine,StandardScaler,RandomOverSampler,0.7440677966101694,0.012332345819867837,0.7661886652812651,0.011396070369307308,0.7436304828550453,0.011665002230265023,0.7440677966101694,0.012332345819867837
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8251340996168584,0.00418730301680131,0.8278673499390129,0.00571457192170671,0.8203841457465219,0.00382649190817419,0.8251340996168584,0.00418730301680131
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8460478730277741,0.007768935160011818,0.8511546603216361,0.006230393437275074,0.8438960131997423,0.007582762456064562,0.8460478730277741,0.007768935160011818
Support Vector Machine,RobustScaler,NoOversampling,0.7084447326416601,0.0019123922616175481,0.7405007595253119,0.007192512650124582,0.6593859362410909,0.010669523275699021,0.7084447326416601,0.0019123922616175481
Support Vector Machine,RobustScaler,SMOTE,0.781982313927782,0.008748574327520735,0.7977090911366169,0.007914055406961386,0.7812203449472669,0.00836073197852368,0.781982313927782,0.008748574327520735
Support Vector Machine,RobustScaler,RandomOverSampler,0.7438098747236551,0.01767747273124975,0.7655193827217475,0.01613960756244044,0.7430803599446036,0.01688212593040813,0.7438098747236551,0.01767747273124975
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.82272030651341,0.0040413737891476734,0.8251459154210445,0.006407618820728664,0.8177668046838764,0.003978348264920869,0.82272030651341,0.0040413737891476734
Support Vector Machine,RobustScaler,KMeansSMOTE,0.846745235347101,0.008516195192760229,0.8512017489788958,0.007074080682560289,0.8444640184348046,0.008534349759031123,0.846745235347101,0.008516195192760229
Support Vector Machine,QuantileTransformer,NoOversampling,0.7024124600957702,0.003164126803741007,0.7261936008682403,0.019011457023020314,0.6628107853283859,0.011888993394747615,0.7024124600957702,0.003164126803741007
Support Vector Machine,QuantileTransformer,SMOTE,0.7825718496683861,0.007087849588821412,0.7980410969420392,0.006453885562047311,0.7820512290190743,0.006390931759996431,0.7825718496683861,0.007087849588821412
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.7436256448047163,0.010060100727923398,0.7640114388989275,0.011208643512892783,0.7420059386784065,0.009962241204879273,0.7436256448047163,0.010060100727923398
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8256704980842912,0.006716465260422101,0.8286372850961949,0.00554675841528997,0.8208005242383225,0.0056181988817875115,0.8256704980842912,0.006716465260422101
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8498988146919793,0.008670574796048925,0.8549856475023502,0.00591079851375436,0.8480211359675748,0.008479293589248923,0.8498988146919793,0.008670574796048925
K-Nearest Neighbors,NoScaler,NoOversampling,0.7790437948922586,0.0037642414531689926,0.7821386145896708,0.0031428104766316346,0.7642947477545453,0.00592610314185585,0.7790437948922586,0.0037642414531689926
K-Nearest Neighbors,NoScaler,SMOTE,0.9507737656595431,0.004052053201583349,0.9517052847663855,0.003887770869001623,0.9494226173462825,0.0041148881229615105,0.9507737656595431,0.004052053201583349
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9783714075165808,0.0017108602455775627,0.9789825774858476,0.0015984783308783473,0.9772432418037011,0.0018844413684656676,0.9783714075165808,0.0017108602455775627
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9599616858237547,0.0013105464656311665,0.9605705555861913,0.0012703365557649613,0.9590053926759354,0.0013444914782794006,0.9599616858237547,0.0013105464656311665
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9634758746243304,0.0007875237910897036,0.9638894734397093,0.0006911479786259318,0.9626073733618293,0.0008945955578413707,0.9634758746243304,0.0007875237910897036
K-Nearest Neighbors,StandardScaler,NoOversampling,0.7754703711093375,0.00345261087193385,0.7732539792177432,0.00595112742944386,0.7587343587814662,0.005285560826408356,0.7754703711093375,0.00345261087193385
K-Nearest Neighbors,StandardScaler,SMOTE,0.9483419307295506,0.002648301079744493,0.9496382254843511,0.00251521542282742,0.9468871051886971,0.0027790333964498285,0.9483419307295506,0.002648301079744493
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9778924097273398,0.001238595159467314,0.9784184494150809,0.0012829494964985825,0.9767884710692,0.0013180379845984665,0.9778924097273398,0.001238595159467314
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9541379310344829,0.0027081374784785,0.9547935682017943,0.0027428335477312138,0.9530295865834182,0.0026399262037893863,0.9541379310344829,0.0027081374784785
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9583732444763584,0.0016061018069794114,0.9588176305425169,0.0015802766463626865,0.9573380162851839,0.0016240502381851493,0.9583732444763584,0.0016061018069794114
K-Nearest Neighbors,RobustScaler,NoOversampling,0.7768091580207502,0.002529911060400167,0.7742491975511909,0.004167329574436133,0.7631006629330945,0.008382287116960532,0.7768091580207502,0.002529911060400167
K-Nearest Neighbors,RobustScaler,SMOTE,0.945762711864407,0.00305977000619405,0.9470895535096346,0.0029749068478348,0.9440949365496853,0.0032853450614628165,0.945762711864407,0.00305977000619405
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9768238761974946,0.0006833911934779136,0.9775172504634255,0.0006746194381953717,0.9755726194628478,0.0006792660112288936,0.9768238761974946,0.0006833911934779136
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9505363984674329,0.0032202147723295856,0.9512005079849555,0.003350363166288299,0.9493236347032047,0.0031880854820198674,0.9505363984674329,0.0032202147723295856
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9559505246904753,0.0028426330459455813,0.9564944492084525,0.0026476184560542933,0.9547490509942346,0.002970502767381357,0.9559505246904753,0.0028426330459455813
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.7676516360734238,0.005001528420050631,0.7654925714775734,0.007412188837640384,0.7500392020953404,0.005941122538012067,0.7676516360734238,0.005001528420050631
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9449152542372883,0.00235064670710927,0.9460476068561601,0.0023735490689092685,0.943262089599784,0.002570790044224141,0.9449152542372883,0.00235064670710927
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9775607958732498,0.00041029951089387444,0.9781314018434524,0.0004601499139631306,0.9763995368004389,0.00039338026932567486,0.9775607958732498,0.00041029951089387444
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9509961685823756,0.0028295479597910634,0.9517703911786057,0.00281271878515177,0.9497322057113218,0.002824952398641924,0.9509961685823756,0.0028295479597910634
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9555465990306645,0.001768320547707141,0.9559768313778262,0.0016383709979719847,0.954287559504747,0.0018840348080276458,0.9555465990306645,0.001768320547707141
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,0.9953574060427414,0.0008353562305640966,0.9954072970679709,0.0008254077525292189,0.9953493465363199,0.000842929133111983,0.9953574060427414,0.0008353562305640966
Gradient Boosting,NoScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
Gradient Boosting,NoScaler,BorderlineSMOTE,0.9982375478927203,0.0010450713944050183,0.9982439462301077,0.001044625757209077,0.9982369555827486,0.0010453863878952686,0.9982375478927203,0.0010450713944050183
Gradient Boosting,NoScaler,KMeansSMOTE,0.9992659403116513,0.0002592748124762551,0.9992687071560471,0.0002585229733464828,0.9992659348605036,0.00025933168596485313,0.9992659403116513,0.0002592748124762551
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,0.9955416359616802,0.000663227708179823,0.995585457962969,0.0006552549913123341,0.995534908235405,0.0006699038541933484,0.9955416359616802,0.000663227708179823
Gradient Boosting,StandardScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
Gradient Boosting,StandardScaler,BorderlineSMOTE,0.9982758620689655,0.0010836885535425872,0.9982817781338087,0.0010826928018772119,0.9982751892702695,0.001083927576397667,0.9982758620689655,0.0010836885535425872
Gradient Boosting,StandardScaler,KMeansSMOTE,0.9991925592806478,0.0002978689845445048,0.9991956272875138,0.00029722028451781285,0.9991923968928225,0.00029816925656270065,0.9991925592806478,0.0002978689845445048
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,0.9956153279292558,0.0007587052425193002,0.9956588415899217,0.0007498417042652541,0.9956090011302641,0.0007650913122511789,0.9956153279292558,0.0007587052425193002
Gradient Boosting,RobustScaler,RandomOverSampler,0.9999263080324244,0.00014738393515107974,0.9999266189689966,0.0001467620620069443,0.9999262291394899,0.00014754172102016128,0.9999263080324244,0.00014738393515107974
