Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8498718770019218,0.008172760056184232,0.860490839452722,0.009778586872350352,0.8376471476273503,0.009396237634369892,0.8498718770019218,0.008172760056184232
Random Forest,NoScaler,SMOTE,0.8123598654708519,0.024273762601553023,0.8304676889058442,0.01845930249714982,0.820999853650776,0.015547845804400726,0.8123598654708519,0.024273762601553023
Random Forest,NoScaler,RandomOverSampler,0.8418321588725176,0.011027274615278325,0.853358809574926,0.010137765475656924,0.8360442599311103,0.012111779156047366,0.8418321588725176,0.011027274615278325
Random Forest,NoScaler,BorderlineSMOTE,0.7971612748238309,0.02356267760458498,0.8165304802154291,0.015931964760010093,0.806753324627443,0.020065468646190982,0.7971612748238309,0.02356267760458498
Random Forest,NoScaler,KMeansSMOTE,0.8212844330557335,0.017488307999834342,0.8336380522588597,0.013554579808754998,0.8213976173412213,0.015314486358392084,0.8212844330557335,0.017488307999834342
Random Forest,StandardScaler,NoOversampling,0.8498718770019218,0.008172760056184232,0.860490839452722,0.009778586872350352,0.8376471476273503,0.009396237634369892,0.8498718770019218,0.008172760056184232
Random Forest,StandardScaler,SMOTE,0.8123598654708519,0.024273762601553023,0.8304676889058442,0.01845930249714982,0.820999853650776,0.015547845804400726,0.8123598654708519,0.024273762601553023
Random Forest,StandardScaler,RandomOverSampler,0.8418321588725176,0.011027274615278325,0.853358809574926,0.010137765475656924,0.8360442599311103,0.012111779156047366,0.8418321588725176,0.011027274615278325
Random Forest,StandardScaler,BorderlineSMOTE,0.7971612748238309,0.02356267760458498,0.8165304802154291,0.015931964760010093,0.806753324627443,0.020065468646190982,0.7971612748238309,0.02356267760458498
Random Forest,StandardScaler,KMeansSMOTE,0.8212844330557335,0.017488307999834342,0.8336380522588597,0.013554579808754998,0.8213976173412213,0.015314486358392084,0.8212844330557335,0.017488307999834342
Random Forest,RobustScaler,NoOversampling,0.8498718770019218,0.008172760056184232,0.860490839452722,0.009778586872350352,0.8376471476273503,0.009396237634369892,0.8498718770019218,0.008172760056184232
Random Forest,RobustScaler,SMOTE,0.8123598654708519,0.024273762601553023,0.8304676889058442,0.01845930249714982,0.820999853650776,0.015547845804400726,0.8123598654708519,0.024273762601553023
Random Forest,RobustScaler,RandomOverSampler,0.8418321588725176,0.011027274615278325,0.853358809574926,0.010137765475656924,0.8360442599311103,0.012111779156047366,0.8418321588725176,0.011027274615278325
Random Forest,RobustScaler,BorderlineSMOTE,0.7971612748238309,0.02356267760458498,0.8165304802154291,0.015931964760010093,0.806753324627443,0.020065468646190982,0.7971612748238309,0.02356267760458498
Random Forest,RobustScaler,KMeansSMOTE,0.8212844330557335,0.017488307999834342,0.8336380522588597,0.013554579808754998,0.8213976173412213,0.015314486358392084,0.8212844330557335,0.017488307999834342
Random Forest,QuantileTransformer,NoOversampling,0.8534433055733505,0.003211107600855758,0.8598432905087021,0.005361062594912428,0.8459000820097369,0.009160695186019465,0.8534433055733505,0.003211107600855758
Random Forest,QuantileTransformer,SMOTE,0.8096772901985908,0.0237145535781142,0.8277118796299442,0.015528434404521112,0.8185638859229367,0.015404555543869792,0.8096772901985908,0.0237145535781142
Random Forest,QuantileTransformer,RandomOverSampler,0.8391495836002563,0.009659528273303545,0.8509999337040366,0.013199685103126964,0.8330527701811873,0.010053032435632553,0.8391495836002563,0.009659528273303545
Random Forest,QuantileTransformer,BorderlineSMOTE,0.7953755605381165,0.025154578076915117,0.814832243588856,0.016292708913433304,0.8053153202780552,0.02115189609105152,0.7953755605381165,0.025154578076915117
Random Forest,QuantileTransformer,KMeansSMOTE,0.8221852978859705,0.020462796291897404,0.8331833969411615,0.01774156115001415,0.8221614525139497,0.018958812497762094,0.8221852978859705,0.020462796291897404
Support Vector Machine,NoScaler,NoOversampling,0.6970491672005126,0.013392315505815043,0.7730553090185589,0.01034378490508605,0.6407711403896676,0.01845248327699022,0.6970491672005126,0.013392315505815043
Support Vector Machine,NoScaler,SMOTE,0.7042841127482383,0.06420743382326173,0.815238110012513,0.017936312934824807,0.74985084243745,0.04757927884713138,0.7042841127482383,0.06420743382326173
Support Vector Machine,NoScaler,RandomOverSampler,0.7239349775784754,0.05588670668050781,0.811165765042683,0.026987356925006385,0.7736608592856289,0.03394322492873519,0.7239349775784754,0.05588670668050781
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6460882447149263,0.04380179853757532,0.7972075532659912,0.022564983372880643,0.6891765069523311,0.04405735430187606,0.6460882447149263,0.04380179853757532
Support Vector Machine,NoScaler,KMeansSMOTE,0.7078355221012173,0.05718240778268787,0.7919495146393009,0.010873342772960655,0.7318470106476184,0.05381562077318015,0.7078355221012173,0.05718240778268787
Support Vector Machine,StandardScaler,NoOversampling,0.7890815182575273,0.012718116049336193,0.8204931884475911,0.01448458942955146,0.7584307297640436,0.023583277646925516,0.7890815182575273,0.012718116049336193
Support Vector Machine,StandardScaler,SMOTE,0.7507206918641895,0.045958013014668356,0.8379212812806454,0.014843104768230593,0.7836041149699458,0.03858153242869633,0.7507206918641895,0.045958013014668356
