Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.7212003523382446,0.024328655672167004,0.7393552438777194,0.017116942044388163,0.7131670626606565,0.015309848206788367,0.7212003523382446,0.024328655672167004
Random Forest,NoScaler,SMOTE,0.6765454836643178,0.03031675807415297,0.7208787043566259,0.017768568377111847,0.7116376113205946,0.019336217147286783,0.6765454836643178,0.03031675807415297
Random Forest,NoScaler,RandomOverSampler,0.7167280589365791,0.02266940798388602,0.7346929378337921,0.01597793009748717,0.718702733163442,0.015076498388891505,0.7167280589365791,0.02266940798388602
Random Forest,NoScaler,BorderlineSMOTE,0.6800928891736067,0.03105521421175179,0.7073922518185066,0.02472203671376717,0.7107332335342976,0.014082346966013883,0.6800928891736067,0.03105521421175179
Random Forest,NoScaler,KMeansSMOTE,0.6952674567584882,0.01764959060055067,0.7268438541557144,0.01097311956076658,0.7171248309367492,0.01954514448054469,0.6952674567584882,0.01764959060055067
Random Forest,StandardScaler,NoOversampling,0.7212003523382446,0.024328655672167004,0.7393552438777194,0.017116942044388163,0.7131670626606565,0.015309848206788367,0.7212003523382446,0.024328655672167004
Random Forest,StandardScaler,SMOTE,0.6765454836643178,0.03031675807415297,0.7208787043566259,0.017768568377111847,0.7116376113205946,0.019336217147286783,0.6765454836643178,0.03031675807415297
Random Forest,StandardScaler,RandomOverSampler,0.7167280589365791,0.02266940798388602,0.7346929378337921,0.01597793009748717,0.718702733163442,0.015076498388891505,0.7167280589365791,0.02266940798388602
Random Forest,StandardScaler,BorderlineSMOTE,0.6800928891736067,0.03105521421175179,0.7075182288231713,0.02470079363256611,0.7107623312838515,0.014073962458902184,0.6800928891736067,0.03105521421175179
Random Forest,StandardScaler,KMeansSMOTE,0.6952674567584882,0.01764959060055067,0.7268438541557144,0.01097311956076658,0.7171248309367492,0.01954514448054469,0.6952674567584882,0.01764959060055067
Random Forest,RobustScaler,NoOversampling,0.7212003523382446,0.024328655672167004,0.7393552438777194,0.017116942044388163,0.7131670626606565,0.015309848206788367,0.7212003523382446,0.024328655672167004
Random Forest,RobustScaler,SMOTE,0.6765454836643178,0.03031675807415297,0.7208787043566259,0.017768568377111847,0.7116376113205946,0.019336217147286783,0.6765454836643178,0.03031675807415297
Random Forest,RobustScaler,RandomOverSampler,0.7167280589365791,0.02266940798388602,0.7346929378337921,0.01597793009748717,0.718702733163442,0.015076498388891505,0.7167280589365791,0.02266940798388602
Random Forest,RobustScaler,BorderlineSMOTE,0.6800928891736067,0.03105521421175179,0.7075182288231713,0.02470079363256611,0.7107623312838515,0.014073962458902184,0.6800928891736067,0.03105521421175179
Random Forest,RobustScaler,KMeansSMOTE,0.6952674567584882,0.01764959060055067,0.7268438541557144,0.01097311956076658,0.7171248309367492,0.01954514448054469,0.6952674567584882,0.01764959060055067
Random Forest,QuantileTransformer,NoOversampling,0.7212003523382446,0.025761035223656196,0.7337851988171775,0.016454688440927713,0.7170556382198273,0.022012849078494375,0.7212003523382446,0.025761035223656196
Random Forest,QuantileTransformer,SMOTE,0.678327194106342,0.02663962566755403,0.7228768785411928,0.016604652790366787,0.7094614537089519,0.018128617651481892,0.678327194106342,0.02663962566755403
Random Forest,QuantileTransformer,RandomOverSampler,0.7149423446508648,0.02189922940241266,0.7285247191847125,0.016772402775820976,0.7206754335115569,0.01152118087148676,0.7149423446508648,0.02189922940241266
Random Forest,QuantileTransformer,BorderlineSMOTE,0.6809857463164638,0.030283107150067552,0.7081490258360036,0.026072350532239028,0.7116693092403873,0.012999744111105231,0.6809857463164638,0.030283107150067552
Random Forest,QuantileTransformer,KMeansSMOTE,0.6961603139013454,0.018240452858467936,0.726424969094204,0.014567241619004825,0.7203363776503178,0.019990666032104528,0.6961603139013454,0.018240452858467936
Support Vector Machine,NoScaler,NoOversampling,0.5701553491351697,0.024117289976586343,0.7429958333359483,0.029278517101284977,0.47984790607056754,0.03368581639519071,0.5701553491351697,0.024117289976586343
Support Vector Machine,NoScaler,SMOTE,0.5532311018577836,0.04997931860178135,0.7412721913967852,0.020993938057155055,0.627636913632432,0.04709594395129737,0.5532311018577836,0.04997931860178135
Support Vector Machine,NoScaler,RandomOverSampler,0.561246796925048,0.04692010891517932,0.736358445533523,0.026985930407026827,0.6306837336803308,0.04157488684987689,0.561246796925048,0.04692010891517932
Support Vector Machine,NoScaler,BorderlineSMOTE,0.5209801409352978,0.04271849421639793,0.6962354350099302,0.019036439931250985,0.576460078684511,0.04461065723242489,0.5209801409352978,0.04271849421639793
Support Vector Machine,NoScaler,KMeansSMOTE,0.5398182254964766,0.04001140984019512,0.6972057216696201,0.025734176332356536,0.6148675079074737,0.05229071501214212,0.5398182254964766,0.04001140984019512
Support Vector Machine,StandardScaler,NoOversampling,0.6702674567584882,0.018599107630711792,0.7101723347093942,0.0294483206705539,0.6466256478611149,0.01628263700870184,0.6702674567584882,0.018599107630711792
Support Vector Machine,StandardScaler,SMOTE,0.6041960281870595,0.05237856625421107,0.7186921615173308,0.0209362839615179,0.6580818172674564,0.04399822412866603,0.6041960281870595,0.05237856625421107
Support Vector Machine,StandardScaler,RandomOverSampler,0.6193705957719411,0.04632477671117235,0.7377165697762237,0.017910359560613032,0.6696766039692229,0.029064562040913042,0.6193705957719411,0.04632477671117235
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.5871436579115951,0.04162158343190089,0.7015028112761691,0.008504906024948036,0.6327028345633333,0.026234492183548938,0.5871436579115951,0.04162158343190089
Support Vector Machine,StandardScaler,KMeansSMOTE,0.6077194106342089,0.032233591095187336,0.7067373372956498,0.030165563578089562,0.6553043038730324,0.03692388008508178,0.6077194106342089,0.032233591095187336
Support Vector Machine,RobustScaler,NoOversampling,0.6738388853299166,0.016759434481479034,0.7095708883985797,0.02068811410573563,0.6531288620233042,0.011003370199070519,0.6738388853299166,0.016759434481479034
Support Vector Machine,RobustScaler,SMOTE,0.6006165919282511,0.051625845284086674,0.7211251314599576,0.020764204756917808,0.6514104334117912,0.04101624808530546,0.6006165919282511,0.051625845284086674
