"Clade","Epoch","CBL","CBW","CH","CBR","CHR","DC"
"Basal Theropoda","Late Triassic",2.5,1.62,6.74,0.648,2.696,25
"Basal Theropoda","Late Triassic",2.88,1.85,7.15,0.642361111111111,2.48263888888889,37.5
"Basal Theropoda","Late Triassic",1.98,1.48,5.73,0.747474747474748,2.89393939393939,30
"Basal Theropoda","Late Triassic",1.89,1.55,6.12,0.82010582010582,3.23809523809524,0
"Basal Theropoda","Late Triassic",2.32,1.8,5.19,0.775862068965517,2.23706896551724,35
"Basal Theropoda","Late Triassic",2.11,1.51,5.71,0.71563981042654,2.70616113744076,0
"Basal Theropoda","Late Triassic",3.04,1.97,6.58,0.648026315789474,2.16447368421053,30
"Basal Theropoda","Late Triassic",2.9,1.74,5.44,0.6,1.87586206896552,30
"Basal Theropoda","Late Triassic",2.71,1.58,6.17,0.583025830258303,2.27675276752768,25
"Basal Theropoda","Late Triassic",2.67,1.82,4.99,0.681647940074906,1.8689138576779,30
"Basal Theropoda","Late Triassic",2.56,1.69,4.72,0.66015625,1.84375,30
"Basal Theropoda","Late Triassic",2.94,1.87,5.32,0.636054421768708,1.80952380952381,30
"Basal Theropoda","Late Triassic",2.54,1.55,6.5,0.610236220472441,2.55905511811024,32.5
"Basal Theropoda","Late Triassic",3.33,1.82,6.76,0.546546546546547,2.03003003003003,40
"Basal Theropoda","Late Triassic",2.86,1.6,4.83,0.559440559440559,1.68881118881119,32.5
"Basal Theropoda","Late Triassic",2.8,1.5,4.71,0.535714285714286,1.68214285714286,0
"Basal Theropoda","Late Triassic",7.48,4.43,14.5,0.592245989304813,1.93850267379679,20
"Basal Theropoda","Late Triassic",3.61,1.59,9.67,0.440443213296399,2.6786703601108,42.5
"Non-averostran Neotheropoda","Late Triassic",1.7,0.54,4,0.317647058823529,2.35294117647059,0
"Non-averostran Neotheropoda","Late Triassic",3,1.49,8.2,0.496666666666667,2.73333333333333,50
"Non-averostran Neotheropoda","Late Triassic",4.1,1.37,8.9,0.334146341463415,2.17073170731707,47
"Non-averostran Neotheropoda","Late Triassic",4.4,1.63,11.6,0.370454545454545,2.63636363636364,40
"Non-averostran Neotheropoda","Late Triassic",5.5,1.71,9.7,0.310909090909091,1.76363636363636,40
"Non-averostran Neotheropoda","Late Triassic",5.9,1.79,9.3,0.303389830508475,1.57627118644068,40
"Non-averostran Neotheropoda","Late Triassic",5.4,1.85,7.5,0.342592592592593,1.38888888888889,35
"Non-averostran Neotheropoda","Late Triassic",4.7,1.58,5.5,0.336170212765957,1.17021276595745,35
"Non-averostran Neotheropoda","Late Triassic",5.2,1.7,6.2,0.326923076923077,1.19230769230769,40
"Non-averostran Neotheropoda","Late Triassic",3.9,1.49,5.4,0.382051282051282,1.38461538461538,35
"Non-averostran Neotheropoda","Late Triassic",3.3,1.14,5,0.345454545454545,1.51515151515152,40
"Non-averostran Neotheropoda","Late Triassic",3.5,1.63,4.1,0.465714285714286,1.17142857142857,35
"Non-averostran Neotheropoda","Late Triassic",3.35,1.86,3.3,0.555223880597015,0.985074626865672,40
"Non-averostran Neotheropoda","Late Triassic",3.54,0.93,3.45,0.26271186440678,0.974576271186441,40
"Non-averostran Neotheropoda","Late Triassic",3.26,0.86,3.8,0.263803680981595,1.16564417177914,40
"Non-averostran Neotheropoda","Late Triassic",1.9,1.16,5.1,0.610526315789474,2.68421052631579,0
"Non-averostran Neotheropoda","Late Triassic",2.6,0.95,6.7,0.365384615384615,2.57692307692308,45
"Non-averostran Neotheropoda","Late Triassic",3.1,1.57,6.2,0.506451612903226,2,40
"Non-averostran Neotheropoda","Early Jurassic",16.33,9.87,24.65,0.604409063074097,1.50949173300674,15
"Non-averostran Neotheropoda","Early Jurassic",16.35,10.2,28,0.623853211009174,1.71253822629969,14
"Non-averostran Neotheropoda","Early Jurassic",19.11,10.4,35.24,0.54421768707483,1.84406070120356,15
"Non-averostran Neotheropoda","Early Jurassic",17.33,10.14,25.66,0.585112521638777,1.48066935949221,14
"Non-averostran Neotheropoda","Early Jurassic",15.1,7.17,31.66,0.474834437086093,2.09668874172185,13
"Non-averostran Neotheropoda","Late Triassic",6.62,2.5,8.83,0.377643504531722,1.33383685800604,20
"Non-averostran Neotheropoda","Late Triassic",7.44,3,10.26,0.403225806451613,1.37903225806452,25
"Non-averostran Neotheropoda","Late Triassic",5.09,3.5,8.02,0.68762278978389,1.57563850687623,25
"Non-averostran Neotheropoda","Late Triassic",6.97,3.5,10.61,0.502152080344333,1.52223816355811,20
"Non-averostran Neotheropoda","Late Triassic",8.34,3.5,10.53,0.419664268585132,1.26258992805755,20
"Non-averostran Neotheropoda","Late Triassic",5.85,3,8.84,0.512820512820513,1.51111111111111,25
"Non-averostran Neotheropoda","Late Triassic",6.63,2.5,11.23,0.377073906485671,1.69381598793364,30
"Non-abelisauroid Ceratosauria","Middle Cretaceous",23.03,11.74,60.54,0.509769865392966,2.62,11.5
"Non-abelisauroid Ceratosauria","Middle Cretaceous",27.51,9.15,50.73,0.332606324972737,1.84405670665213,12.5
"Non-abelisauroid Ceratosauria","Middle Cretaceous",17.2,11.3,43.65,0.656976744186047,2.53779069767442,11
"Non-abelisauroid Ceratosauria","Middle Cretaceous",13.84,9.05,28.75,0.653901734104046,2.07731213872832,13.5
"Non-abelisauroid Ceratosauria","Middle Cretaceous",16.61,11.21,34.33,0.674894641782059,2.06682721252258,13
"Non-abelisauroid Ceratosauria","Middle Cretaceous",21.48,12.57,46.02,0.585195530726257,2.14245810055866,11.5
"Non-abelisauroid Ceratosauria","Middle Cretaceous",18.88,10.57,37.82,0.559851694915254,2.0031779661017,13
"Non-abelisauroid Ceratosauria","Middle Cretaceous",19.91,10.32,41.69,0.518332496233049,2.0939226519337,12
"Non-abelisauroid Ceratosauria","Late Jurassic",19,6.5,34.8,0.342105263157895,1.83157894736842,13
"Non-abelisauroid Ceratosauria","Late Jurassic",18.4,7.3,32.3,0.396739130434783,1.7554347826087,13.33
"Non-abelisauroid Ceratosauria","Late Jurassic",17.4,8.8,34.6,0.505747126436782,1.98850574712644,11.5
"Non-abelisauroid Ceratosauria","Late Jurassic",15,8,28.3,0.533333333333333,1.88666666666667,12.5
"Non-abelisauroid Ceratosauria","Late Jurassic",30.03,11.42,62.47,0.38028638028638,2.08025308025308,9
"Non-abelisauroid Ceratosauria","Late Jurassic",27.52,9.75,59.96,0.354287790697674,2.17877906976744,10.33
"Non-abelisauroid Ceratosauria","Late Jurassic",24.2,14.53,34.03,0.600413223140496,1.40619834710744,8
"Non-abelisauroid Ceratosauria","Late Jurassic",22.32,17.46,40.19,0.782258064516129,1.80062724014337,8.5
"Non-abelisauroid Ceratosauria","Late Jurassic",23.5,14.33,44.09,0.609787234042553,1.87617021276596,8.33
"Non-abelisauroid Ceratosauria","Late Jurassic",19.73,14.21,35.93,0.72022301064369,1.82108464267613,8.33
"Non-abelisauroid Ceratosauria","Late Jurassic",21.96,14.47,40.9,0.658925318761384,1.86247723132969,8
"Non-abelisauroid Ceratosauria","Late Jurassic",31.11,13.27,66.46,0.426550948248152,2.13629058180649,11.25
"Non-abelisauroid Ceratosauria","Late Jurassic",33.8,11.95,72.84,0.353550295857988,2.15502958579882,11
"Non-abelisauroid Ceratosauria","Late Jurassic",27.46,8.68,54.13,0.316096139839767,1.97123088128186,11
"Non-abelisauroid Ceratosauria","Late Jurassic",20.98,9.73,41.42,0.463775023832221,1.97426120114395,11.66
"Non-abelisauroid Ceratosauria","Late Jurassic",18.61,14.28,32.26,0.76732939279957,1.73347662547018,10
"Non-abelisauroid Ceratosauria","Late Jurassic",21.99,9.21,39.16,0.418826739427012,1.78080945884493,12
"Non-abelisauroid Ceratosauria","Late Jurassic",17.62,7.38,30.29,0.418842224744608,1.71906923950057,11.66
"Non-abelisauroid Ceratosauria","Late Jurassic",25.86,14.79,31.63,0.571925754060325,1.223124516628,8
"Non-abelisauroid Ceratosauria","Late Jurassic",23,16.81,41.89,0.730869565217391,1.82130434782609,8
"Non-abelisauroid Ceratosauria","Late Jurassic",24.04,14.88,41.66,0.618968386023295,1.73294509151414,9
"Non-abelisauroid Ceratosauria","Late Jurassic",20.26,14.31,38.69,0.706317867719645,1.90967423494571,8
"Non-abelisauroid Ceratosauria","Late Jurassic",22.64,13.9,39.65,0.613957597173145,1.75132508833922,7
"Non-abelisauroid Ceratosauria","Late Jurassic",25.47,15.1,51.32,0.592854338437377,2.01491951315273,9
"Non-abelisauroid Ceratosauria","Late Jurassic",29.61,12.88,61.71,0.434988179669031,2.08409321175279,10
"Non-abelisauroid Ceratosauria","Late Jurassic",32.95,14,75,0.424886191198786,2.27617602427921,11
"Non-abelisauroid Ceratosauria","Late Jurassic",27.52,10.53,52.38,0.382630813953488,1.90334302325581,12
"Non-abelisauroid Ceratosauria","Late Jurassic",20.79,9.12,38.11,0.438672438672439,1.83309283309283,10.5
"Non-abelisauroid Ceratosauria","Late Jurassic - Early Cretaceous",6.47,5.29,15.17,0.817619783616692,2.34466769706337,14
"Non-abelisauroid Ceratosauria","Early Jurassic",17.8,6.4,32.3,0.359550561797753,1.81460674157303,15
"Non-abelisauroid Ceratosauria","Early Jurassic",18.6,9.1,41.8,0.489247311827957,2.24731182795699,13.5
"Noasauridae","Late Cretaceous",3.11,1.84,3.33,0.591639871382637,1.07073954983923,20
"Noasauridae","Late Cretaceous",3.04,1.81,4.98,0.595394736842105,1.63815789473684,25
"Noasauridae","Late Cretaceous",2.24,2.54,6.64,1.13392857142857,2.96428571428571,35
"Noasauridae","Late Cretaceous",2.32,2.21,6.1,0.952586206896552,2.62931034482759,40
"Noasauridae","Late Cretaceous",2.79,3.48,7.7,1.24731182795699,2.75985663082437,30
"Noasauridae","Late Cretaceous",2.86,2.04,6.23,0.713286713286713,2.17832167832168,40
