"CladeToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Basalmost Theropoda","Late Triassic",2.5,1.62,0.648,2.696,25,0.2,6.74
"Basalmost Theropoda","Late Triassic",2.88,1.85,0.642361111111111,2.48263888888889,37.5,0.133333333333333,7.15
"Basalmost Theropoda","Late Triassic",1.98,1.48,0.747474747474748,2.89393939393939,30,0.166666666666667,5.73
"Basalmost Theropoda","Late Triassic",2.32,1.8,0.775862068965517,2.23706896551724,35,0.142857142857143,5.19
"Basalmost Theropoda","Late Triassic",3.04,1.97,0.648026315789474,2.16447368421053,30,0.166666666666667,6.58
"Basalmost Theropoda","Late Triassic",2.9,1.74,0.6,1.87586206896552,30,0.166666666666667,5.44
"Basalmost Theropoda","Late Triassic",2.71,1.58,0.583025830258303,2.27675276752768,25,0.2,6.17
"Basalmost Theropoda","Late Triassic",2.67,1.82,0.681647940074906,1.8689138576779,30,0.166666666666667,4.99
"Basalmost Theropoda","Late Triassic",2.56,1.69,0.66015625,1.84375,30,0.166666666666667,4.72
"Basalmost Theropoda","Late Triassic",2.94,1.87,0.636054421768708,1.80952380952381,30,0.166666666666667,5.32
"Basalmost Theropoda","Late Triassic",2.54,1.55,0.610236220472441,2.55905511811024,32.5,0.153846153846154,6.5
"Basalmost Theropoda","Late Triassic",3.33,1.82,0.546546546546547,2.03003003003003,40,0.125,6.76
"Basalmost Theropoda","Late Triassic",2.86,1.6,0.559440559440559,1.68881118881119,32.5,0.153846153846154,4.83
"Basalmost Theropoda","Late Triassic",7.48,4.43,0.592245989304813,1.93850267379679,20,0.25,14.5
"Basalmost Theropoda","Late Triassic",3.61,1.59,0.440443213296399,2.6786703601108,42.5,0.117647058823529,9.67
"Non-averostran Neotheropoda Lateral","Late Triassic",3,1.49,0.496666666666667,2.73333333333333,50,0.1,8.2
"Non-averostran Neotheropoda Lateral","Late Triassic",4.1,1.37,0.334146341463415,2.17073170731707,47,0.106382978723404,8.9
"Non-averostran Neotheropoda Lateral","Late Triassic",4.4,1.63,0.370454545454545,2.63636363636364,40,0.125,11.6
"Non-averostran Neotheropoda Lateral","Late Triassic",5.5,1.71,0.310909090909091,1.76363636363636,40,0.125,9.7
"Non-averostran Neotheropoda Lateral","Late Triassic",5.9,1.79,0.303389830508475,1.57627118644068,40,0.125,9.3
"Non-averostran Neotheropoda Lateral","Late Triassic",5.4,1.85,0.342592592592593,1.38888888888889,35,0.142857142857143,7.5
"Non-averostran Neotheropoda Lateral","Late Triassic",4.7,1.58,0.336170212765957,1.17021276595745,35,0.142857142857143,5.5
"Non-averostran Neotheropoda Lateral","Late Triassic",5.2,1.7,0.326923076923077,1.19230769230769,40,0.125,6.2
"Non-averostran Neotheropoda Lateral","Late Triassic",3.9,1.49,0.382051282051282,1.38461538461538,35,0.142857142857143,5.4
"Non-averostran Neotheropoda Lateral","Late Triassic",3.3,1.14,0.345454545454545,1.51515151515152,40,0.125,5
"Non-averostran Neotheropoda Lateral","Late Triassic",3.5,1.63,0.465714285714286,1.17142857142857,35,0.142857142857143,4.1
"Non-averostran Neotheropoda Lateral","Late Triassic",3.35,1.86,0.555223880597015,0.985074626865672,40,0.125,3.3
"Non-averostran Neotheropoda Lateral","Late Triassic",3.54,0.93,0.26271186440678,0.974576271186441,40,0.125,3.45
"Non-averostran Neotheropoda Lateral","Late Triassic",3.26,0.86,0.263803680981595,1.16564417177914,40,0.125,3.8
"Non-averostran Neotheropoda Lateral","Late Triassic",2.6,0.95,0.365384615384615,2.57692307692308,45,0.111111111111111,6.7
"Non-averostran Neotheropoda Lateral","Late Triassic",3.1,1.57,0.506451612903226,2,40,0.125,6.2
"Non-averostran Neotheropoda Lateral","Early Jurassic",16.33,9.87,0.604409063074097,1.50949173300674,15,0.333333333333333,24.65
"Non-averostran Neotheropoda Lateral","Early Jurassic",16.35,10.2,0.623853211009174,1.71253822629969,14,0.357142857142857,28
"Non-averostran Neotheropoda Lateral","Early Jurassic",19.11,10.4,0.54421768707483,1.84406070120356,15,0.333333333333333,35.24
"Non-averostran Neotheropoda Lateral","Early Jurassic",17.33,10.14,0.585112521638777,1.48066935949221,14,0.357142857142857,25.66
"Non-averostran Neotheropoda Lateral","Late Triassic",6.62,2.5,0.377643504531722,1.33383685800604,20,0.25,8.83
"Non-averostran Neotheropoda Lateral","Late Triassic",7.44,3,0.403225806451613,1.37903225806452,25,0.2,10.26
"Non-averostran Neotheropoda Lateral","Late Triassic",8.34,3.5,0.419664268585132,1.26258992805755,20,0.25,10.53
"Non-averostran Neotheropoda Lateral","Late Triassic",5.85,3,0.512820512820513,1.51111111111111,25,0.2,8.84
"Non-averostran Neotheropoda Lateral","Late Triassic",6.63,2.5,0.377073906485671,1.69381598793364,30,0.166666666666667,11.23
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",23.03,11.74,0.509769865392966,2.62,11.5,0.434782608695652,60.54
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",27.51,9.15,0.332606324972737,1.84405670665213,12.5,0.4,50.73
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",17.2,11.3,0.656976744186047,2.53779069767442,11,0.454545454545455,43.65
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",13.84,9.05,0.653901734104046,2.07731213872832,13.5,0.37037037037037,28.75
"Non-abelisauroid Ceratosauria Mesial","Middle Cretaceous",16.61,11.21,0.674894641782059,2.06682721252258,13,0.384615384615385,34.33
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",21.48,12.57,0.585195530726257,2.14245810055866,11.5,0.434782608695652,46.02
"Non-abelisauroid Ceratosauria Lateral","Middle Cretaceous",18.88,10.57,0.559851694915254,2.0031779661017,13,0.384615384615385,37.82
