Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.738674816192754,0.028149681017267725,0.7950451812633805,0.022160432147735908,0.7390921148852811,0.04326435461175843,0.738674816192754,0.028149681017267725
Neural Network,NoScaler,SMOTE,0.9009498138324636,0.009141187318759618,0.911634386928327,0.006736856149357252,0.8993478200795526,0.009125962051413151,0.9009498138324636,0.009141187318759618
Neural Network,NoScaler,RandomOverSampler,0.9077350814393123,0.007110452063389747,0.9188941364468682,0.00700640409138951,0.9060175743914088,0.00739692019744255,0.9077350814393123,0.007110452063389747
Neural Network,NoScaler,BorderlineSMOTE,0.9218102097439658,0.013570671710538976,0.9319992457494809,0.012898154077293344,0.9206530155549821,0.014108614749090366,0.9218102097439658,0.013570671710538976
Neural Network,NoScaler,SVMSMOTE,0.9087643420466017,0.01617255889320475,0.9196822582589489,0.013180433517825708,0.9078951118369142,0.01695085751367477,0.9087643420466017,0.01617255889320475
Neural Network,NoScaler,KMeansSMOTE,0.9246919546128407,0.01917421761160821,0.9345432215631415,0.012294751317958106,0.9237414003852178,0.01925428573902074,0.9246919546128407,0.01917421761160821
Neural Network,StandardScaler,NoOversampling,0.7697315971299495,0.02416962308632325,0.8122912898000706,0.013847052297387167,0.7737806898590458,0.03672503273097955,0.7697315971299495,0.02416962308632325
Neural Network,StandardScaler,SMOTE,0.9323254409798594,0.011405155469160086,0.9383073525076382,0.011027225706496772,0.9307032108001119,0.012887752374432017,0.9323254409798594,0.011405155469160086
Neural Network,StandardScaler,RandomOverSampler,0.9352080907405013,0.008771918629182716,0.9417425672570575,0.006192223678816395,0.9336382887645469,0.010202701539613392,0.9352080907405013,0.008771918629182716
Neural Network,StandardScaler,BorderlineSMOTE,0.946066042753842,0.01083837713709595,0.9503734162558877,0.008958514244573907,0.9454263424168332,0.01100702504695946,0.946066042753842,0.01083837713709595
Neural Network,StandardScaler,SVMSMOTE,0.9264226746539717,0.010894627100865634,0.9356946120967816,0.007538666333554016,0.9245616897238017,0.011305479377110707,0.9264226746539717,0.010894627100865634
Neural Network,StandardScaler,KMeansSMOTE,0.9446151214505644,0.007681304686274403,0.950380757811114,0.005030735998952583,0.9441502507711942,0.007200056585955604,0.9446151214505644,0.007681304686274403
Neural Network,RobustScaler,NoOversampling,0.7584418460448223,0.015302826704879409,0.8188883446529456,0.017969008273966882,0.7565166516425718,0.016986331439265995,0.7584418460448223,0.015302826704879409
Neural Network,RobustScaler,SMOTE,0.9430137577090612,0.005941785472156984,0.9463911884235594,0.005301083267094658,0.9424547481144865,0.0057343918861013235,0.9430137577090612,0.005941785472156984
Neural Network,RobustScaler,RandomOverSampler,0.9386039591150214,0.0069912869885712416,0.9453985639586641,0.004885681382345371,0.9381462071664382,0.007218514161512292,0.9386039591150214,0.0069912869885712416
Neural Network,RobustScaler,BorderlineSMOTE,0.9450466497031382,0.0062946120326748106,0.9490852908798002,0.007550917557201503,0.9446429553637712,0.006714486350776774,0.9450466497031382,0.0062946120326748106
Neural Network,RobustScaler,SVMSMOTE,0.9300413030444341,0.006975291779055503,0.9366560577233699,0.004047144158179087,0.929301618498766,0.006986093237122411,0.9300413030444341,0.006975291779055503
Neural Network,RobustScaler,KMeansSMOTE,0.9451233036834303,0.016615565782876887,0.9495918864969642,0.012767557716194752,0.9446048954142178,0.016762308946356837,0.9451233036834303,0.016615565782876887
Neural Network,QuantileTransformer,NoOversampling,0.7706572769953051,0.03190761753529803,0.8162227025837832,0.023903404341216957,0.7749957200961912,0.03183698710292358,0.7706572769953051,0.03190761753529803
Neural Network,QuantileTransformer,SMOTE,0.9438603527838876,0.000624632461984575,0.9475910124135385,0.0012692571510427059,0.9430729225566333,0.0008568381313907223,0.9438603527838876,0.000624632461984575
Neural Network,QuantileTransformer,RandomOverSampler,0.9477634019062405,0.008145970207626895,0.9527189774018285,0.0077572152843071885,0.9467949034789724,0.008755407157566729,0.9477634019062405,0.008145970207626895
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9511535199321459,0.008091638616309611,0.9548616479110148,0.007636279464593242,0.9504781394169006,0.008338462401333673,0.9511535199321459,0.008091638616309611
Neural Network,QuantileTransformer,SVMSMOTE,0.9372893211644794,0.004652465434748495,0.944986113021443,0.0032586984610225417,0.9373289256587132,0.004323157538493703,0.9372893211644794,0.004652465434748495
Neural Network,QuantileTransformer,KMeansSMOTE,0.9491747918804881,0.009166946619284912,0.9533633157339778,0.008073440408333412,0.948870826966189,0.009181573570104535,0.9491747918804881,0.009166946619284912
