Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8082645106833717,0.021972387228816434,0.8213673457913726,0.02283256372866819,0.7932468544023463,0.021818206907639987,0.8082645106833717,0.021972387228816434
Neural Network,NoScaler,SMOTE,0.9136278503232044,0.0038835022369620017,0.9221365789609898,0.0025324625567746477,0.91267566152884,0.0040066510336354945,0.9136278503232044,0.0038835022369620017
Neural Network,NoScaler,RandomOverSampler,0.9258397297199614,0.00732673051951554,0.9314029839049551,0.006153442852217589,0.9243671465095623,0.0072948075183613586,0.9258397297199614,0.00732673051951554
Neural Network,NoScaler,BorderlineSMOTE,0.9310971198863296,0.006803735960601707,0.9398944534421751,0.0041817812653627065,0.930214841837216,0.006912643171321524,0.9310971198863296,0.006803735960601707
Neural Network,NoScaler,SVMSMOTE,0.9238729956745446,0.010926900392511037,0.9316633095666855,0.010882908292112444,0.9227708214109598,0.01316246570018974,0.9238729956745446,0.010926900392511037
Neural Network,NoScaler,KMeansSMOTE,0.9386602314231756,0.009601082343010613,0.9437779199328006,0.00775918483127877,0.937434669749153,0.010390736981431505,0.9386602314231756,0.009601082343010613
Neural Network,StandardScaler,NoOversampling,0.8540871551281839,0.010351438905100126,0.8650847482581104,0.008608006790366461,0.8436623825937012,0.012439754412764945,0.8540871551281839,0.010351438905100126
Neural Network,StandardScaler,SMOTE,0.9462774908866438,0.008380606103289069,0.9520131544127345,0.005714801894453626,0.9449043014955377,0.00926444372969957,0.9462774908866438,0.008380606103289069
Neural Network,StandardScaler,RandomOverSampler,0.9480587602670794,0.012039709973968348,0.952921137269492,0.009385888147393273,0.9470669672467521,0.012711408155432842,0.9480587602670794,0.012039709973968348
Neural Network,StandardScaler,BorderlineSMOTE,0.9593790564617215,0.0027723065368813484,0.9621959055434962,0.002265458860963534,0.9589292122144158,0.0027715838022474948,0.9593790564617215,0.0027723065368813484
Neural Network,StandardScaler,SVMSMOTE,0.9433434233392617,0.006598564568425263,0.9488306999836009,0.005217620832898585,0.9422695585732287,0.0068732823343602535,0.9433434233392617,0.006598564568425263
Neural Network,StandardScaler,KMeansSMOTE,0.9596419981441733,0.006348298826550535,0.9623066242558582,0.00460344170249705,0.9591663992992823,0.006377062685932944,0.9596419981441733,0.006348298826550535
Neural Network,RobustScaler,NoOversampling,0.8505629941024921,0.0027682443225394123,0.861302110058842,0.005238960019067284,0.8431368347693702,0.005305196817345812,0.8505629941024921,0.0027682443225394123
Neural Network,RobustScaler,SMOTE,0.9547574839386817,0.001051425361971709,0.9563511055313925,0.0008464491627458845,0.9545196069826491,0.0010962035349598494,0.9547574839386817,0.001051425361971709
Neural Network,RobustScaler,RandomOverSampler,0.9516200583204453,0.005172014886144651,0.9550258337509396,0.003922978100162598,0.9510137355277436,0.00501682005847468,0.9516200583204453,0.005172014886144651
Neural Network,RobustScaler,BorderlineSMOTE,0.9562413701150962,0.004455788149247473,0.9591803933821863,0.003912175682043604,0.9560787475366384,0.004402434443990379,0.9562413701150962,0.004455788149247473
Neural Network,RobustScaler,SVMSMOTE,0.9471936279986692,0.008161877456817202,0.9518612791957972,0.0052602373663217265,0.9466593795001934,0.007777611279322539,0.9471936279986692,0.008161877456817202
Neural Network,RobustScaler,KMeansSMOTE,0.9598952873889243,0.007902146759359109,0.9621863802112898,0.006189771046978069,0.9593069183410223,0.00797902807193028,0.9598952873889243,0.007902146759359109
Neural Network,QuantileTransformer,NoOversampling,0.8684229544915401,0.009662343317114307,0.8748182347142903,0.011742331523081139,0.862737146508153,0.010644501113671968,0.8684229544915401,0.009662343317114307
Neural Network,QuantileTransformer,SMOTE,0.961160316851523,0.003910481335377352,0.9629879165225226,0.0033026052639935966,0.9608495548660869,0.003959837676017142,0.961160316851523,0.003910481335377352
Neural Network,QuantileTransformer,RandomOverSampler,0.9587856116768918,0.0021098996303728105,0.9620855206800242,0.0017665838870359746,0.958184483042789,0.002451328607864022,0.9587856116768918,0.0021098996303728105
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9657394805535281,0.0032914237949488463,0.9678918043371436,0.002604612651015345,0.9654902304443785,0.0032786982194691,0.9657394805535281,0.0032914237949488463
Neural Network,QuantileTransformer,SVMSMOTE,0.9547768465199411,0.00590280201985613,0.9597579968600745,0.0034072947859576726,0.9547695184942911,0.005655825052666318,0.9547768465199411,0.00590280201985613
Neural Network,QuantileTransformer,KMeansSMOTE,0.9661434244110628,0.0029301970072823395,0.9682730653967402,0.002581678932510989,0.9658256486076953,0.002910515317191889,0.9661434244110628,0.0029301970072823395
