Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SVMSMOTE,0.9999748427672955,7.547169811319422e-05,0.9999750577863786,7.48266408643783e-05,0.9999748449889202,7.54650332393747e-05,0.9999748427672955,7.547169811319422e-05
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SVMSMOTE,0.9999748427672955,7.547169811319422e-05,0.9999750577863786,7.48266408643783e-05,0.9999748449889202,7.54650332393747e-05,0.9999748427672955,7.547169811319422e-05
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.4822459713396291,0.007838647500144923,0.7116751634039782,0.011033503612086425,0.37585738105887706,0.014711730527598046,0.4822459713396291,0.007838647500144923
Support Vector Machine,NoScaler,SMOTE,0.6733191644771314,0.01074044017452045,0.7111045307302326,0.011577041730065178,0.6626500032271241,0.018749367201708677,0.6733191644771314,0.01074044017452045
Support Vector Machine,NoScaler,RandomOverSampler,0.625037439261745,0.008564118751637607,0.6474194105721812,0.008580357941610101,0.6189447123483072,0.013368725284592646,0.625037439261745,0.008564118751637607
Support Vector Machine,NoScaler,BorderlineSMOTE,0.6743178135030783,0.009952681265299416,0.7210503865245073,0.017752536631901378,0.6715669242898831,0.021451845794363048,0.6743178135030783,0.009952681265299416
Support Vector Machine,NoScaler,SVMSMOTE,0.6706419523429887,0.011422173774982468,0.7306702446523856,0.013161366486928757,0.6375685188205893,0.014390866550708075,0.6706419523429887,0.011422173774982468
Support Vector Machine,NoScaler,KMeansSMOTE,0.6887125245171645,0.009738282004043865,0.716587221706926,0.01288216948805465,0.6827086104248444,0.02327146975482564,0.6887125245171645,0.009738282004043865
Support Vector Machine,StandardScaler,NoOversampling,0.6367994973854882,0.004817975266653209,0.7574990460332323,0.004864340778186599,0.5527300777247665,0.009218896505915033,0.6367994973854882,0.004817975266653209
Support Vector Machine,StandardScaler,SMOTE,0.8597354296905048,0.0017484662277818669,0.8766277278440734,0.0019069905407314133,0.8570962456337525,0.0016557919294122136,0.8597354296905048,0.0017484662277818669
Support Vector Machine,StandardScaler,RandomOverSampler,0.8268882651912135,0.0031255041608197246,0.8425139820751235,0.0029549838037862984,0.8253295526064524,0.0027772432380367977,0.8268882651912135,0.0031255041608197246
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8797112867379747,0.0016455995302622664,0.8909899695193169,0.0015733347669478163,0.8779946184164256,0.0016461160037009681,0.8797112867379747,0.0016455995302622664
Support Vector Machine,StandardScaler,SVMSMOTE,0.8600106361439075,0.003472094843403252,0.8657930199293448,0.00839798665859584,0.8559359350455015,0.0035708015366015203,0.8600106361439075,0.003472094843403252
Support Vector Machine,StandardScaler,KMeansSMOTE,0.879770388018126,0.0011938197709772265,0.8877547291468704,0.0011819966341899805,0.8769451387375502,0.0013586831723913335,0.879770388018126,0.0011938197709772265
Support Vector Machine,RobustScaler,NoOversampling,0.6290724537143082,0.0045619122876528195,0.7494016956162552,0.009909570334108256,0.5506861565149552,0.010078202295684846,0.6290724537143082,0.0045619122876528195
Support Vector Machine,RobustScaler,SMOTE,0.8533092578549294,0.0023857266080611096,0.8721645798496211,0.0022954590362981335,0.8512014665417273,0.0021687917099132608,0.8533092578549294,0.0023857266080611096
Support Vector Machine,RobustScaler,RandomOverSampler,0.8172959765320729,0.0034661911919557373,0.8353652530062512,0.002902742211435265,0.8163824682306677,0.0034526168041508157,0.8172959765320729,0.0034661911919557373
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8724747328930184,0.002218022992982424,0.8845174558293178,0.002018775705023265,0.8707803054591962,0.002253813506600831,0.8724747328930184,0.002218022992982424
Support Vector Machine,RobustScaler,SVMSMOTE,0.8375216266150363,0.002996066104987284,0.8330093090911055,0.008324355322846005,0.8400798242485739,0.007204071654388717,0.8375216266150363,0.002996066104987284
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8727720001394191,0.0025726260353251917,0.8818426063500897,0.0023878735135079874,0.8698224315234363,0.0027185299987903143,0.8727720001394191,0.0025726260353251917
Support Vector Machine,QuantileTransformer,NoOversampling,0.6553871811484654,0.005907362858451579,0.7433836747146793,0.011069472692832283,0.5878815063090189,0.008292495436043747,0.6553871811484654,0.005907362858451579
Support Vector Machine,QuantileTransformer,SMOTE,0.8717398011615636,0.0022433096454127534,0.8869886801926311,0.0019487370066840265,0.8698317477872577,0.0023413631140530387,0.8717398011615636,0.0022433096454127534
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8411918672228523,0.004064377502124614,0.8501650417276767,0.004290834662968148,0.839160757600706,0.003831932995240702,0.8411918672228523,0.004064377502124614
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.896106551162327,0.0023342840466753544,0.9042817030175627,0.002365876675428841,0.8947605512388297,0.0023963875948776817,0.896106551162327,0.0023342840466753544
Support Vector Machine,QuantileTransformer,SVMSMOTE,0.8832289017121597,0.002355738059368925,0.8888919632870396,0.0028653014248589217,0.8768047641284994,0.002849933024257817,0.8832289017121597,0.002355738059368925
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8969380046240667,0.0007508326929912838,0.9012024759973555,0.0008237603669734757,0.8942348412029881,0.000778929133533299,0.8969380046240667,0.0007508326929912838
K-Nearest Neighbors,NoScaler,NoOversampling,0.7730772922515777,0.006662870560046401,0.7795770706000387,0.005837520396958461,0.7585270298542998,0.008768098049851025,0.7730772922515777,0.006662870560046401
K-Nearest Neighbors,NoScaler,SMOTE,0.9461405616730912,0.0011401180190165456,0.9470377836156653,0.0011534024119138565,0.9455341140768698,0.0011691018863885679,0.9461405616730912,0.0011401180190165456
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9787991750542331,0.0009621328103895791,0.9794321484158026,0.0009227328443365442,0.9780865407268378,0.0009899039397023174,0.9787991750542331,0.0009621328103895791
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9585218294068009,0.0007992043305010833,0.9588560875502179,0.0007798835489227512,0.9582060459910643,0.0007944379907542525,0.9585218294068009,0.0007992043305010833
K-Nearest Neighbors,NoScaler,SVMSMOTE,0.945740006074181,0.0021768934980140463,0.946155586971309,0.0021710103050234762,0.9452167333366692,0.0022409246448150026,0.945740006074181,0.0021768934980140463
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9646328190435216,0.0010980053775682822,0.9650777149174388,0.0011034559289376698,0.9642783126316573,0.0011245549268562526,0.9646328190435216,0.0010980053775682822
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8232032731024883,0.0038205717917106042,0.8251455245111353,0.005407135793459519,0.8157138319847025,0.005180817527130834,0.8232032731024883,0.0038205717917106042
K-Nearest Neighbors,StandardScaler,SMOTE,0.9582580268818338,0.0013781096697677005,0.9587215613237365,0.0014341310885031052,0.9575782134662993,0.0014415827693197297,0.9582580268818338,0.0013781096697677005
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9828132001550343,0.0006409515979852231,0.9835393426222219,0.0006178114624582311,0.9821385306252072,0.0006456731282304214,0.9828132001550343,0.0006409515979852231
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9668137105435282,0.0012182608661133998,0.9672183027248824,0.0011973075990988093,0.966364465166391,0.0012387560341323225,0.9668137105435282,0.0012182608661133998
K-Nearest Neighbors,StandardScaler,SVMSMOTE,0.9534122850309403,0.0013409264994560701,0.954510178628686,0.0013286222889954437,0.9527970284468271,0.0013555061374846374,0.9534122850309403,0.0013409264994560701
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.965364565088121,0.0008682891726993078,0.9661581953939015,0.0008343992200496364,0.9647596644241029,0.0009063372347160466,0.965364565088121,0.0008682891726993078
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8288418705811262,0.0037095324148215063,0.8299433453524043,0.0041469565405163125,0.8190470859104316,0.00494730323444541,0.8288418705811262,0.0037095324148215063
K-Nearest Neighbors,RobustScaler,SMOTE,0.9599163917451161,0.0015154390848940624,0.960600648978372,0.0015838997607627654,0.9593220293681075,0.0015575834465189691,0.9599163917451161,0.0015154390848940624
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9814940277230587,0.0007580277466688784,0.9821887330765833,0.0007587642023982262,0.9808083349732302,0.0007377752846575891,0.9814940277230587,0.0007580277466688784
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9679820676501268,0.0008813791852997179,0.9683794879142255,0.0008892481609638035,0.9675726584125869,0.0008833895494413904,0.9679820676501268,0.0008813791852997179
K-Nearest Neighbors,RobustScaler,SVMSMOTE,0.952079084570315,0.0013181677260840651,0.9530568042262015,0.0012423486395820341,0.951453899809281,0.0013343968689999675,0.952079084570315,0.0013181677260840651
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9659837266935108,0.0011834299696703691,0.9667950868960326,0.0011431978211224022,0.9653601752415915,0.00122454679814794,0.9659837266935108,0.0011834299696703691
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8410596134842049,0.006400922401562276,0.841387225842146,0.007335762174445547,0.8347987416985795,0.006758872509045124,0.8410596134842049,0.006400922401562276
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9649480154474552,0.0011517019260728946,0.9652129608524355,0.0012077616345635494,0.9643649482272592,0.001196465783035399,0.9649480154474552,0.0011517019260728946
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9843208491284935,0.0010412945983824136,0.9848300818599126,0.000993800491841841,0.983734248797502,0.0011746598651007707,0.9843208491284935,0.0010412945983824136
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9686981812029728,0.0016285363507860498,0.9688805438399912,0.0016492071686421297,0.9682450552094224,0.001637619088464737,0.9686981812029728,0.0016285363507860498
K-Nearest Neighbors,QuantileTransformer,SVMSMOTE,0.9605061184718373,0.0011025404345905536,0.9607903225602541,0.0011259039796276847,0.9599831886049348,0.0011212320960836846,0.9605061184718373,0.0011025404345905536
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9699050577092951,0.0007131355826218592,0.9700951716855842,0.000696257806914423,0.9694564071662708,0.0007391468817104847,0.9699050577092951,0.0007131355826218592
