Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8091694586492683,0.023024147935544068,0.8758273767539109,0.020034614298640216,0.8120994668920039,0.018726785627686343,0.8091694586492683,0.023024147935544068
Random Forest,NoScaler,SMOTE,0.9711685994647634,0.006735746775130674,0.9736157625377958,0.0061072886305484535,0.9708140450822468,0.006847869772399048,0.9711685994647634,0.006735746775130674
Random Forest,NoScaler,RandomOverSampler,0.9940649189951367,0.003054756428035168,0.9946405203103688,0.002699122907574534,0.993757488549156,0.0033857655484046826,0.9940649189951367,0.003054756428035168
Random Forest,NoScaler,BorderlineSMOTE,0.9755788322638198,0.00665661702347024,0.9771011003393344,0.006887309074856133,0.9752949894231829,0.006881814896747751,0.9755788322638198,0.00665661702347024
Random Forest,NoScaler,SVMSMOTE,0.9655893126481363,0.006129542886366256,0.9694993117131245,0.005123642565857856,0.965192504080062,0.0063219639831823314,0.9655893126481363,0.006129542886366256
Random Forest,NoScaler,KMeansSMOTE,0.9756842213208149,0.007560199356674922,0.9778693674196418,0.005870001598685855,0.975573081332057,0.007505715466353173,0.9756842213208149,0.007560199356674922
Random Forest,StandardScaler,NoOversampling,0.8110474343149356,0.02355701163774525,0.8781941802907021,0.02123361604372833,0.8130978792243961,0.017186023954824013,0.8110474343149356,0.02355701163774525
Random Forest,StandardScaler,SMOTE,0.9711685994647634,0.006735746775130674,0.9736157625377958,0.0061072886305484535,0.9708140450822468,0.006847869772399048,0.9711685994647634,0.006735746775130674
Random Forest,StandardScaler,RandomOverSampler,0.9940649189951367,0.003054756428035168,0.9946405203103688,0.002699122907574534,0.993757488549156,0.0033857655484046826,0.9940649189951367,0.003054756428035168
Random Forest,StandardScaler,BorderlineSMOTE,0.9755788322638198,0.00665661702347024,0.9771011003393344,0.006887309074856133,0.9752949894231829,0.006881814896747751,0.9755788322638198,0.00665661702347024
Random Forest,StandardScaler,SVMSMOTE,0.9653625552785217,0.006152559113015443,0.9693492516891149,0.0051414095560035995,0.964992299266954,0.00632447326046546,0.9653625552785217,0.006152559113015443
Random Forest,StandardScaler,KMeansSMOTE,0.9756842213208149,0.007560199356674922,0.9778693674196418,0.005870001598685855,0.975573081332057,0.007505715466353173,0.9756842213208149,0.007560199356674922
Random Forest,RobustScaler,NoOversampling,0.8101128548756833,0.0225073443058425,0.8764504297134124,0.02089851792280262,0.813039336403554,0.018157016780225594,0.8101128548756833,0.0225073443058425
Random Forest,RobustScaler,SMOTE,0.9711685994647634,0.006735746775130674,0.9736157625377958,0.0061072886305484535,0.9708140450822468,0.006847869772399048,0.9711685994647634,0.006735746775130674
Random Forest,RobustScaler,RandomOverSampler,0.9942346982820638,0.003049634245481131,0.9947771522127052,0.0026944606858354046,0.9939535313821393,0.0033724853393552897,0.9942346982820638,0.003049634245481131
Random Forest,RobustScaler,BorderlineSMOTE,0.9757483237892435,0.0063860754862702365,0.9772564675709727,0.006622505787902577,0.975463217657734,0.0065986785996704185,0.9757483237892435,0.0063860754862702365
