Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7217866950128442,0.02111414735461516,0.7981451707759568,0.013562606400329484,0.6944113247404157,0.03887591814380866,0.7217866950128442,0.02111414735461516
Neural Network,NoScaler,SMOTE,0.8658426417101536,0.006256135796932072,0.8752261335881333,0.008246248545872097,0.8635078235493738,0.01039766161934964,0.8658426417101536,0.006256135796932072
Neural Network,NoScaler,RandomOverSampler,0.8378546886905018,0.011874154698921531,0.8560364461946307,0.012853654867745772,0.8288491926775936,0.012303162360391832,0.8378546886905018,0.011874154698921531
Neural Network,NoScaler,BorderlineSMOTE,0.8422844771841056,0.028981422476701477,0.8644626117778624,0.022532101694295585,0.8333512129073621,0.029450035770816778,0.8422844771841056,0.028981422476701477
Neural Network,NoScaler,SVMSMOTE,0.8694114505388129,0.012809954833969163,0.88484711939448,0.010342385582416342,0.8639344731903179,0.012962959459740294,0.8694114505388129,0.012809954833969163
Neural Network,NoScaler,KMeansSMOTE,0.8568055119768585,0.011976364298323109,0.8755651669632298,0.010544785790141722,0.8529768133078027,0.013119649718136693,0.8568055119768585,0.011976364298323109
Neural Network,StandardScaler,NoOversampling,0.7678580919479139,0.009634789315339039,0.8136353876821932,0.016928504195682474,0.7761991461834311,0.01446015563300507,0.7678580919479139,0.009634789315339039
Neural Network,StandardScaler,SMOTE,0.9406369948678138,0.009060440109914199,0.9458285509674038,0.008294059089894988,0.9400598719722295,0.008918474814100776,0.9406369948678138,0.009060440109914199
Neural Network,StandardScaler,RandomOverSampler,0.9464047382872588,0.006553383203245995,0.9534000149458203,0.007219312020340903,0.9460208590918562,0.006941204913288001,0.9464047382872588,0.006553383203245995
Neural Network,StandardScaler,BorderlineSMOTE,0.9258441358270751,0.007845448558091703,0.9308505808407463,0.008318836944351716,0.9240915885006412,0.008611778652213528,0.9258441358270751,0.007845448558091703
Neural Network,StandardScaler,SVMSMOTE,0.932591549974872,0.015111522097380726,0.9373195636670179,0.015306038599509637,0.930959004433326,0.015758953731065374,0.932591549974872,0.015111522097380726
Neural Network,StandardScaler,KMeansSMOTE,0.9427927521344011,0.011982550523621498,0.9494779050904313,0.00792247417111057,0.9423348244062556,0.012700567269722225,0.9427927521344011,0.011982550523621498
Neural Network,RobustScaler,NoOversampling,0.7772477633094163,0.013276072288067675,0.8145387564060105,0.021096066914023073,0.7867409048444289,0.01846444483990482,0.7772477633094163,0.013276072288067675
Neural Network,RobustScaler,SMOTE,0.9336830982878338,0.010911165462219737,0.9423764396614921,0.008301434307530439,0.9333131528157168,0.01157367923056931,0.9336830982878338,0.010911165462219737
Neural Network,RobustScaler,RandomOverSampler,0.9370778165926309,0.009375452962133633,0.9439598220082853,0.007186043371959164,0.9357496642240666,0.010211658252624578,0.9370778165926309,0.009375452962133633
Neural Network,RobustScaler,BorderlineSMOTE,0.9267830979727275,0.008819968630089837,0.9330245316165549,0.007052884905567597,0.9248739546757502,0.009811949382449194,0.9267830979727275,0.008819968630089837
Neural Network,RobustScaler,SVMSMOTE,0.9223796039247759,0.004599800056249043,0.9301895877271757,0.004366729026507517,0.9199219522080325,0.004888608571384786,0.9223796039247759,0.004599800056249043
Neural Network,RobustScaler,KMeansSMOTE,0.9394060784760399,0.006531034229165435,0.9458361170017975,0.005910367226647348,0.9386846520078753,0.006343473542022999,0.9394060784760399,0.006531034229165435
Neural Network,QuantileTransformer,NoOversampling,0.766910266631234,0.024478054062486633,0.8214070565615016,0.02154244353170485,0.7781459446590038,0.028761196108502154,0.766910266631234,0.024478054062486633
Neural Network,QuantileTransformer,SMOTE,0.9431818116473311,0.009244753975905013,0.9472114778132468,0.008504522115270521,0.9423356384602257,0.009754619805844139,0.9431818116473311,0.009244753975905013
Neural Network,QuantileTransformer,RandomOverSampler,0.9538692658242407,0.009192854932395413,0.9580772699192052,0.0071264390119234544,0.9530544884991334,0.009509509231667919,0.9538692658242407,0.009192854932395413
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9378910201557968,0.01017465890768009,0.9414193312548533,0.00925454460530729,0.9364267791402782,0.010660931795952316,0.9378910201557968,0.01017465890768009
Neural Network,QuantileTransformer,SVMSMOTE,0.9366324148200895,0.0072775208686554635,0.9423845568926946,0.007997540407348479,0.9339326889151623,0.009077081894169236,0.9366324148200895,0.0072775208686554635
Neural Network,QuantileTransformer,KMeansSMOTE,0.9543012532039297,0.007707102185262356,0.9583763118156249,0.006135862387806109,0.9536966251290655,0.008182709962121075,0.9543012532039297,0.007707102185262356
