Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7532943844027737,0.013828380888639816,0.7831218427138321,0.016782648968149665,0.7245318205608781,0.01771771825394371,0.7532943844027737,0.013828380888639816
Neural Network,NoScaler,SMOTE,0.878306921547547,0.005885660612615691,0.8840833263650169,0.011572391887122871,0.8772516734839595,0.007964066647367356,0.878306921547547,0.005885660612615691
Neural Network,NoScaler,RandomOverSampler,0.8525699547753124,0.012132741040068569,0.8673704873706927,0.012080434061834766,0.8456696961436789,0.011332595772112208,0.8525699547753124,0.012132741040068569
Neural Network,NoScaler,BorderlineSMOTE,0.856012819129063,0.012896088041853571,0.8702142010056996,0.011005067724217386,0.8489046842905623,0.011548180156723186,0.856012819129063,0.012896088041853571
Neural Network,NoScaler,SVMSMOTE,0.8839571860217642,0.009606499508844096,0.8947144122029309,0.008011824175402036,0.8797223115438477,0.011668537534438164,0.8839571860217642,0.009606499508844096
Neural Network,NoScaler,KMeansSMOTE,0.8592584929803764,0.011549022072421176,0.8738761309122527,0.007706851545745763,0.8546727879885374,0.012251677148226581,0.8592584929803764,0.011549022072421176
Neural Network,StandardScaler,NoOversampling,0.8594911813221673,0.01087774150471407,0.8687709430805437,0.013646690938219333,0.8535192399264193,0.011636061568812101,0.8594911813221673,0.01087774150471407
Neural Network,StandardScaler,SMOTE,0.9555208157454054,0.005780742487578167,0.958239286038102,0.005253638505226947,0.9552739888502286,0.005699176129053356,0.9555208157454054,0.005780742487578167
Neural Network,StandardScaler,RandomOverSampler,0.9577255529824361,0.0019462958495724701,0.9619616991337321,0.0026199667011838758,0.9575292867954655,0.0020070580378159847,0.9577255529824361,0.0019462958495724701
Neural Network,StandardScaler,BorderlineSMOTE,0.9518166355321238,0.005459209369569989,0.9543964171704653,0.004900311622462702,0.951223362933859,0.005537592354930441,0.9518166355321238,0.005459209369569989
Neural Network,StandardScaler,SVMSMOTE,0.9510782849692104,0.003089382239737263,0.9540777494014006,0.0029799291213638097,0.9501887855462379,0.003370983107426216,0.9510782849692104,0.003089382239737263
Neural Network,StandardScaler,KMeansSMOTE,0.9567957048142146,0.008029643516888186,0.9613213673015075,0.0053171714794063634,0.9563933898439083,0.008777083313656132,0.9567957048142146,0.008029643516888186
Neural Network,RobustScaler,NoOversampling,0.856907642486332,0.0043029206903390125,0.8645562321258339,0.0029828790198813586,0.8480298654259869,0.002369666710563195,0.856907642486332,0.0043029206903390125
Neural Network,RobustScaler,SMOTE,0.9467437451709056,0.006221901744636922,0.9529601396280498,0.004475487391374843,0.9465710756077442,0.006666314232952138,0.9467437451709056,0.006221901744636922
Neural Network,RobustScaler,RandomOverSampler,0.9518743314339719,0.00853924890376022,0.9573696368609255,0.005704979845236389,0.9509587524096457,0.00998816798947961,0.9518743314339719,0.00853924890376022
Neural Network,RobustScaler,BorderlineSMOTE,0.944994069215548,0.00739513041909231,0.9492914421038223,0.006123514932787028,0.9446077337166445,0.007066023800395932,0.944994069215548,0.00739513041909231
Neural Network,RobustScaler,SVMSMOTE,0.9402928268176527,0.005275620595601684,0.9449877509262334,0.004200345055677873,0.9386710741974724,0.006007904896290179,0.9402928268176527,0.005275620595601684
Neural Network,RobustScaler,KMeansSMOTE,0.9580230209739549,0.002999772810314581,0.9609085518643006,0.002179591193357216,0.9575715781919856,0.002911122332518984,0.9580230209739549,0.002999772810314581
Neural Network,QuantileTransformer,NoOversampling,0.8674781946674169,0.010736439911899773,0.8754598548676388,0.00885732406526316,0.8613979596689412,0.009621464960151873,0.8674781946674169,0.010736439911899773
Neural Network,QuantileTransformer,SMOTE,0.9578951253321366,0.0059554466675827335,0.9602827194896554,0.004995453851214992,0.9575013727562505,0.005988904590097134,0.9578951253321366,0.0059554466675827335
Neural Network,QuantileTransformer,RandomOverSampler,0.9636616461167742,0.004921497162822513,0.966463566492416,0.004518696832607046,0.9634282299764048,0.004607928482640436,0.9636616461167742,0.004921497162822513
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9564746620172416,0.002338973363627405,0.958662767367499,0.0019562727035760796,0.9560408627779907,0.002273901614196391,0.9564746620172416,0.002338973363627405
Neural Network,QuantileTransformer,SVMSMOTE,0.954545507241605,0.005220573990136743,0.958346733324513,0.0041262374080171995,0.9527331633850572,0.005586426542402266,0.954545507241605,0.005220573990136743
Neural Network,QuantileTransformer,KMeansSMOTE,0.9705483423711634,0.004395076609772728,0.9720793309940079,0.0036647492947515007,0.9701910146907429,0.004450790555997512,0.9705483423711634,0.004395076609772728
