Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,0.9999811534112325,5.653976630228819e-05,0.9999813117859281,5.606464221571406e-05,0.9999811559257455,5.653222276346127e-05,0.9999811534112325,5.653976630228819e-05
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,0.9999811534112325,5.653976630228819e-05,0.9999813117859281,5.606464221571406e-05,0.9999811559257455,5.653222276346127e-05,0.9999811534112325,5.653976630228819e-05
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,0.9999811534112325,5.653976630228819e-05,0.9999813117859281,5.606464221571406e-05,0.9999811559257455,5.653222276346127e-05,0.9999811534112325,5.653976630228819e-05
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,0.9999811534112325,5.653976630228819e-05,0.9999813117859281,5.606464221571406e-05,0.9999811559257455,5.653222276346127e-05,0.9999811534112325,5.653976630228819e-05
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SVMSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.4694021417835398,0.004372262871525616,0.7657193829066801,0.008345402032035926,0.3268327588526364,0.008921094838977605,0.4694021417835398,0.004372262871525616
Support Vector Machine,NoScaler,SMOTE,0.6878670370499005,0.008002277997754529,0.7341734339294134,0.025740490531626296,0.6818410065614536,0.023630346911904035,0.6878670370499005,0.008002277997754529
Support Vector Machine,NoScaler,RandomOverSampler,0.6569239284629373,0.01362066202291488,0.7269770390676478,0.013989578890537528,0.6432505833966683,0.01964995927953031,0.6569239284629373,0.01362066202291488
Support Vector Machine,NoScaler,BorderlineSMOTE,0.5654265879394519,0.016651043588400714,0.6924830129961097,0.02367704152268022,0.5157563292148633,0.029383403270933858,0.5654265879394519,0.016651043588400714
Support Vector Machine,NoScaler,SVMSMOTE,0.6743279164553585,0.00969782077992101,0.7425647688726711,0.016930532809257756,0.6521097862466523,0.018639009562665544,0.6743279164553585,0.00969782077992101
Support Vector Machine,NoScaler,KMeansSMOTE,0.7002176666511292,0.016090039892695272,0.787073901033124,0.02479375343635029,0.6795580461675843,0.02323338119432208,0.7002176666511292,0.016090039892695272
Support Vector Machine,StandardScaler,NoOversampling,0.6598790801979918,0.0027711814759961064,0.7612671528036296,0.010271936827031189,0.5841167306001879,0.014554136703765446,0.6598790801979918,0.0027711814759961064
Support Vector Machine,StandardScaler,SMOTE,0.8776195036020884,0.0021589724214730746,0.8860245895504812,0.0017013789826464643,0.8756254739104214,0.001960670256983403,0.8776195036020884,0.0021589724214730746
Support Vector Machine,StandardScaler,RandomOverSampler,0.8459408986317738,0.0029877981183459934,0.8540155679151267,0.0029367248315739607,0.8431718346958773,0.002913180854552501,0.8459408986317738,0.0029877981183459934
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8282201277519554,0.002738856948169451,0.835145574359571,0.0032218981490597064,0.8220429093710955,0.0029190992265132926,0.8282201277519554,0.002738856948169451
