Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.809178275436431,0.03897664276083857,0.8727780098762856,0.031023951441838848,0.812506841974395,0.027388312754483543,0.809178275436431,0.03897664276083857
Random Forest,NoScaler,SMOTE,0.9706607004114991,0.006150159467592735,0.9720765856338236,0.006201509359326691,0.970107937717831,0.006491910380848048,0.9706607004114991,0.006150159467592735
Random Forest,NoScaler,RandomOverSampler,0.9950818681476792,0.0028815280724128335,0.9955596755912314,0.0024940903295709105,0.9948480061259326,0.003218522104212317,0.9950818681476792,0.0028815280724128335
Random Forest,NoScaler,BorderlineSMOTE,0.9687615932486583,0.009548296381347928,0.9715088868663948,0.008345738230520146,0.9683282147545871,0.009732526995174299,0.9687615932486583,0.009548296381347928
Random Forest,NoScaler,SVMSMOTE,0.9709178153253297,0.007430153816902782,0.9735127062579363,0.006864958159336899,0.9704522929884047,0.007744528316661117,0.9709178153253297,0.007430153816902782
Random Forest,NoScaler,KMeansSMOTE,0.9805351458315407,0.005674372848754518,0.9821830623125049,0.005085985364920284,0.9804051480558057,0.005886516988507374,0.9805351458315407,0.005674372848754518
Random Forest,StandardScaler,NoOversampling,0.809178275436431,0.03897664276083857,0.8727780098762856,0.031023951441838848,0.812506841974395,0.027388312754483543,0.809178275436431,0.03897664276083857
Random Forest,StandardScaler,SMOTE,0.9706607004114991,0.006150159467592735,0.9720765856338236,0.006201509359326691,0.970107937717831,0.006491910380848048,0.9706607004114991,0.006150159467592735
Random Forest,StandardScaler,RandomOverSampler,0.9950818681476792,0.0028815280724128335,0.9955596755912314,0.0024940903295709105,0.9948480061259326,0.003218522104212317,0.9950818681476792,0.0028815280724128335
Random Forest,StandardScaler,BorderlineSMOTE,0.9689499171657958,0.009806215149681772,0.9716815171237707,0.008583516731221432,0.968516928576315,0.009993850179677126,0.9689499171657958,0.009806215149681772
Random Forest,StandardScaler,SVMSMOTE,0.9711101230176373,0.00730834264085707,0.9736989932847571,0.0067579066225289175,0.9707222344975783,0.00755548223040141,0.9711101230176373,0.00730834264085707
Random Forest,StandardScaler,KMeansSMOTE,0.9805351458315407,0.005674372848754518,0.9821830623125049,0.005085985364920284,0.9804051480558057,0.005886516988507374,0.9805351458315407,0.005674372848754518
Random Forest,RobustScaler,NoOversampling,0.809178275436431,0.03897664276083857,0.8727780098762856,0.031023951441838848,0.812506841974395,0.027388312754483543,0.809178275436431,0.03897664276083857
Random Forest,RobustScaler,SMOTE,0.9706607004114991,0.006150159467592735,0.9720765856338236,0.006201509359326691,0.970107937717831,0.006491910380848048,0.9706607004114991,0.006150159467592735
Random Forest,RobustScaler,RandomOverSampler,0.9950818681476792,0.0028815280724128335,0.9955596755912314,0.0024940903295709105,0.9948480061259326,0.003218522104212317,0.9950818681476792,0.0028815280724128335
Random Forest,RobustScaler,BorderlineSMOTE,0.9689499171657958,0.009806215149681772,0.9716815171237707,0.008583516731221432,0.968516928576315,0.009993850179677126,0.9689499171657958,0.009806215149681772
Random Forest,RobustScaler,SVMSMOTE,0.9711101230176373,0.00730834264085707,0.9736989932847571,0.0067579066225289175,0.9707222344975783,0.00755548223040141,0.9711101230176373,0.00730834264085707
Random Forest,RobustScaler,KMeansSMOTE,0.9805351458315407,0.005674372848754518,0.9821830623125049,0.005085985364920284,0.9804051480558057,0.005886516988507374,0.9805351458315407,0.005674372848754518
Random Forest,QuantileTransformer,NoOversampling,0.8054311408922589,0.03559612914657209,0.8714972265028379,0.027560631430236647,0.806738678933731,0.02787755862119185,0.8054311408922589,0.03559612914657209
Random Forest,QuantileTransformer,SMOTE,0.9721864119018159,0.00652313568146575,0.9736415397612695,0.006667597615696857,0.9717215164493016,0.0068899458062291865,0.9721864119018159,0.00652313568146575
Random Forest,QuantileTransformer,RandomOverSampler,0.9950824436706857,0.0031661801910261625,0.9955358738324149,0.002814149414411974,0.9948632563362741,0.003469195028817451,0.9950824436706857,0.0031661801910261625
Random Forest,QuantileTransformer,BorderlineSMOTE,0.9689499171657958,0.009769981453745356,0.9716405148881515,0.008586629836074937,0.9685543269672827,0.009922613641149812,0.9689499171657958,0.009769981453745356
Random Forest,QuantileTransformer,SVMSMOTE,0.9709178153253297,0.007479952120756467,0.9735102565564577,0.006994941464791104,0.9704924840119515,0.007700161671104517,0.9709178153253297,0.007479952120756467
Random Forest,QuantileTransformer,KMeansSMOTE,0.9805351458315407,0.004554822709855091,0.98212303292807,0.003955864543613709,0.9803490902704993,0.004873350668586558,0.9805351458315407,0.004554822709855091
Support Vector Machine,NoScaler,NoOversampling,0.4585787339093634,0.04018677274537305,0.7942461940520905,0.018295617918243353,0.32326246087275134,0.049346884829775804,0.4585787339093634,0.04018677274537305
Support Vector Machine,NoScaler,SMOTE,0.6646896492187275,0.010366803439740268,0.7777722594192163,0.02289287951224132,0.6475331802560341,0.013498488000611129,0.6646896492187275,0.010366803439740268
Support Vector Machine,NoScaler,RandomOverSampler,0.6321202267560645,0.019532870255601718,0.74547665599599,0.017633652733500454,0.6227723676435721,0.03728085387581506,0.6321202267560645,0.019532870255601718
Support Vector Machine,NoScaler,BorderlineSMOTE,0.5176051003214251,0.02206014655647677,0.720319499844773,0.025719307152040093,0.48125726300741806,0.0357815724607918,0.5176051003214251,0.02206014655647677
Support Vector Machine,NoScaler,SVMSMOTE,0.6562075737364754,0.02433324020219152,0.7588983865548081,0.028343015433035346,0.6506340522169143,0.02254363118189135,0.6562075737364754,0.02433324020219152
Support Vector Machine,NoScaler,KMeansSMOTE,0.6765476497748717,0.01819547812076857,0.8146612917591982,0.01685271028952931,0.6524409816149037,0.021512445304962935,0.6765476497748717,0.01819547812076857
Support Vector Machine,StandardScaler,NoOversampling,0.6381061541174395,0.022361437280141304,0.7953754719857831,0.02852100277154407,0.5672076282323225,0.032971659596905345,0.6381061541174395,0.022361437280141304
Support Vector Machine,StandardScaler,SMOTE,0.8704221461252913,0.016970221675584957,0.8847175270666054,0.01728131826180239,0.8693063305959466,0.017950440416294514,0.8704221461252913,0.016970221675584957
Support Vector Machine,StandardScaler,RandomOverSampler,0.8409090385888176,0.009555642563534595,0.857545550046423,0.011919852352614516,0.839862630443459,0.01088612144835329,0.8409090385888176,0.009555642563534595
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8212048482788893,0.020219382828635883,0.8399069338225859,0.01581812023983881,0.8131560077118405,0.020244063000648807,0.8212048482788893,0.020219382828635883
Support Vector Machine,StandardScaler,SVMSMOTE,0.8678775752186156,0.010573917681405073,0.8867287763552844,0.009633790075913575,0.8621128611532589,0.009275883634000736,0.8678775752186156,0.010573917681405073
Support Vector Machine,StandardScaler,KMeansSMOTE,0.84834179357022,0.015214546137765916,0.8644271382391837,0.01618329188624981,0.8469354618582372,0.018450095510085727,0.84834179357022,0.015214546137765916
Support Vector Machine,RobustScaler,NoOversampling,0.5986422147769352,0.027222829463573933,0.7864670185580781,0.02278868424890638,0.517003309234071,0.04057409516660013,0.5986422147769352,0.027222829463573933
Support Vector Machine,RobustScaler,SMOTE,0.8527829414980864,0.019249115626454778,0.8694467113606104,0.020079390234015632,0.8503492348109181,0.02117345944910098,0.8527829414980864,0.019249115626454778
Support Vector Machine,RobustScaler,RandomOverSampler,0.8137751431613479,0.012571972332237944,0.8324194354711457,0.010878703869510044,0.8126850683586152,0.015213609506576107,0.8137751431613479,0.012571972332237944
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8099132010818005,0.020162961045801675,0.831680143443726,0.017934035052087193,0.8004559398001392,0.019784177993478078,0.8099132010818005,0.020162961045801675
Support Vector Machine,RobustScaler,SVMSMOTE,0.8447643397065363,0.012448905375624203,0.8685740795806843,0.011270405738455277,0.8380953615089759,0.011235436344531696,0.8447643397065363,0.012448905375624203
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8249817889816169,0.010734082887560507,0.8456393935172866,0.011181126050533867,0.8260672601914232,0.01677051815200633,0.8249817889816169,0.010734082887560507
Support Vector Machine,QuantileTransformer,NoOversampling,0.6230382648562862,0.025492692275217648,0.7873547835371183,0.02909780406285421,0.5549263688583956,0.03522978064596535,0.6230382648562862,0.025492692275217648
Support Vector Machine,QuantileTransformer,SMOTE,0.8658404074702887,0.01601748520377249,0.8833034335348762,0.016087844096651566,0.8648018404336704,0.016655972238652655,0.8658404074702887,0.01601748520377249
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8337852148139622,0.011248897438418106,0.8539869574970723,0.009324587173478161,0.8336023076659794,0.011487512292881922,0.8337852148139622,0.011248897438418106
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8206412924967786,0.022561139663511393,0.8397028598806274,0.015446182449862707,0.8150720561982554,0.02540333306724176,0.8206412924967786,0.022561139663511393
Support Vector Machine,QuantileTransformer,SVMSMOTE,0.8703779457536683,0.013454932504673124,0.8925486739312865,0.011184263094794672,0.8649206331715877,0.012418972672058385,0.8703779457536683,0.013454932504673124
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8544360320055064,0.015425562128003743,0.8713117367476257,0.013329931722421567,0.8545558802721033,0.017322657232308157,0.8544360320055064,0.015425562128003743
K-Nearest Neighbors,NoScaler,NoOversampling,0.8054046905307706,0.023004971177486316,0.8691138315645743,0.026624778816056745,0.8148207749509755,0.02420950542667526,0.8054046905307706,0.023004971177486316
K-Nearest Neighbors,NoScaler,SMOTE,0.9538698166959225,0.007048058566110549,0.9579928804635605,0.006277733553632665,0.9527170621817829,0.007364032039639451,0.9538698166959225,0.007048058566110549
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9721864119018159,0.008743881400630728,0.974845304474646,0.0071813786808722834,0.9711046629459167,0.008661905627207204,0.9721864119018159,0.008743881400630728
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.950881086898036,0.012218098732014656,0.954549015819494,0.01163011605269521,0.9492806457131847,0.012906451720278303,0.950881086898036,0.012218098732014656
K-Nearest Neighbors,NoScaler,SVMSMOTE,0.9506999407143916,0.012517312510092981,0.9560386293159804,0.01112566788867225,0.9496018849570614,0.013055456109101837,0.9506999407143916,0.012517312510092981
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9673331612607188,0.0047849348752715655,0.9705366075385043,0.003921709339547114,0.9667646098233489,0.004648845649982634,0.9673331612607188,0.0047849348752715655
K-Nearest Neighbors,StandardScaler,NoOversampling,0.7678010932816082,0.029237699917752213,0.833677981420041,0.023721237256709365,0.7895989019888879,0.03028413612031542,0.7678010932816082,0.029237699917752213
K-Nearest Neighbors,StandardScaler,SMOTE,0.9499669074271244,0.0036447608914291717,0.9539314158539554,0.004386708349825348,0.948717801890191,0.003991484641179221,0.9499669074271244,0.0036447608914291717
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9715101723691404,0.008424019644476782,0.974891664684565,0.006537556036106019,0.9705083525003172,0.008534225139701396,0.9715101723691404,0.008424019644476782
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9390262379111622,0.01247236600154959,0.9448849990515293,0.01027060542453132,0.9366543087479366,0.013024801314117018,0.9390262379111622,0.01247236600154959
