Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7394594594594595,0.027434762249620593,0.7790585194558606,0.03651072470529721,0.7263916252371144,0.01918065996298135,0.7394594594594595,0.027434762249620593
Neural Network,NoScaler,SMOTE,0.745945945945946,0.015288795268898318,0.8115112473888217,0.01171012985196775,0.7592152561369916,0.0198055101931704,0.745945945945946,0.015288795268898318
Neural Network,NoScaler,RandomOverSampler,0.7535135135135136,0.03966256503317652,0.8110628003259581,0.02627872818965661,0.7630212380484339,0.03821590766250044,0.7535135135135136,0.03966256503317652
Neural Network,NoScaler,BorderlineSMOTE,0.7545945945945947,0.03891891891891893,0.8036288157140223,0.037141205094436934,0.7636671863424064,0.029916361447347353,0.7545945945945947,0.03891891891891893
Neural Network,NoScaler,KMeansSMOTE,0.7664864864864864,0.021996745891217088,0.81894055122316,0.012604737689337302,0.7711846665905707,0.01820326971332737,0.7664864864864864,0.021996745891217088
Neural Network,StandardScaler,NoOversampling,0.774054054054054,0.04247974638786704,0.8050047636752442,0.04327882614153399,0.77319234508147,0.03586237806102101,0.774054054054054,0.04247974638786704
Neural Network,StandardScaler,SMOTE,0.7545945945945947,0.018599622199011085,0.7979011612421224,0.021318326971420706,0.7700459793187198,0.011405149419547008,0.7545945945945947,0.018599622199011085
Neural Network,StandardScaler,RandomOverSampler,0.7556756756756757,0.019757477710807665,0.7997261693028282,0.025120859685765575,0.7744162841266152,0.014847872106434463,0.7556756756756757,0.019757477710807665
Neural Network,StandardScaler,BorderlineSMOTE,0.7708108108108108,0.01763189884356767,0.8096588483979789,0.01730872603696823,0.778835206276308,0.00886459684679234,0.7708108108108108,0.01763189884356767
Neural Network,StandardScaler,KMeansSMOTE,0.7621621621621621,0.01639540636551686,0.791737958388633,0.013880584584021296,0.7741014376272484,0.019371594240543275,0.7621621621621621,0.01639540636551686
Neural Network,RobustScaler,NoOversampling,0.7675675675675676,0.029209202348337928,0.7927238316036233,0.030677148496417363,0.7702500480842575,0.033262554431700314,0.7675675675675676,0.029209202348337928
Neural Network,RobustScaler,SMOTE,0.7556756756756757,0.020907113087366168,0.7969677315962146,0.01401258772811569,0.7635284535297827,0.019116779262629353,0.7556756756756757,0.020907113087366168
Neural Network,RobustScaler,RandomOverSampler,0.7632432432432432,0.02722092608003064,0.7956697046722623,0.027815079662692324,0.7763160248434444,0.029237449815513846,0.7632432432432432,0.02722092608003064
Neural Network,RobustScaler,BorderlineSMOTE,0.7545945945945947,0.025491515940652108,0.795466855222004,0.014501548704666849,0.7607234892119583,0.019781306058532757,0.7545945945945947,0.025491515940652108
Neural Network,RobustScaler,KMeansSMOTE,0.7491891891891893,0.02455744149535254,0.7910475648129436,0.01728255235861592,0.7613735832480973,0.02940447112354055,0.7491891891891893,0.02455744149535254
Neural Network,QuantileTransformer,NoOversampling,0.7751351351351352,0.035953057617980295,0.8050138705315616,0.03777127308580981,0.7695063647246013,0.03869981731758638,0.7751351351351352,0.035953057617980295
Neural Network,QuantileTransformer,SMOTE,0.7362162162162162,0.04899575867513367,0.7804706636537301,0.03989166887420123,0.7555572926708048,0.05200457003959134,0.7362162162162162,0.04899575867513367
Neural Network,QuantileTransformer,RandomOverSampler,0.7254054054054053,0.0435663603883457,0.7850411980213433,0.03912597783077687,0.7459803224068886,0.041162777631100725,0.7254054054054053,0.0435663603883457
Neural Network,QuantileTransformer,BorderlineSMOTE,0.7535135135135136,0.03181392209635063,0.7958689382716843,0.030052578955893278,0.7670873492522279,0.028216963034882185,0.7535135135135136,0.03181392209635063
Neural Network,QuantileTransformer,KMeansSMOTE,0.7416216216216217,0.04206503018020264,0.78555218830901,0.03379725772242919,0.7556616179744824,0.04787586555321591,0.7416216216216217,0.04206503018020264
