Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.644708882277943,0.031129426046082216,0.7070783521132185,0.036038427132366636,0.6489757494227012,0.03005439990696942,0.644708882277943,0.031129426046082216
Neural Network,NoScaler,SMOTE,0.6689089915609252,0.02287351737667606,0.7424460955328854,0.02472422911902004,0.6967035016043218,0.019830752302108245,0.6689089915609252,0.02287351737667606
Neural Network,NoScaler,RandomOverSampler,0.6447270961083116,0.03551902197733789,0.7226845440151413,0.024130269770306724,0.6942042425881623,0.030440888377135464,0.6447270961083116,0.03551902197733789
Neural Network,NoScaler,BorderlineSMOTE,0.6743731406714832,0.03595549027633504,0.7243858643068094,0.03900304302577031,0.7143803544698427,0.02211008862054622,0.6743731406714832,0.03595549027633504
Neural Network,NoScaler,KMeansSMOTE,0.6700078926598263,0.034573421821442664,0.7350261076253095,0.02874802322593893,0.7086674376699085,0.0379051043022498,0.6700078926598263,0.034573421821442664
Neural Network,StandardScaler,NoOversampling,0.7161738813672516,0.011240365192971565,0.7495839069131203,0.017258533885403535,0.7291250731321084,0.022682858414096792,0.7161738813672516,0.011240365192971565
Neural Network,StandardScaler,SMOTE,0.6964240179709793,0.025792057194978124,0.7492547841701096,0.029567641659041705,0.7127185572613174,0.024526955282033056,0.6964240179709793,0.025792057194978124
Neural Network,StandardScaler,RandomOverSampler,0.6721389108129439,0.019098702495334005,0.7315827995258279,0.023879975799039495,0.6950832945822624,0.034186723289094056,0.6721389108129439,0.019098702495334005
Neural Network,StandardScaler,BorderlineSMOTE,0.6864853378665533,0.028261329791016726,0.727792756263353,0.02015523978984835,0.720564661999324,0.03574084565765657,0.6864853378665533,0.028261329791016726
Neural Network,StandardScaler,KMeansSMOTE,0.6952886892113411,0.019240568707347805,0.7386041818531983,0.018212353874419548,0.7267631588511916,0.02068408661161042,0.6952886892113411,0.019240568707347805
Neural Network,RobustScaler,NoOversampling,0.7128589642401797,0.01591420508477353,0.7507669285987884,0.016891626159973378,0.7177895980218609,0.012831324740201221,0.7128589642401797,0.01591420508477353
Neural Network,RobustScaler,SMOTE,0.677700200352134,0.03029351999759126,0.7363312527287244,0.03252342419255812,0.7203312104265922,0.03560566383190937,0.677700200352134,0.03029351999759126
Neural Network,RobustScaler,RandomOverSampler,0.6688786351769778,0.012401575237397253,0.7224214220661722,0.018766376414705858,0.6990915466590018,0.028073147843769207,0.6688786351769778,0.012401575237397253
Neural Network,RobustScaler,BorderlineSMOTE,0.688640641126829,0.013955743267849733,0.7444501352453686,0.011627461864365345,0.7107638823927396,0.015959900092260806,0.688640641126829,0.013955743267849733
Neural Network,RobustScaler,KMeansSMOTE,0.6787991014510351,0.024829592248422787,0.7383808889511145,0.02617283052328356,0.7057592341630967,0.023674008383891606,0.6787991014510351,0.024829592248422787
Neural Network,QuantileTransformer,NoOversampling,0.7062534150931941,0.020095986702528695,0.7418146021282698,0.02714378377260738,0.709327890534044,0.012793743845959937,0.7062534150931941,0.020095986702528695
Neural Network,QuantileTransformer,SMOTE,0.6732560257422135,0.028056358695107572,0.7223800302888183,0.028085630151428457,0.7177386974654174,0.03014234835560513,0.6732560257422135,0.028056358695107572
Neural Network,QuantileTransformer,RandomOverSampler,0.6732924534029505,0.03283856242350487,0.7361069408888781,0.020223900532605407,0.70907804832962,0.04622471372420024,0.6732924534029505,0.03283856242350487
Neural Network,QuantileTransformer,BorderlineSMOTE,0.672175338473681,0.02739072790092571,0.7377949442871372,0.015816145852350572,0.6977055028749937,0.039359915874470096,0.672175338473681,0.02739072790092571
Neural Network,QuantileTransformer,KMeansSMOTE,0.6942201444963876,0.04132128556242449,0.7487884564528134,0.03716256665219314,0.7246949722717723,0.027927682224820463,0.6942201444963876,0.04132128556242449
