Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7843243243243243,0.009307662355525699,0.8030460183362405,0.012627319548855443,0.7671984936459988,0.01085053554698142,0.7843243243243243,0.009307662355525699
Neural Network,NoScaler,SMOTE,0.9182374051003922,0.012992054420167336,0.9250959401817787,0.009048594362835092,0.9157689641085579,0.01373579429619833,0.9182374051003922,0.012992054420167336
Neural Network,NoScaler,RandomOverSampler,0.9092342739494917,0.012661963752630156,0.9159901741531637,0.010098390200900774,0.9074311958739882,0.013348398943551908,0.9092342739494917,0.012661963752630156
Neural Network,NoScaler,BorderlineSMOTE,0.9354180819173749,0.013148139146920753,0.9392784877037188,0.012395657354965513,0.9339743939042231,0.013207113368413919,0.9354180819173749,0.013148139146920753
Neural Network,NoScaler,KMeansSMOTE,0.9340039134025122,0.007457634166439401,0.9375506851505697,0.007759600724517275,0.9328546757128479,0.007239102671201,0.9340039134025122,0.007457634166439401
Neural Network,StandardScaler,NoOversampling,0.8402702702702702,0.003953713199548051,0.8481797792015083,0.009866903624978647,0.8316098129393696,0.007789263191297722,0.8402702702702702,0.003953713199548051
Neural Network,StandardScaler,SMOTE,0.9491881407063915,0.00786978780304537,0.9537393197799295,0.005842722931374352,0.9486307839148518,0.007710084935325359,0.9491881407063915,0.00786978780304537
Neural Network,StandardScaler,RandomOverSampler,0.9573219843013531,0.009165423029567318,0.9607035241669404,0.007393146593304955,0.9564214225542982,0.009316123979909424,0.9573219843013531,0.009165423029567318
Neural Network,StandardScaler,BorderlineSMOTE,0.9576119100846039,0.008603653112799573,0.9598421624574712,0.007664450632006026,0.9571781898663486,0.008604192129323836,0.9576119100846039,0.008603653112799573
Neural Network,StandardScaler,KMeansSMOTE,0.956332768586692,0.007196917665873109,0.9606548863973167,0.00507858980566043,0.9560757277322077,0.007070296154296987,0.956332768586692,0.007196917665873109
Neural Network,RobustScaler,NoOversampling,0.8316216216216217,0.013610463040015347,0.8361564227738694,0.013916340967773727,0.823936023483127,0.017414882824922113,0.8316216216216217,0.013610463040015347
Neural Network,RobustScaler,SMOTE,0.9527496461370557,0.005135277202470074,0.9556740378394937,0.004332772261092426,0.9521292024796834,0.005005394969269229,0.9527496461370557,0.005135277202470074
Neural Network,RobustScaler,RandomOverSampler,0.9486076625029192,0.0075449766868068355,0.9537851386387224,0.006430512001121149,0.9476905443615407,0.007313439575405211,0.9486076625029192,0.0075449766868068355
Neural Network,RobustScaler,BorderlineSMOTE,0.9580018779367812,0.0072652102023594975,0.9602437871055208,0.006169866286807784,0.9575286664845523,0.007558402132655804,0.9580018779367812,0.0072652102023594975
Neural Network,RobustScaler,KMeansSMOTE,0.9558168905826889,0.008127052780835135,0.9590931084297217,0.006909371057222941,0.9552037314186064,0.007604095062900344,0.9558168905826889,0.008127052780835135
Neural Network,QuantileTransformer,NoOversampling,0.8621621621621621,0.0038221988172245894,0.8649309799319038,0.005975297154643573,0.8536827150363333,0.004223855841419967,0.8621621621621621,0.0038221988172245894
Neural Network,QuantileTransformer,SMOTE,0.9587145600899788,0.004705033722495776,0.9609637789000411,0.003986737711234513,0.9580798477060561,0.004925631768462861,0.9587145600899788,0.004705033722495776
Neural Network,QuantileTransformer,RandomOverSampler,0.9676376252817797,0.0051984031018336065,0.9701178467473808,0.005243243636602294,0.9669444991627753,0.00536629041082157,0.9676376252817797,0.0051984031018336065
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9606715169398468,0.008355879385851259,0.9639209626615777,0.0055233477083991055,0.9604520787350529,0.008030738537779157,0.9606715169398468,0.008355879385851259
Neural Network,QuantileTransformer,KMeansSMOTE,0.9655682095458431,0.004555320022633827,0.9670379930856126,0.004398856192216927,0.9652282871215754,0.004746105263864661,0.9655682095458431,0.004555320022633827
