Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.6914279668062335,0.02132017320740134,0.7250428726567212,0.02209976291359568,0.6632966049910334,0.02230086009364791,0.6914279668062335,0.02132017320740134
Neural Network,NoScaler,SMOTE,0.880351299986285,0.01141495613171447,0.8867792778380835,0.011834173544286347,0.8793457891133698,0.011238197939023344,0.880351299986285,0.01141495613171447
Neural Network,NoScaler,RandomOverSampler,0.8578293070005291,0.02189892937700547,0.8690646986659344,0.022065887920758764,0.8546248066239663,0.023485370563001325,0.8578293070005291,0.02189892937700547
Neural Network,NoScaler,BorderlineSMOTE,0.8904050170082556,0.010560887785203914,0.8979853491258434,0.010505813425067085,0.8888122370364074,0.010427322707046998,0.8904050170082556,0.010560887785203914
Neural Network,NoScaler,KMeansSMOTE,0.887067539691562,0.024107716052165676,0.8958429806019567,0.01689909441724913,0.885290766996019,0.023377890897183094,0.887067539691562,0.024107716052165676
Neural Network,StandardScaler,NoOversampling,0.8102317215109511,0.0034393592391700357,0.8084437310425946,0.00802876383618274,0.8064926508134395,0.0060127973727854694,0.8102317215109511,0.0034393592391700357
Neural Network,StandardScaler,SMOTE,0.9312226924508711,0.007733919542247037,0.9347078643969298,0.00758872677557497,0.9295938264931959,0.007986990829272253,0.9312226924508711,0.007733919542247037
Neural Network,StandardScaler,RandomOverSampler,0.9386243852740062,0.012174223327139688,0.9428314883534853,0.01167372643948821,0.9379110861261953,0.01189677337103155,0.9386243852740062,0.012174223327139688
Neural Network,StandardScaler,BorderlineSMOTE,0.9459957220605469,0.0021831845558417657,0.9475632777093829,0.002373292815942414,0.9452737757593063,0.0021529749373118343,0.9459957220605469,0.0021831845558417657
Neural Network,StandardScaler,KMeansSMOTE,0.9424096037493997,0.005630768309853272,0.9449295824904839,0.005076457229059012,0.941508822631748,0.006257955480944918,0.9424096037493997,0.005630768309853272
Neural Network,RobustScaler,NoOversampling,0.7984087095847756,0.009056525945745169,0.8032789929977439,0.0073817162109706186,0.785707319688943,0.014001522134385838,0.7984087095847756,0.009056525945745169
Neural Network,RobustScaler,SMOTE,0.9251724171711828,0.00895041797825867,0.9288466046948779,0.008636415683870628,0.9236150482696424,0.00936746572397752,0.9251724171711828,0.00895041797825867
Neural Network,RobustScaler,RandomOverSampler,0.9301411665589059,0.0093531765887437,0.9363639821252366,0.0071376528342045435,0.9280107048718917,0.01004361072776897,0.9301411665589059,0.0093531765887437
Neural Network,RobustScaler,BorderlineSMOTE,0.93961358704961,0.004877779458715715,0.9427487133967972,0.004019564858330213,0.9385333470837788,0.005596840786754053,0.93961358704961,0.004877779458715715
Neural Network,RobustScaler,KMeansSMOTE,0.9390678302555466,0.005197580277316502,0.9425639726807026,0.0045873071938503825,0.9376115125823766,0.005428178280788984,0.9390678302555466,0.005197580277316502
Neural Network,QuantileTransformer,NoOversampling,0.7992268391855737,0.0079984018571282,0.8034095753419276,0.005821003691811979,0.786603515654053,0.012668942383161257,0.7992268391855737,0.0079984018571282
Neural Network,QuantileTransformer,SMOTE,0.9307896902368776,0.012910806133551616,0.9344538486089273,0.01152405276216415,0.9297756000526679,0.013023247281889215,0.9307896902368776,0.012910806133551616
Neural Network,QuantileTransformer,RandomOverSampler,0.9592669331295676,0.004914988815164263,0.9628991166925761,0.003862396820302569,0.958009726511861,0.004835142338216179,0.9592669331295676,0.004914988815164263
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9464994936124697,0.010284986049576297,0.9494898932764284,0.008398324529409059,0.9459101433725076,0.010174390743417722,0.9464994936124697,0.010284986049576297
Neural Network,QuantileTransformer,KMeansSMOTE,0.9514669178418101,0.0037858480118961057,0.9537514399655546,0.0039436761509403775,0.9507786186452151,0.003800907754810855,0.9514669178418101,0.0037858480118961057
