Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.4751351351351351,0.003972145528837588,0.7315089194891367,0.030433747046870453,0.39042095694616563,0.03133151792723388,0.4751351351351351,0.003972145528837588
Support Vector Machine,NoScaler,SMOTE,0.7312614677806002,0.013379024262480325,0.7558551243800462,0.010265365740877028,0.7223929576852444,0.025049311252355436,0.7312614677806002,0.013379024262480325
Support Vector Machine,NoScaler,RandomOverSampler,0.6712558441001397,0.009339540628520982,0.7039135003482512,0.010534908686124164,0.6536499598415217,0.009255303638207195,0.6712558441001397,0.009339540628520982
Support Vector Machine,NoScaler,BorderlineSMOTE,0.7433279681011571,0.012188684322834391,0.7701480833419787,0.012858126658667922,0.7250835515181416,0.01216252027689685,0.7433279681011571,0.012188684322834391
Support Vector Machine,NoScaler,KMeansSMOTE,0.7429444825669003,0.00941036761896335,0.7585913120589958,0.014357904814236253,0.7355275781152637,0.016397270107849915,0.7429444825669003,0.00941036761896335
Support Vector Machine,StandardScaler,NoOversampling,0.6664864864864865,0.00794429105767517,0.7792351559641025,0.010060353230073265,0.60515725461686,0.0054546089694931564,0.6664864864864865,0.00794429105767517
Support Vector Machine,StandardScaler,SMOTE,0.8590662784103094,0.005672682374468574,0.8724795846541713,0.004359131349298704,0.8525403620151069,0.005619495068858019,0.8590662784103094,0.005672682374468574
Support Vector Machine,StandardScaler,RandomOverSampler,0.8127938730477965,0.005813255429497219,0.8326622829400326,0.0058576165771438106,0.8056358743609895,0.005258685223423528,0.8127938730477965,0.005813255429497219
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8766324050119552,0.006774797641419953,0.8868431040128124,0.008251352751734647,0.8707115276545714,0.008280749096327087,0.8766324050119552,0.006774797641419953
Support Vector Machine,StandardScaler,KMeansSMOTE,0.867089036215267,0.0026182181894059344,0.8778452286556051,0.004124041902956866,0.8592651557793678,0.003771553891911387,0.867089036215267,0.0026182181894059344
Support Vector Machine,RobustScaler,NoOversampling,0.6467567567567568,0.006707931700535575,0.7698625443700612,0.012214278915859609,0.5842689206079913,0.010300576260257967,0.6467567567567568,0.006707931700535575
Support Vector Machine,RobustScaler,SMOTE,0.8497290625134039,0.006240090125128057,0.8622432415520074,0.006767840559404158,0.8436384465827489,0.0064866878682683675,0.8497290625134039,0.006240090125128057
Support Vector Machine,RobustScaler,RandomOverSampler,0.8082911160146216,0.008023098124728513,0.8258895831357969,0.008000145640776698,0.8022312622433783,0.00853384064996493,0.8082911160146216,0.008023098124728513
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8644863280275942,0.008366358564717319,0.8726414517702239,0.013563233518909827,0.8638876726345593,0.00401354136650781,0.8644863280275942,0.008366358564717319
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8580494826100363,0.005750141462638208,0.8641994497584357,0.010288006915537938,0.8494990063522436,0.00870122079358285,0.8580494826100363,0.005750141462638208
Support Vector Machine,QuantileTransformer,NoOversampling,0.6705405405405405,0.013112983211576413,0.7722841506219981,0.025015013431379546,0.6112042678871348,0.009794691312580154,0.6705405405405405,0.013112983211576413
Support Vector Machine,QuantileTransformer,SMOTE,0.8736053987332422,0.002635860392141698,0.8798502470307348,0.004705696013665358,0.8699693960532766,0.002941834314814389,0.8736053987332422,0.002635860392141698
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8340966605822893,0.009417564400901109,0.8428843917112196,0.011898873756763002,0.8289495018221441,0.009921755518968485,0.8340966605822893,0.009417564400901109
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8894799823935451,0.004384941417698547,0.8933862950918636,0.005597613435729066,0.8866533528676976,0.0043769389615326585,0.8894799823935451,0.004384941417698547
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8787845917563611,0.007247545534940046,0.8836211511229269,0.005886828620039717,0.8738058988453673,0.008650324003056098,0.8787845917563611,0.007247545534940046
K-Nearest Neighbors,NoScaler,NoOversampling,0.7791891891891891,0.006079579394163222,0.7870189410949421,0.009370697034190929,0.7670731853797832,0.005004455693277376,0.7791891891891891,0.006079579394163222
K-Nearest Neighbors,NoScaler,SMOTE,0.9560066149732875,0.003898221572838937,0.9563310314957357,0.0038697499527208957,0.9553250996820534,0.003929372501361686,0.9560066149732875,0.003898221572838937
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9818574349344937,0.0024745966462924656,0.982448482960779,0.002256274176953514,0.9810621469882008,0.002495766561792366,0.9818574349344937,0.0024745966462924656
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.960336922459313,0.003777969675350109,0.9606867225642756,0.0037357494838463233,0.9596892112911792,0.0037637858035844234,0.960336922459313,0.003777969675350109
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9663734050896974,0.001981350587491225,0.9665967304404685,0.0018224094707954008,0.9657536474256686,0.00203003353605256,0.9663734050896974,0.001981350587491225
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8278378378378377,0.012607463556422248,0.8338744839211294,0.014861572298713542,0.8235563255280542,0.01333697965773674,0.8278378378378377,0.012607463556422248
K-Nearest Neighbors,StandardScaler,SMOTE,0.9660672840006292,0.0013699762038809527,0.966588831391191,0.0014280519741648133,0.9653265869610248,0.001448518393473386,0.9660672840006292,0.0013699762038809527
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9824159903158316,0.001889128358615978,0.9831447562129263,0.0018513447099359807,0.9817475949518586,0.0019033766270809146,0.9824159903158316,0.001889128358615978
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9646738948800877,0.0024917364500391835,0.9652969726918492,0.00245966975833788,0.9640853901533134,0.002495869395708295,0.9646738948800877,0.0024917364500391835
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9683981182569786,0.0015024675445247325,0.9688563889577985,0.001398190038442797,0.9677173870924796,0.0014788524987243937,0.9683981182569786,0.0015024675445247325
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8329729729729729,0.007814503943135659,0.8393402119221334,0.008424750515112645,0.8258214790553158,0.0088566701058573,0.8329729729729729,0.007814503943135659
K-Nearest Neighbors,RobustScaler,SMOTE,0.9654596405610338,0.0016721432351805355,0.9660629827375905,0.001777332472317628,0.9646791237212782,0.0017618275940041541,0.9654596405610338,0.0016721432351805355
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9819036634942119,0.002851335888239716,0.9826855957801097,0.0027691730761041553,0.9811107637545952,0.0029666911786062813,0.9819036634942119,0.002851335888239716
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9632831623613101,0.002463062525664104,0.9640305448797337,0.002308231813631787,0.9626136653459719,0.0025828270163349757,0.9632831623613101,0.002463062525664104
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9681987771953132,0.0014500459266090513,0.968726640709491,0.001266095405988566,0.9675180176985588,0.0014284792281572295,0.9681987771953132,0.0014500459266090513
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8429729729729729,0.009416892643342882,0.846351909371428,0.012194647750160789,0.836776072461566,0.009471289408229949,0.8429729729729729,0.009416892643342882
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9696688224108432,0.0018555158985941746,0.9699114013144335,0.0015404410218027142,0.9690206894755743,0.002058011670516658,0.9696688224108432,0.0018555158985941746
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9857148984639726,0.0024183262074079673,0.9862050840567231,0.0023487863564114414,0.9852147764043231,0.0025083992871011715,0.9857148984639726,0.0024183262074079673
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9692743813577606,0.004104478888611499,0.9694746751708582,0.004047210271319312,0.9688252025177247,0.004310369991208555,0.9692743813577606,0.004104478888611499
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9710232657526137,0.002084956938651986,0.971475358910113,0.0019021249209157402,0.9703989139398825,0.002204862721457446,0.9710232657526137,0.002084956938651986
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
