Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.478271006847348,0.008478026926250673,0.7373474591327587,0.00512516608618025,0.38248603250013324,0.019197164474076323,0.478271006847348,0.008478026926250673
Support Vector Machine,NoScaler,SMOTE,0.6334626462117204,0.015832130549963096,0.6732956201670521,0.016109209257365045,0.6295752840602434,0.028174889034184816,0.6334626462117204,0.015832130549963096
Support Vector Machine,NoScaler,RandomOverSampler,0.5813583730088755,0.018847771929083282,0.6442906271273855,0.02409381326398345,0.5739743404162331,0.012060324645940571,0.5813583730088755,0.018847771929083282
Support Vector Machine,NoScaler,BorderlineSMOTE,0.64229411485958,0.019574307338068322,0.6778960794052441,0.0176232979437639,0.6355127659363983,0.03260096256971715,0.64229411485958,0.019574307338068322
Support Vector Machine,NoScaler,KMeansSMOTE,0.647436025698324,0.012205521028884152,0.6756275308256198,0.024385735918884557,0.650157906125027,0.017961973571079863,0.647436025698324,0.012205521028884152
Support Vector Machine,StandardScaler,NoOversampling,0.6826144625663195,0.009345893099542896,0.7444101537795422,0.006632236599723558,0.6426367698240136,0.010179014813123796,0.6826144625663195,0.009345893099542896
Support Vector Machine,StandardScaler,SMOTE,0.8349012519837771,0.005963491962882988,0.8417187677048702,0.008722787811481092,0.8306199197897088,0.0076750035874247405,0.8349012519837771,0.005963491962882988
Support Vector Machine,StandardScaler,RandomOverSampler,0.7879685142733989,0.0069961965916404386,0.8042952204281975,0.009441259360427348,0.781991480374796,0.008772523489414511,0.7879685142733989,0.0069961965916404386
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8561072761850761,0.006562670091025212,0.864219142203987,0.009600298097006903,0.8523530269514741,0.00811564272829619,0.8561072761850761,0.006562670091025212
Support Vector Machine,StandardScaler,KMeansSMOTE,0.8593041525457787,0.007027056088675855,0.8648203915217939,0.006321798686046358,0.8562457262611216,0.006988258860154563,0.8593041525457787,0.007027056088675855
Support Vector Machine,RobustScaler,NoOversampling,0.6820665235727134,0.004824003309055055,0.741760805989203,0.008070916006320608,0.6444176286677707,0.0073732713798213625,0.6820665235727134,0.004824003309055055
Support Vector Machine,RobustScaler,SMOTE,0.8344393503007504,0.005060727549938784,0.8415671549842644,0.00802181524133658,0.8307194682056483,0.007028506312512352,0.8344393503007504,0.005060727549938784
Support Vector Machine,RobustScaler,RandomOverSampler,0.7881188894766747,0.008291600441802112,0.803499984324579,0.011698612759453856,0.7823839898904588,0.010318101307059959,0.7881188894766747,0.008291600441802112
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8540965178307294,0.004239690423797652,0.8618898873875102,0.006115903846184557,0.850428843977044,0.0052258581130334054,0.8540965178307294,0.004239690423797652
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8525597658778061,0.008337315831541587,0.8581402356211856,0.0077142647854448595,0.8493041887977035,0.00851022494489414,0.8525597658778061,0.008337315831541587
Support Vector Machine,QuantileTransformer,NoOversampling,0.7057235062049367,0.006064613905806881,0.7546750192933743,0.010903480362717698,0.6729404436711038,0.003873798030643266,0.7057235062049367,0.006064613905806881
Support Vector Machine,QuantileTransformer,SMOTE,0.8535918611258058,0.005264143092120943,0.8589055703373443,0.005166859070537619,0.8512625890264702,0.0060372029891244275,0.8535918611258058,0.005264143092120943
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8090450439859715,0.011787299667013458,0.8220932861897371,0.013248694977224685,0.8051295310971993,0.012694967548646803,0.8090450439859715,0.011787299667013458
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8756142988147456,0.0074931545579469344,0.8800065870451224,0.009236693780677442,0.8732605131268845,0.007949535493888868,0.8756142988147456,0.0074931545579469344
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.8750389034627,0.0023544784127603226,0.8790959260581683,0.003880795094507002,0.8731984735719891,0.0023059171942157466,0.8750389034627,0.0023544784127603226
K-Nearest Neighbors,NoScaler,NoOversampling,0.7359731396526444,0.006698629075376399,0.7395834664704518,0.004188619500204989,0.7322538634187407,0.00999956564014344,0.7359731396526444,0.006698629075376399
K-Nearest Neighbors,NoScaler,SMOTE,0.9393924254001842,0.004470907208688101,0.9399192750117139,0.004624094320235581,0.9384719348510417,0.004638989028441726,0.9393924254001842,0.004470907208688101
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9798433550814083,0.0006852240525032464,0.9804788676448251,0.0007235898232221309,0.9789710161522563,0.0007474708990769936,0.9798433550814083,0.0006852240525032464
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9526943454615455,0.0044253175391937415,0.9534323477323058,0.004174348571850924,0.951905950163565,0.004582194092867275,0.9526943454615455,0.0044253175391937415
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.958120906831458,0.002389638512106136,0.9584464963985125,0.00236668732667221,0.9572983389586595,0.002564301813853687,0.958120906831458,0.002389638512106136
K-Nearest Neighbors,StandardScaler,NoOversampling,0.7629241803588434,0.009241983620568465,0.7668038358647064,0.010915284861147723,0.7540319593468301,0.008072619882588202,0.7629241803588434,0.009241983620568465
K-Nearest Neighbors,StandardScaler,SMOTE,0.947579302102314,0.0033266356795874728,0.9483625690759453,0.003602017726092309,0.9466375379566904,0.0033544638009182733,0.947579302102314,0.0033266356795874728
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.9801490037030506,0.003144809194369623,0.9809143744001092,0.0030525115264884986,0.9793946635311561,0.0032191759941278225,0.9801490037030506,0.003144809194369623
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9510796021383865,0.0031032147470211576,0.9520074292003822,0.002823503568411197,0.9503053365675698,0.0031605233598621936,0.9510796021383865,0.0031032147470211576
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9553234333710681,0.0020921511955476796,0.9559392902995902,0.0021547874689518713,0.9544405823207223,0.002249047118922465,0.9553234333710681,0.0020921511955476796
K-Nearest Neighbors,RobustScaler,NoOversampling,0.7673265867557476,0.005930243192105482,0.7727869143638397,0.008934918724109793,0.75822880866878,0.004705590995149336,0.7673265867557476,0.005930243192105482
K-Nearest Neighbors,RobustScaler,SMOTE,0.9455499715903525,0.0038987187856111593,0.9463302654997126,0.004029149306861225,0.9445062002346438,0.003782323584066838,0.9455499715903525,0.0038987187856111593
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.979210505691726,0.002844957623262134,0.9800494005676128,0.0027464498890852596,0.9783060162213804,0.0029763098370080747,0.979210505691726,0.002844957623262134
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9484009028023674,0.0035273152549378703,0.9493657374744531,0.003293288773601315,0.947548932452138,0.0035622056701843925,0.9484009028023674,0.0035273152549378703
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9535092749141872,0.0013255327237075892,0.954145705602093,0.0013463064360581375,0.952539939803407,0.001470501606355461,0.9535092749141872,0.0013255327237075892
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.7755785479994559,0.0075230699272495335,0.7881997053784826,0.0050243688299649,0.767466984157971,0.009419060866641342,0.7755785479994559,0.0075230699272495335
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9495087090264308,0.0018774682728636709,0.9499576881777962,0.001940433724673762,0.9485964504011986,0.0019873504623720514,0.9495087090264308,0.0018774682728636709
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9829728247026784,0.002135095156371365,0.9835481974426102,0.0019772206496990147,0.9822868217995083,0.002322554230999182,0.9829728247026784,0.002135095156371365
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9553285234177163,0.0021629806840814296,0.955796727930635,0.0020455842934683074,0.9546536021043975,0.0022241494213110498,0.9553285234177163,0.0021629806840814296
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.9586947099823464,0.0024366392848367423,0.9591466344938002,0.0025221647708758422,0.9579239841031102,0.00245813705761469,0.9586947099823464,0.0024366392848367423
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
