Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8043243243243244,0.04036357773533938,0.8262645428540603,0.04102878508071319,0.801388519132907,0.03692195211336613,0.8043243243243244,0.04036357773533938
Random Forest,NoScaler,SMOTE,0.7967567567567568,0.023832873173025532,0.8236854543271335,0.021535029294878674,0.8015713879175197,0.021843322217380196,0.7967567567567568,0.023832873173025532
Random Forest,NoScaler,RandomOverSampler,0.8021621621621622,0.022831040088586912,0.8211108868134355,0.02632016898960391,0.8010617356968659,0.02580224698925397,0.8021621621621622,0.022831040088586912
Random Forest,NoScaler,BorderlineSMOTE,0.8021621621621622,0.02068229888617189,0.8239092232867977,0.027037217451278562,0.8092488529090913,0.013137825362722368,0.8021621621621622,0.02068229888617189
Random Forest,NoScaler,KMeansSMOTE,0.7891891891891893,0.028397676835813384,0.8241692603761568,0.02561108429301737,0.7908518905204311,0.03039020594182515,0.7891891891891893,0.028397676835813384
Random Forest,StandardScaler,NoOversampling,0.8043243243243243,0.04206503018020264,0.8241693047588223,0.046042579962883454,0.8050871628315507,0.03395380612173408,0.8043243243243243,0.04206503018020264
Random Forest,StandardScaler,SMOTE,0.7978378378378379,0.02308557459898664,0.8247238049307015,0.021747671337963133,0.8029625712515601,0.020315006927137565,0.7978378378378379,0.02308557459898664
Random Forest,StandardScaler,RandomOverSampler,0.8021621621621622,0.022831040088586912,0.8217054814080301,0.026557377986371995,0.8013448759800061,0.02574476235606569,0.8021621621621622,0.022831040088586912
Random Forest,StandardScaler,BorderlineSMOTE,0.8043243243243243,0.01975747771080765,0.8254828518352545,0.0269173987725831,0.8111957492559876,0.012849380229307768,0.8043243243243243,0.01975747771080765
Random Forest,StandardScaler,KMeansSMOTE,0.7891891891891893,0.028397676835813384,0.8241692603761568,0.02561108429301737,0.7908518905204311,0.03039020594182515,0.7891891891891893,0.028397676835813384
Random Forest,RobustScaler,NoOversampling,0.8054054054054054,0.03912856447752185,0.8245086440981615,0.04346535284977718,0.8061217318661196,0.03115168346602089,0.8054054054054054,0.03912856447752185
Random Forest,RobustScaler,SMOTE,0.7967567567567568,0.023832873173025532,0.8236854543271335,0.021535029294878674,0.8015713879175197,0.021843322217380196,0.7967567567567568,0.023832873173025532
Random Forest,RobustScaler,RandomOverSampler,0.8021621621621622,0.022831040088586912,0.8211108868134355,0.02632016898960391,0.8010617356968659,0.02580224698925397,0.8021621621621622,0.022831040088586912
Random Forest,RobustScaler,BorderlineSMOTE,0.8043243243243243,0.01975747771080765,0.8254828518352545,0.0269173987725831,0.8111957492559876,0.012849380229307768,0.8043243243243243,0.01975747771080765
Random Forest,RobustScaler,KMeansSMOTE,0.7891891891891893,0.028397676835813384,0.8241692603761568,0.02561108429301737,0.7908518905204311,0.03039020594182515,0.7891891891891893,0.028397676835813384
Random Forest,QuantileTransformer,NoOversampling,0.8064864864864866,0.03672494648964978,0.8260601804149781,0.041458612145407664,0.8068056049279203,0.02810251658496511,0.8064864864864866,0.03672494648964978
Random Forest,QuantileTransformer,SMOTE,0.7956756756756758,0.025445626585815843,0.822314109521006,0.024360482349784676,0.8014668511180689,0.022554612072006618,0.7956756756756758,0.025445626585815843
