Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.7359662437010503,0.026533406470640442,0.7648435543156333,0.02588259419820998,0.751286812709554,0.0300080795357056,0.7359662437010503,0.026533406470640442
Random Forest,NoScaler,SMOTE,0.7205816283164349,0.028853640582979127,0.7542667224466324,0.02324617199869622,0.7456094616029378,0.0059114942631103345,0.7205816283164349,0.028853640582979127
Random Forest,NoScaler,RandomOverSampler,0.7195009410479024,0.028604190296418183,0.739824967656884,0.022670977838023052,0.7602572528445479,0.012617569378489273,0.7195009410479024,0.028604190296418183
Random Forest,NoScaler,BorderlineSMOTE,0.7238661890595592,0.029416326605231122,0.761009632505013,0.023429032976103326,0.7390004600240946,0.010067375899402292,0.7238661890595592,0.029416326605231122
Random Forest,NoScaler,KMeansSMOTE,0.7172849250197316,0.03900396029972354,0.757669608030465,0.03259738671566375,0.728699685058037,0.026261063701267948,0.7172849250197316,0.03900396029972354
Random Forest,StandardScaler,NoOversampling,0.7381701171756421,0.024751929065888384,0.766414779657474,0.02413045656576472,0.7531299628437355,0.02904222070706584,0.7381701171756421,0.024751929065888384
Random Forest,StandardScaler,SMOTE,0.7205816283164349,0.028853640582979127,0.7542667224466324,0.02324617199869622,0.7456094616029378,0.0059114942631103345,0.7205816283164349,0.028853640582979127
Random Forest,StandardScaler,RandomOverSampler,0.7195009410479024,0.028604190296418183,0.739824967656884,0.022670977838023052,0.7602572528445479,0.012617569378489273,0.7195009410479024,0.028604190296418183
Random Forest,StandardScaler,BorderlineSMOTE,0.7238661890595592,0.029416326605231122,0.761009632505013,0.023429032976103326,0.7390004600240946,0.010067375899402292,0.7238661890595592,0.029416326605231122
Random Forest,StandardScaler,KMeansSMOTE,0.7172849250197316,0.03900396029972354,0.757669608030465,0.03259738671566375,0.728699685058037,0.026261063701267948,0.7172849250197316,0.03900396029972354
Random Forest,RobustScaler,NoOversampling,0.7381701171756421,0.024751929065888384,0.7664905204674868,0.02423340381139346,0.753222160532826,0.028984384455439584,0.7381701171756421,0.024751929065888384
Random Forest,RobustScaler,SMOTE,0.7216805294153361,0.02696143626896066,0.7543419104165572,0.023124243828884814,0.7463548032178446,0.00545272785806877,0.7216805294153361,0.02696143626896066
Random Forest,RobustScaler,RandomOverSampler,0.7195009410479024,0.028604190296418183,0.7388307238054974,0.022197157803998217,0.7600130526003477,0.012853073544373882,0.7195009410479024,0.028604190296418183
Random Forest,RobustScaler,BorderlineSMOTE,0.7238661890595592,0.029416326605231122,0.761009632505013,0.023429032976103326,0.7390004600240946,0.010067375899402292,0.7238661890595592,0.029416326605231122
Random Forest,RobustScaler,KMeansSMOTE,0.7172849250197316,0.03900396029972354,0.757669608030465,0.03259738671566375,0.728699685058037,0.026261063701267948,0.7172849250197316,0.03900396029972354
Random Forest,QuantileTransformer,NoOversampling,0.7348855564325179,0.02841604399410058,0.7660256901493824,0.022874771256542692,0.750546522860455,0.027810173844771517,0.7348855564325179,0.02841604399410058
Random Forest,QuantileTransformer,SMOTE,0.7183716835650539,0.02632215758115513,0.7507589560312528,0.021751924847365923,0.7416267791627786,0.009891729523463401,0.7183716835650539,0.02632215758115513
Random Forest,QuantileTransformer,RandomOverSampler,0.7172970675733108,0.02291529733687448,0.7423752803544696,0.015021064115214706,0.752177981258922,0.01690874783273936,0.7172970675733108,0.02291529733687448
Random Forest,QuantileTransformer,BorderlineSMOTE,0.72608220508773,0.026681079470824588,0.7637587789124073,0.017405552758428703,0.7389069654522487,0.015894157643591714,0.72608220508773,0.026681079470824588
Random Forest,QuantileTransformer,KMeansSMOTE,0.7205755570396455,0.03564397637538869,0.760768534773011,0.02770126895225454,0.7296128836820827,0.02178726252358879,0.7205755570396455,0.03564397637538869
Support Vector Machine,NoScaler,NoOversampling,0.47195677250925866,0.019678987087875986,0.7283120883236937,0.009494140562725222,0.3880981937670739,0.03469875014428591,0.47195677250925866,0.019678987087875986
Support Vector Machine,NoScaler,SMOTE,0.523696193309453,0.0389077838187958,0.6892724472865058,0.022579669297536322,0.6082185708301325,0.027453657241574565,0.523696193309453,0.0389077838187958
Support Vector Machine,NoScaler,RandomOverSampler,0.5423896545443506,0.04239463335979485,0.6940774657684681,0.03145600413298672,0.6271189175842542,0.02460727589931904,0.5423896545443506,0.04239463335979485
Support Vector Machine,NoScaler,BorderlineSMOTE,0.5148928419646651,0.029539395262034952,0.6692523719812591,0.043546370926395725,0.6119386757609491,0.04102262400315468,0.5148928419646651,0.029539395262034952
Support Vector Machine,NoScaler,KMeansSMOTE,0.5093619088094226,0.03651841244503042,0.6688065363558654,0.028455637151227647,0.606239382697267,0.023515431217339948,0.5093619088094226,0.03651841244503042
Support Vector Machine,StandardScaler,NoOversampling,0.6512780037641916,0.02573320246468415,0.739108357155583,0.02066662600268858,0.6279532982432978,0.030393291534061985,0.6512780037641916,0.02573320246468415
Support Vector Machine,StandardScaler,SMOTE,0.6897820411632567,0.009141101116077606,0.7635264046181554,0.00729433053538554,0.717770175072228,0.02070876168561508,0.6897820411632567,0.009141101116077606
Support Vector Machine,StandardScaler,RandomOverSampler,0.6864731953129742,0.017626626140360296,0.7562203625710268,0.022337651890608507,0.7068002044562618,0.021055051888429127,0.6864731953129742,0.017626626140360296
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.688689211341145,0.013716536705489552,0.7536504032552808,0.013563881540966608,0.7163384260882084,0.031304368685679436,0.688689211341145,0.013716536705489552
Support Vector Machine,StandardScaler,KMeansSMOTE,0.6831400643555339,0.027833695439088167,0.7549272485591487,0.02683378885259004,0.718837237665191,0.014929763791881016,0.6831400643555339,0.027833695439088167
Support Vector Machine,RobustScaler,NoOversampling,0.6479630866371198,0.024828845516025745,0.732292834698864,0.011988572172300297,0.6223741061785075,0.027244801586803646,0.6479630866371198,0.024828845516025745
Support Vector Machine,RobustScaler,SMOTE,0.688689211341145,0.011825397844740826,0.7616826334456565,0.01320194698395582,0.7089594305554848,0.01654445856330064,0.688689211341145,0.011825397844740826
Support Vector Machine,RobustScaler,RandomOverSampler,0.6908809422621578,0.012422565234662442,0.765285011292312,0.022783154519540022,0.7068290214820612,0.019214864597860194,0.6908809422621578,0.012422565234662442
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.6842814643919615,0.011991449471277836,0.7505088660083068,0.019088449148215232,0.7125378936332358,0.024777140450907734,0.6842814643919615,0.011991449471277836
Support Vector Machine,RobustScaler,KMeansSMOTE,0.6853439378301257,0.014630701323923157,0.7534691608807268,0.015448969826714709,0.7206980506281273,0.01960606919065419,0.6853439378301257,0.014630701323923157
Support Vector Machine,QuantileTransformer,NoOversampling,0.6622791573067817,0.013839254042729524,0.7373656488305905,0.01800066262470797,0.6356389961219284,0.013066485612987603,0.6622791573067817,0.013839254042729524
Support Vector Machine,QuantileTransformer,SMOTE,0.6975229190698804,0.027524904527960307,0.7561196342498965,0.024115705502035723,0.7203879108873246,0.027381525994524984,0.6975229190698804,0.027524904527960307
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.7085058587821018,0.01949394799677176,0.7769636360751294,0.011384716148013006,0.7215580232313796,0.028507508884863194,0.7085058587821018,0.01949394799677176
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.7007953372594257,0.018195046270824477,0.7473108185994487,0.019439659439287292,0.7240728732428765,0.028635881997230224,0.7007953372594257,0.018195046270824477
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.7030052820108068,0.01885407221228566,0.7669557661689834,0.013279022546071774,0.7242657541788977,0.03256600516025588,0.7030052820108068,0.01885407221228566
K-Nearest Neighbors,NoScaler,NoOversampling,0.6369801469248982,0.04082299425385316,0.6833147899272645,0.04691520926157642,0.6742197971806234,0.027258982880642622,0.6369801469248982,0.04082299425385316
K-Nearest Neighbors,NoScaler,SMOTE,0.6039827575739178,0.027703140856398654,0.6943067913970787,0.014079958264410214,0.6447483914824479,0.028543984235515046,0.6039827575739178,0.027703140856398654
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.5698682532936676,0.010737093769153326,0.6424055806187968,0.02894587828148192,0.6461254626720556,0.0226747223735393,0.5698682532936676,0.010737093769153326
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.6314674276000243,0.018934465917636915,0.704635195836896,0.02489338338406643,0.6766993328934024,0.011389933109051356,0.6314674276000243,0.018934465917636915
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.5973407807661951,0.01923742851279485,0.6796252225648208,0.02376441951857427,0.657470626163103,0.009789515100066246,0.5973407807661951,0.01923742851279485
K-Nearest Neighbors,StandardScaler,NoOversampling,0.6908687997085787,0.02490809358722204,0.7347440655703597,0.02400163972429584,0.711361036530038,0.01566964262512691,0.6908687997085787,0.02490809358722204
K-Nearest Neighbors,StandardScaler,SMOTE,0.6436160524558314,0.025938637494212918,0.7138425680589039,0.020368322900401754,0.694381810825404,0.04009237668713793,0.6436160524558314,0.025938637494212918
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.5929755327545383,0.025271082683683607,0.6700013365921047,0.024013283326857572,0.6485124469982761,0.0233155341158829,0.5929755327545383,0.025271082683683607
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.6546111347216319,0.024832920353129128,0.7192540745299184,0.030294842606813747,0.6993034400889058,0.027926735801373007,0.6546111347216319,0.024832920353129128
