Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7427027027027028,0.020682298886171912,0.7934130627722946,0.02266366076539293,0.7224753276483359,0.018391180739833878,0.7427027027027028,0.020682298886171912
Neural Network,NoScaler,SMOTE,0.7643243243243244,0.022049814112833653,0.8107710263980286,0.021233253592210444,0.7722481260330999,0.01830132998479521,0.7643243243243244,0.022049814112833653
Neural Network,NoScaler,RandomOverSampler,0.7383783783783784,0.029920762168860623,0.8114824391759375,0.01081668053411425,0.7499445370147209,0.0386213078143465,0.7383783783783784,0.029920762168860623
Neural Network,NoScaler,BorderlineSMOTE,0.7135135135135136,0.0318873107108165,0.7867037813616762,0.029734260917121624,0.7289707331058609,0.033222658773845566,0.7135135135135136,0.0318873107108165
Neural Network,NoScaler,KMeansSMOTE,0.7502702702702703,0.025214927112844548,0.80546044865038,0.014836019572140088,0.7675256247006523,0.03294034454940196,0.7502702702702703,0.025214927112844548
Neural Network,StandardScaler,NoOversampling,0.7794594594594596,0.01618014005091433,0.8090529316990602,0.017068176390198038,0.7764560878336622,0.022845327148203504,0.7794594594594596,0.01618014005091433
Neural Network,StandardScaler,SMOTE,0.7502702702702703,0.027857510760486745,0.7914370007183075,0.025449394775832593,0.7616528988133608,0.024963334799214858,0.7502702702702703,0.027857510760486745
Neural Network,StandardScaler,RandomOverSampler,0.7545945945945945,0.027689185891601516,0.8013698260803522,0.02130799044444791,0.764917125921578,0.02365854524993495,0.7545945945945945,0.027689185891601516
Neural Network,StandardScaler,BorderlineSMOTE,0.7502702702702703,0.016180140050914334,0.7924849005017265,0.030743765855391722,0.7632897050350023,0.009024923150105104,0.7502702702702703,0.016180140050914334
Neural Network,StandardScaler,KMeansSMOTE,0.7275675675675676,0.03738727884495262,0.7839066266001751,0.031813382047854756,0.747336448439784,0.034595593458399375,0.7275675675675676,0.03738727884495262
Neural Network,RobustScaler,NoOversampling,0.7654054054054054,0.020682298886171877,0.8057214114764605,0.02201922027406452,0.7532547544396953,0.028203701204423007,0.7654054054054054,0.020682298886171877
Neural Network,RobustScaler,SMOTE,0.7329729729729731,0.03691539692748946,0.7898546182437689,0.014652688237182195,0.7533665430456143,0.04388800579140857,0.7329729729729731,0.03691539692748946
Neural Network,RobustScaler,RandomOverSampler,0.7383783783783784,0.04412612244747793,0.7886394560394561,0.02811679548988341,0.7549252171791817,0.04538628356939301,0.7383783783783784,0.04412612244747793
Neural Network,RobustScaler,BorderlineSMOTE,0.732972972972973,0.06473861587710215,0.7875042071884177,0.04569207794281765,0.7435353304535357,0.05951954459859802,0.732972972972973,0.06473861587710215
Neural Network,RobustScaler,KMeansSMOTE,0.7362162162162162,0.03858717469745889,0.7878009873524747,0.04202211301835371,0.7517285271186199,0.02696042972528533,0.7362162162162162,0.03858717469745889
Neural Network,QuantileTransformer,NoOversampling,0.7697297297297296,0.03144440988594376,0.8026392113476071,0.03157483195385853,0.7663778989840954,0.03354541892495641,0.7697297297297296,0.03144440988594376
Neural Network,QuantileTransformer,SMOTE,0.7308108108108108,0.027220926080030666,0.7928128981607243,0.022103367189835278,0.7361501519036119,0.029593070795405785,0.7308108108108108,0.027220926080030666
Neural Network,QuantileTransformer,RandomOverSampler,0.734054054054054,0.028684322511181838,0.7758285951443845,0.025860164606762697,0.7456312429804777,0.03074503694246713,0.734054054054054,0.028684322511181838
Neural Network,QuantileTransformer,BorderlineSMOTE,0.7297297297297298,0.04522486629913924,0.7785982938955478,0.04250562415031007,0.7355901746014022,0.04546163937613108,0.7297297297297298,0.04522486629913924
Neural Network,QuantileTransformer,KMeansSMOTE,0.7145945945945946,0.04050809512474635,0.7691047363165009,0.028927354496605932,0.7309056067646702,0.04356595606249622,0.7145945945945946,0.04050809512474635
