Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.5983850403739907,0.03556156251393311,0.6733007086640204,0.055642435998560356,0.6092091900785649,0.006688762373866591,0.5983850403739907,0.03556156251393311
Neural Network,NoScaler,SMOTE,0.6480237994050149,0.034410202620328,0.7176443155295527,0.020999170284379347,0.6829466069702567,0.03236230909809628,0.6480237994050149,0.034410202620328
Neural Network,NoScaler,RandomOverSampler,0.6468823993685872,0.02956166079219754,0.7350808723379157,0.025784067170283816,0.6688036357349986,0.029690537533277026,0.6468823993685872,0.02956166079219754
Neural Network,NoScaler,BorderlineSMOTE,0.6447028110011536,0.043197598980325644,0.727165851123845,0.013361655360001392,0.678818140206356,0.042089473001113105,0.6447028110011536,0.043197598980325644
Neural Network,NoScaler,KMeansSMOTE,0.6546050634448424,0.027872781449533937,0.7091681359505576,0.017139220278687622,0.6965781556775149,0.03567081313834292,0.6546050634448424,0.027872781449533937
Neural Network,StandardScaler,NoOversampling,0.7084694311213647,0.020568627379661388,0.7482576516485355,0.02353056710610088,0.7188903788973309,0.025478887356927417,0.7084694311213647,0.020568627379661388
Neural Network,StandardScaler,SMOTE,0.6810211887559954,0.03343854228046749,0.7331167906617309,0.03374360797488562,0.7216655612522893,0.02501307917859878,0.6810211887559954,0.03343854228046749
Neural Network,StandardScaler,RandomOverSampler,0.6786837471920345,0.0412744150772149,0.7317140036226224,0.024127314849866015,0.7017657663198608,0.0385710674587243,0.6786837471920345,0.0412744150772149
Neural Network,StandardScaler,BorderlineSMOTE,0.6831522069091129,0.02679145552734031,0.728469442051692,0.025306705862763304,0.7131258175044571,0.028319541686930936,0.6831522069091129,0.02679145552734031
Neural Network,StandardScaler,KMeansSMOTE,0.6853985793212313,0.014302227232833902,0.7400014901262555,0.012939838261277035,0.7054596037263478,0.010648320388787193,0.6853985793212313,0.014302227232833902
Neural Network,RobustScaler,NoOversampling,0.7084451460142068,0.021505732485348927,0.7450879676070129,0.020963847768554086,0.7185771694314345,0.02323640121291404,0.7084451460142068,0.021505732485348927
Neural Network,RobustScaler,SMOTE,0.6523161920951976,0.027913216491214157,0.7148041748809268,0.0202207858307028,0.6816099776470048,0.02857868987435632,0.6523161920951976,0.027913216491214157
Neural Network,RobustScaler,RandomOverSampler,0.666686904255965,0.02128182138640612,0.7185272098768547,0.024882136986821086,0.7009942668401763,0.014940327800939814,0.666686904255965,0.02128182138640612
Neural Network,RobustScaler,BorderlineSMOTE,0.6732924534029505,0.033565972755888775,0.7317936381815957,0.035097011949495646,0.7008698020630872,0.012012080265031973,0.6732924534029505,0.033565972755888775
Neural Network,RobustScaler,KMeansSMOTE,0.6842632505615931,0.016964889981917853,0.7335379151852512,0.015300193667163975,0.7073175186258361,0.02396673062878819,0.6842632505615931,0.016964889981917853
Neural Network,QuantileTransformer,NoOversampling,0.6974682775787748,0.023832966972042836,0.739312800563788,0.019326934240046407,0.7071495607844165,0.013427052286158637,0.6974682775787748,0.023832966972042836
Neural Network,QuantileTransformer,SMOTE,0.6710885799283589,0.014850459686536938,0.7174732107759655,0.0134312569936724,0.7150756084664942,0.030222463012249588,0.6710885799283589,0.014850459686536938
Neural Network,QuantileTransformer,RandomOverSampler,0.6644041041831097,0.03526500169404538,0.7195959309971549,0.025884537698273542,0.6971828943798634,0.024787974946879274,0.6644041041831097,0.03526500169404538
Neural Network,QuantileTransformer,BorderlineSMOTE,0.6798615748891992,0.024744382173947574,0.736822893780184,0.029319905506468093,0.71004226580255,0.03026044693041535,0.6798615748891992,0.024744382173947574
Neural Network,QuantileTransformer,KMeansSMOTE,0.6688300649626615,0.020724733517218683,0.7273854373752521,0.020271615356919737,0.6979294598256901,0.01472390733812913,0.6688300649626615,0.020724733517218683
