Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.7667567567567567,0.022296887793127402,0.7896072688019362,0.01406973737086691,0.7433291129970234,0.035905884819708155,0.7667567567567567,0.022296887793127402
Neural Network,NoScaler,SMOTE,0.900652918833134,0.00885006477551464,0.908317698266171,0.010476452334152158,0.8982215483543804,0.01000174163974831,0.900652918833134,0.00885006477551464
Neural Network,NoScaler,RandomOverSampler,0.865933364152373,0.014834760129787043,0.8810393591714017,0.010804518338266456,0.8599953417592496,0.018471941361747443,0.865933364152373,0.014834760129787043
Neural Network,NoScaler,BorderlineSMOTE,0.8955710915407215,0.022318661497479127,0.9076751452195662,0.01632084800651036,0.8925808200592392,0.023331702695840534,0.8955710915407215,0.022318661497479127
Neural Network,NoScaler,KMeansSMOTE,0.9075462047428721,0.008847833552566388,0.9102598461157914,0.011542185154118935,0.9042058158903116,0.010541661077405444,0.9075462047428721,0.008847833552566388
Neural Network,StandardScaler,NoOversampling,0.854054054054054,0.004758599151799721,0.8553011848855381,0.010255599498530365,0.8486694984682537,0.003407028470672511,0.854054054054054,0.004758599151799721
Neural Network,StandardScaler,SMOTE,0.9534235346261444,0.007630184869626606,0.9562779869614191,0.006942907746433978,0.9530187544847692,0.007772339600852371,0.9534235346261444,0.007630184869626606
Neural Network,StandardScaler,RandomOverSampler,0.9559665819937377,0.009702593053529475,0.9607361540655862,0.007350339483482557,0.9548770401448783,0.010177482394359593,0.9559665819937377,0.009702593053529475
Neural Network,StandardScaler,BorderlineSMOTE,0.9513284197150007,0.005115471027525204,0.9542751877496863,0.004006733685981274,0.9509090536018601,0.0051055385594851515,0.9513284197150007,0.005115471027525204
Neural Network,StandardScaler,KMeansSMOTE,0.9571190166957015,0.004446354979627729,0.9596880176737047,0.00336554904186731,0.9568702069040225,0.004257103293763876,0.9571190166957015,0.004446354979627729
Neural Network,RobustScaler,NoOversampling,0.8478378378378378,0.01320181053169708,0.8495494164989232,0.010815287468469222,0.8415096556303581,0.013585060282388735,0.8478378378378378,0.01320181053169708
Neural Network,RobustScaler,SMOTE,0.9473733123001329,0.0017858452966308539,0.9508531982937676,0.002154391433126957,0.9467470427146267,0.0020699729252049966,0.9473733123001329,0.0017858452966308539
Neural Network,RobustScaler,RandomOverSampler,0.9388672573119761,0.008795632485468483,0.9438648022156257,0.008323826439597162,0.9377696153783862,0.008998920355785934,0.9388672573119761,0.008795632485468483
Neural Network,RobustScaler,BorderlineSMOTE,0.94726868490698,0.003155008779596483,0.9511388152880802,0.003412294881114992,0.9466644183170334,0.003172248278670967,0.94726868490698,0.003155008779596483
Neural Network,RobustScaler,KMeansSMOTE,0.9516973463612249,0.005937507236922684,0.9563253311153934,0.004038336547376002,0.9514225712809619,0.005976494362552801,0.9516973463612249,0.005937507236922684
Neural Network,QuantileTransformer,NoOversampling,0.8548648648648649,0.014569548077776844,0.8566928620201082,0.01417553938225708,0.8486325581381438,0.01514816322821527,0.8548648648648649,0.014569548077776844
Neural Network,QuantileTransformer,SMOTE,0.9529359901251985,0.011043033834193907,0.9569051065376748,0.007873380839194977,0.9524547602987987,0.01154124777765353,0.9529359901251985,0.011043033834193907
Neural Network,QuantileTransformer,RandomOverSampler,0.9664285339827572,0.004543839404280422,0.9685976910026198,0.0036466656207898704,0.9659827108192818,0.004505562069655609,0.9664285339827572,0.004543839404280422
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9538858601290778,0.006500155736968778,0.955896329048828,0.005828927515911375,0.9531390820024495,0.00682030897936768,0.9538858601290778,0.006500155736968778
Neural Network,QuantileTransformer,KMeansSMOTE,0.9617797170540181,0.002268721256357673,0.9641498263698965,0.0021369780295079303,0.9614928941170147,0.0025423902941697236,0.9617797170540181,0.002268721256357673
