Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.6361413002403374,0.009036249236603415,0.663423063121382,0.011756371060582284,0.6000168427395779,0.023417546058335487,0.6361413002403374,0.009036249236603415
Neural Network,NoScaler,SMOTE,0.8439301318599502,0.018409567182612795,0.8511816845671983,0.015806560616804955,0.8405868740406672,0.01973848159521999,0.8439301318599502,0.018409567182612795
Neural Network,NoScaler,RandomOverSampler,0.7966006387272478,0.021359162395899956,0.8126896843584127,0.019518604923696357,0.7893886885918426,0.02174618461913237,0.7966006387272478,0.021359162395899956
Neural Network,NoScaler,BorderlineSMOTE,0.8482889431084608,0.019904567623718592,0.8613362467928637,0.017853742156238177,0.8442593649588204,0.0214246332944855,0.8482889431084608,0.019904567623718592
Neural Network,NoScaler,KMeansSMOTE,0.8844337793356942,0.006575503640774555,0.8910315246808758,0.006306023955022734,0.8816720975414049,0.006835775311008005,0.8844337793356942,0.006575503640774555
Neural Network,StandardScaler,NoOversampling,0.7942840515742854,0.014527438974207496,0.7959722290825566,0.01685281511877483,0.7857562882053106,0.019374040749722227,0.7942840515742854,0.014527438974207496
Neural Network,StandardScaler,SMOTE,0.930933207939027,0.004228523978603818,0.9353407854757186,0.0041328244760446865,0.9300303027021887,0.004467231914197544,0.930933207939027,0.004228523978603818
Neural Network,StandardScaler,RandomOverSampler,0.949231959873822,0.01068562606735186,0.9542215323367381,0.0082762614189891,0.9479891375392675,0.011679306217340188,0.949231959873822,0.01068562606735186
Neural Network,StandardScaler,BorderlineSMOTE,0.950435294613316,0.007742455539980539,0.9530886497920555,0.0072281139057471695,0.949867598841149,0.00768567343937836,0.950435294613316,0.007742455539980539
Neural Network,StandardScaler,KMeansSMOTE,0.9520752085765007,0.002560453544169683,0.9547333397362194,0.0019310709706945514,0.9516370999612391,0.0026738643322699687,0.9520752085765007,0.002560453544169683
Neural Network,RobustScaler,NoOversampling,0.7937289326904182,0.00759511091526222,0.7991653028852659,0.007375479453551954,0.7802418450144907,0.01080982993050225,0.7937289326904182,0.00759511091526222
Neural Network,RobustScaler,SMOTE,0.92305687807363,0.009670931404839564,0.9270114526888854,0.008011172239720796,0.921464541062436,0.01016409697338849,0.92305687807363,0.009670931404839564
Neural Network,RobustScaler,RandomOverSampler,0.9355483061972217,0.01043771072243329,0.9409782881210971,0.008480233238284044,0.934521755764939,0.010452657964720249,0.9355483061972217,0.01043771072243329
Neural Network,RobustScaler,BorderlineSMOTE,0.9371713481488936,0.0072225674793648465,0.9407574308893272,0.005038075806384074,0.936641872881036,0.00731074021089074,0.9371713481488936,0.0072225674793648465
Neural Network,RobustScaler,KMeansSMOTE,0.9442781271207688,0.008243775885955117,0.9466929331759358,0.006868624134154697,0.9433790412429923,0.008739598060409774,0.9442781271207688,0.008243775885955117
Neural Network,QuantileTransformer,NoOversampling,0.8124359478210923,0.009451621903628476,0.8178613519489778,0.008934454800762113,0.8036295842119501,0.01184693394146012,0.8124359478210923,0.009451621903628476
Neural Network,QuantileTransformer,SMOTE,0.9363031211426556,0.005077473649533491,0.9395360908447424,0.00559585702064726,0.9351188076680467,0.005212087740673264,0.9363031211426556,0.005077473649533491
Neural Network,QuantileTransformer,RandomOverSampler,0.9568060698681402,0.009207663059318439,0.9611038286544554,0.007817613739985392,0.9557051677823732,0.009655191828010235,0.9568060698681402,0.009207663059318439
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9480045630970775,0.01675520746341919,0.9523753816862903,0.013202688139689635,0.9474626167338112,0.017004290238138316,0.9480045630970775,0.01675520746341919
Neural Network,QuantileTransformer,KMeansSMOTE,0.9538538272013405,0.00709651346557293,0.9566066932324793,0.005757265168075333,0.9533486771126137,0.007272694309171818,0.9538538272013405,0.00709651346557293
