Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,NoScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,StandardScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,RobustScaler,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest,QuantileTransformer,KMeansSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Support Vector Machine,NoScaler,NoOversampling,0.5472972972972973,0.0036260561797293767,0.7705080003960666,0.006803319066685639,0.43131844886377557,0.0030181581710482545,0.5472972972972973,0.0036260561797293767
Support Vector Machine,NoScaler,SMOTE,0.8189751557235245,0.0069676018097019204,0.8338256633273569,0.005111037059256195,0.8083042634801345,0.009192685586129814,0.8189751557235245,0.0069676018097019204
Support Vector Machine,NoScaler,RandomOverSampler,0.7853860561319563,0.01155683015622755,0.8064849111021817,0.011066324195296691,0.7746462072388608,0.012651702072429724,0.7853860561319563,0.01155683015622755
Support Vector Machine,NoScaler,BorderlineSMOTE,0.7406142920398766,0.013648331681552255,0.7736950557955597,0.01711918448995135,0.7127210357244389,0.016922350165268114,0.7406142920398766,0.013648331681552255
Support Vector Machine,NoScaler,KMeansSMOTE,0.7997867051405156,0.01756367969691399,0.8116231742672311,0.020999158908562843,0.7904914532214313,0.020461335879647293,0.7997867051405156,0.01756367969691399
Support Vector Machine,StandardScaler,NoOversampling,0.6905405405405405,0.007786410968047537,0.7881971775944168,0.010163312892385267,0.6315254137884379,0.015039272876091232,0.6905405405405405,0.007786410968047537
Support Vector Machine,StandardScaler,SMOTE,0.873267977905608,0.006232611926487406,0.8805071533982968,0.006227630030798015,0.8688090457110802,0.006218103200536773,0.873267977905608,0.006232611926487406
Support Vector Machine,StandardScaler,RandomOverSampler,0.8353076582136714,0.005861912994151638,0.8444220823570282,0.007378559079672853,0.8279491768779794,0.0071709770666394555,0.8353076582136714,0.005861912994151638
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.8544876551006766,0.013238873275043965,0.8653705584175077,0.00991710080311896,0.8456638204755554,0.016152733345817502,0.8544876551006766,0.013238873275043965
Support Vector Machine,StandardScaler,KMeansSMOTE,0.865814117082041,0.01011820073558967,0.8721287203128277,0.011815837729890854,0.8623163212308895,0.011044208229062602,0.865814117082041,0.01011820073558967
Support Vector Machine,RobustScaler,NoOversampling,0.6489189189189188,0.009797064302914502,0.7924860734027478,0.004966073393887254,0.5672138101822315,0.012841570904401746,0.6489189189189188,0.009797064302914502
Support Vector Machine,RobustScaler,SMOTE,0.8521767932630215,0.004381964102261092,0.857492856267366,0.003906499799366095,0.8459888355508467,0.004423482182214351,0.8521767932630215,0.004381964102261092
Support Vector Machine,RobustScaler,RandomOverSampler,0.814989967925958,0.005158215211191396,0.8206544807255554,0.00696849934263153,0.8066380399307406,0.00520682545357975,0.814989967925958,0.005158215211191396
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.8294779289349196,0.007327602786815477,0.8448134999774917,0.006918414255195991,0.817280211643071,0.009425699324406,0.8294779289349196,0.007327602786815477
Support Vector Machine,RobustScaler,KMeansSMOTE,0.8469089340689699,0.01131607351852183,0.8536318099000356,0.011934772165712924,0.8426416885914934,0.012967861748925611,0.8469089340689699,0.01131607351852183
Support Vector Machine,QuantileTransformer,NoOversampling,0.6705405405405405,0.013112983211576413,0.7722841506219981,0.025015013431379546,0.6112042678871348,0.009794691312580154,0.6705405405405405,0.013112983211576413
Support Vector Machine,QuantileTransformer,SMOTE,0.8681652027622755,0.005603428389986705,0.8760254076613766,0.005269222297376385,0.8642603008515266,0.005743368961051037,0.8681652027622755,0.005603428389986705
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.8340966605822893,0.009417564400901109,0.8428843917112196,0.011898873756763002,0.8289495018221441,0.009921755518968485,0.8340966605822893,0.009417564400901109
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.8635850558197978,0.01002007183100504,0.8694890502691086,0.008554850237772369,0.8574443017303566,0.011958022278635148,0.8635850558197978,0.01002007183100504
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.863606934157945,0.008045261765647625,0.8690401546224462,0.009688583602880723,0.8610482880108521,0.00876552252721251,0.863606934157945,0.008045261765647625
K-Nearest Neighbors,NoScaler,NoOversampling,0.8621621621621621,0.004602536855655776,0.8648009224058185,0.004046340525028659,0.8568965319539356,0.009672367958256791,0.8621621621621621,0.004602536855655776
K-Nearest Neighbors,NoScaler,SMOTE,0.9709412992608197,0.0007868365164122556,0.9712509046384474,0.0008187107884759765,0.9703920267518029,0.0007871996608820148,0.9709412992608197,0.0007868365164122556
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.9846054130307348,0.0008164225828667721,0.9852041686949728,0.0008537931318464771,0.9839064835393296,0.0007905492490630613,0.9846054130307348,0.0008164225828667721
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.9689659487500517,0.0017042109210635133,0.9693489404766218,0.0018171073648350947,0.9682686742395404,0.0017228185514906538,0.9689659487500517,0.0017042109210635133
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.9745578419699108,0.0011502160297740542,0.9749478889221017,0.001207893262390828,0.9740470665527636,0.001243986603206424,0.9745578419699108,0.0011502160297740542
K-Nearest Neighbors,StandardScaler,NoOversampling,0.8445945945945945,0.0066751832622856675,0.8479594344839791,0.008389168417369237,0.8383777715574556,0.0066897102400345675,0.8445945945945945,0.0066751832622856675
K-Nearest Neighbors,StandardScaler,SMOTE,0.9690611789712478,0.002112065273617804,0.9695182927626662,0.002078592887166696,0.9683870297598439,0.002190141832432957,0.9690611789712478,0.002112065273617804
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.985819746743746,0.0014888362668725138,0.9863525773680083,0.0014354724923019938,0.9852855132275924,0.0015488635882256478,0.985819746743746,0.0014888362668725138
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.9674943466410368,0.0019188811678744146,0.9678551920744795,0.0019483023746332628,0.9667493990583067,0.002105160508980911,0.9674943466410368,0.0019188811678744146
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.9734874497371961,0.0007673383620535082,0.9739270862475164,0.0007847338006922881,0.9729483175178469,0.0008623597159381799,0.9734874497371961,0.0007673383620535082
K-Nearest Neighbors,RobustScaler,NoOversampling,0.8405405405405405,0.00875775770055118,0.8424453159439823,0.011488390986938471,0.8335410568392143,0.009052661383533438,0.8405405405405405,0.00875775770055118
K-Nearest Neighbors,RobustScaler,SMOTE,0.9680956216311533,0.002448677886614914,0.9685314015834671,0.0024654053574210315,0.9674444089786836,0.0025414007196710546,0.9680956216311533,0.002448677886614914
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.9853098028375757,0.0018888806668997903,0.9858704395183977,0.0017293538435216988,0.9847462680848384,0.002048074377406279,0.9853098028375757,0.0018888806668997903
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.9664224667924307,0.0032709442391678153,0.9667735915378322,0.0032790550614244258,0.965721133784801,0.003449635338363965,0.9664224667924307,0.0032709442391678153
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.9717689610104108,0.0012141105399329987,0.9722476781372412,0.0013653763619131847,0.9711749972821512,0.0012574895338153852,0.9717689610104108,0.0012141105399329987
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.8427027027027026,0.009307662355525704,0.8460817954171036,0.012096841404799026,0.8364728427071464,0.009291082267551352,0.8427027027027026,0.009307662355525704
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.9694667511807346,0.0025211856266348165,0.9698298789722164,0.0025002537620932045,0.9688002038698345,0.0026863761000804234,0.9694667511807346,0.0025211856266348165
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.9857148984639726,0.0024183262074079673,0.9862050840567231,0.0023487863564114414,0.9852147764043231,0.0025083992871011715,0.9857148984639726,0.0024183262074079673
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.9663163197962884,0.0030202936359936807,0.9668766268688735,0.002995089270915543,0.9654940237251928,0.00325279556253802,0.9663163197962884,0.0030202936359936807
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.974353612414675,0.0017425052611255744,0.9746881766486473,0.0015972615514299386,0.9738517884300599,0.0016854027962476363,0.974353612414675,0.0017425052611255744
Gradient Boosting,NoScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,NoScaler,KMeansSMOTE,0.9999495967741936,0.00010080645161290035,0.9999500634707289,9.987305854242123e-05,0.9999495956735662,0.00010080865286741237,0.9999495967741936,0.00010080645161290035
Gradient Boosting,StandardScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,StandardScaler,KMeansSMOTE,0.9999495967741936,0.00010080645161290035,0.9999500634707289,9.987305854242123e-05,0.9999495956735662,0.00010080865286741237,0.9999495967741936,0.00010080645161290035
Gradient Boosting,RobustScaler,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,BorderlineSMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,RobustScaler,KMeansSMOTE,0.9999495967741936,0.00010080645161290035,0.9999500634707289,9.987305854242123e-05,0.9999495956735662,0.00010080865286741237,0.9999495967741936,0.00010080645161290035
Gradient Boosting,QuantileTransformer,NoOversampling,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,SMOTE,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gradient Boosting,QuantileTransformer,RandomOverSampler,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
