Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.8064864864864865,0.03704181988975531,0.8276682032680098,0.040349034706280366,0.8046765858900438,0.030484131183297927,0.8064864864864865,0.03704181988975531
Random Forest,NoScaler,SMOTE,0.7870270270270271,0.029527568181076047,0.8261503421503422,0.022892380677293444,0.795419306002625,0.03008972283885678,0.7870270270270271,0.029527568181076047
Random Forest,NoScaler,RandomOverSampler,0.8032432432432433,0.023832873173025505,0.8231538780564266,0.024067876461024436,0.8017328790293797,0.028046101724140703,0.8032432432432433,0.023832873173025505
Random Forest,NoScaler,BorderlineSMOTE,0.7891891891891892,0.03076810696380047,0.8169561201822072,0.03630855051136969,0.7949578862068126,0.02680380690236925,0.7891891891891892,0.03076810696380047
Random Forest,NoScaler,KMeansSMOTE,0.7924324324324324,0.020109270527284624,0.8185684687808257,0.019667142838457507,0.7930533636887788,0.021911553371231775,0.7924324324324324,0.020109270527284624
Random Forest,StandardScaler,NoOversampling,0.8064864864864865,0.03704181988975531,0.8276682032680098,0.040349034706280366,0.8046765858900438,0.030484131183297927,0.8064864864864865,0.03704181988975531
Random Forest,StandardScaler,SMOTE,0.7870270270270271,0.029527568181076047,0.8261503421503422,0.022892380677293444,0.795419306002625,0.03008972283885678,0.7870270270270271,0.029527568181076047
Random Forest,StandardScaler,RandomOverSampler,0.8032432432432433,0.023832873173025505,0.8231538780564266,0.024067876461024436,0.8017328790293797,0.028046101724140703,0.8032432432432433,0.023832873173025505
Random Forest,StandardScaler,BorderlineSMOTE,0.7891891891891892,0.03076810696380047,0.8169561201822072,0.03630855051136969,0.7949578862068126,0.02680380690236925,0.7891891891891892,0.03076810696380047
Random Forest,StandardScaler,KMeansSMOTE,0.7924324324324324,0.020109270527284624,0.8185684687808257,0.019667142838457507,0.7930533636887788,0.021911553371231775,0.7924324324324324,0.020109270527284624
Random Forest,RobustScaler,NoOversampling,0.8064864864864865,0.03704181988975531,0.8276682032680098,0.040349034706280366,0.8046765858900438,0.030484131183297927,0.8064864864864865,0.03704181988975531
Random Forest,RobustScaler,SMOTE,0.7870270270270271,0.029527568181076047,0.8261503421503422,0.022892380677293444,0.795419306002625,0.03008972283885678,0.7870270270270271,0.029527568181076047
Random Forest,RobustScaler,RandomOverSampler,0.8032432432432433,0.023832873173025505,0.8231538780564266,0.024067876461024436,0.8017328790293797,0.028046101724140703,0.8032432432432433,0.023832873173025505
Random Forest,RobustScaler,BorderlineSMOTE,0.7891891891891892,0.03076810696380047,0.8169561201822072,0.03630855051136969,0.7949578862068126,0.02680380690236925,0.7891891891891892,0.03076810696380047
Random Forest,RobustScaler,KMeansSMOTE,0.7924324324324324,0.020109270527284624,0.8185684687808257,0.019667142838457507,0.7930533636887788,0.021911553371231775,0.7924324324324324,0.020109270527284624
Random Forest,QuantileTransformer,NoOversampling,0.8075675675675675,0.037698585457649064,0.827141261496059,0.0426120572963493,0.8078695259918414,0.028643098623911747,0.8075675675675675,0.037698585457649064
Random Forest,QuantileTransformer,SMOTE,0.784864864864865,0.02722092608003063,0.8226822602909559,0.018925759340476744,0.7925330047499372,0.027689353116325872,0.784864864864865,0.02722092608003063
Random Forest,QuantileTransformer,RandomOverSampler,0.8054054054054054,0.02293319290334751,0.825260699163248,0.026618141933031733,0.8061216409065135,0.02495279178140394,0.8054054054054054,0.02293319290334751
Random Forest,QuantileTransformer,BorderlineSMOTE,0.785945945945946,0.03289756552368205,0.8135003267264136,0.03601546564620212,0.7942741854914933,0.028842204303087926,0.785945945945946,0.03289756552368205
Random Forest,QuantileTransformer,KMeansSMOTE,0.7913513513513513,0.01729729729729731,0.8168426000549569,0.01622466511588388,0.7918169664523814,0.02015171855762754,0.7913513513513513,0.01729729729729731
Support Vector Machine,NoScaler,NoOversampling,0.5394594594594594,0.010481469961981255,0.7677001451803601,0.007507725247106681,0.419386018838793,0.009864873898869756,0.5394594594594594,0.010481469961981255
Support Vector Machine,NoScaler,SMOTE,0.7178378378378378,0.03303936603229434,0.8057284549978048,0.03207767260511807,0.7277035501708264,0.028711446234844718,0.7178378378378378,0.03303936603229434
Support Vector Machine,NoScaler,RandomOverSampler,0.7189189189189189,0.02134964071149352,0.8034764461591088,0.02544050704569948,0.7292743623824095,0.009321906314487075,0.7189189189189189,0.02134964071149352
Support Vector Machine,NoScaler,BorderlineSMOTE,0.587027027027027,0.03785327870272778,0.7449080559080559,0.03274623585483594,0.5860885894430787,0.029145016066702504,0.587027027027027,0.03785327870272778
Support Vector Machine,NoScaler,KMeansSMOTE,0.6778378378378378,0.034628361898479905,0.7949082878788761,0.01628196051325031,0.7006481706140969,0.04236389965704665,0.6778378378378378,0.034628361898479905
Support Vector Machine,StandardScaler,NoOversampling,0.6691891891891892,0.031032865068988825,0.785776381059411,0.021206734651086023,0.6035946131898589,0.03792140780321319,0.6691891891891892,0.031032865068988825
Support Vector Machine,StandardScaler,SMOTE,0.7772972972972972,0.012972972972972986,0.8334412395588865,0.0079581973405286,0.7891938295908086,0.013385871071843403,0.7772972972972972,0.012972972972972986
Support Vector Machine,StandardScaler,RandomOverSampler,0.7772972972972972,0.014664497260811402,0.8292232684895223,0.011883067370924268,0.7861024152061757,0.013023088672282173,0.7772972972972972,0.014664497260811402
Support Vector Machine,StandardScaler,BorderlineSMOTE,0.7297297297297297,0.017093392757666904,0.8092389892389893,0.014416929062853448,0.7307483023752691,0.020280122435687473,0.7297297297297297,0.017093392757666904
Support Vector Machine,StandardScaler,KMeansSMOTE,0.7621621621621621,0.02819114553601146,0.8105978377924805,0.014960762256282688,0.7818856628797869,0.023484470666201344,0.7621621621621621,0.02819114553601146
Support Vector Machine,RobustScaler,NoOversampling,0.6302702702702703,0.02431831757665298,0.7914506129022852,0.01569459981145364,0.5417447229882496,0.02270342046650847,0.6302702702702703,0.02431831757665298
Support Vector Machine,RobustScaler,SMOTE,0.7567567567567568,0.016395406365516875,0.8177670435905731,0.015056174435498787,0.7686534001360041,0.014599877656601241,0.7567567567567568,0.016395406365516875
Support Vector Machine,RobustScaler,RandomOverSampler,0.7675675675675675,0.01566635323912372,0.8294050482285776,0.012239180336441006,0.7801919290567861,0.012797822608310083,0.7675675675675675,0.01566635323912372
Support Vector Machine,RobustScaler,BorderlineSMOTE,0.7113513513513514,0.014342161255590919,0.7975337604608704,0.011022449263175194,0.7179718166288328,0.014991417916962645,0.7113513513513514,0.014342161255590919
Support Vector Machine,RobustScaler,KMeansSMOTE,0.7524324324324324,0.025900861731266916,0.804094386289029,0.012466923415921807,0.77257062377135,0.029528133349264636,0.7524324324324324,0.025900861731266916
Support Vector Machine,QuantileTransformer,NoOversampling,0.6605405405405406,0.025674253161163042,0.7865992841152444,0.029745919568183468,0.5914588131252824,0.029047741786147736,0.6605405405405406,0.025674253161163042
Support Vector Machine,QuantileTransformer,SMOTE,0.7708108108108108,0.02231326209789219,0.8306937502337959,0.011862741846429445,0.7845889683725451,0.02282126983707817,0.7708108108108108,0.02231326209789219
Support Vector Machine,QuantileTransformer,RandomOverSampler,0.7535135135135136,0.016252212300943668,0.81492734703261,0.00799144772569123,0.7661641980473657,0.014254860232104078,0.7535135135135136,0.016252212300943668
Support Vector Machine,QuantileTransformer,BorderlineSMOTE,0.7210810810810812,0.016607882698094285,0.7974447962435578,0.011095076130496704,0.7249713495660198,0.01630954150802512,0.7210810810810812,0.016607882698094285
Support Vector Machine,QuantileTransformer,KMeansSMOTE,0.7556756756756757,0.02700539674983091,0.806231259968102,0.021197755965600803,0.7752961256407588,0.022507063810693905,0.7556756756756757,0.02700539674983091
K-Nearest Neighbors,NoScaler,NoOversampling,0.7999999999999999,0.03019295144598691,0.8250854959866931,0.025105522457247238,0.7914426484035282,0.034310896123987786,0.7999999999999999,0.03019295144598691
K-Nearest Neighbors,NoScaler,SMOTE,0.732972972972973,0.025719734601881768,0.7931728917611272,0.019560200228076488,0.7478225236104912,0.01594405390658883,0.732972972972973,0.025719734601881768
K-Nearest Neighbors,NoScaler,RandomOverSampler,0.7275675675675676,0.023337333129646396,0.7784924353345406,0.026201504431776754,0.7429166903620927,0.02104612379542972,0.7275675675675676,0.023337333129646396
K-Nearest Neighbors,NoScaler,BorderlineSMOTE,0.745945945945946,0.020795009796401476,0.7894571682741018,0.021971452271748498,0.7672352780116014,0.019391855058183652,0.745945945945946,0.020795009796401476
K-Nearest Neighbors,NoScaler,KMeansSMOTE,0.7232432432432432,0.01581485279819221,0.7877652699943722,0.013678365068622494,0.7397242407220652,0.016445883701753337,0.7232432432432432,0.01581485279819221
K-Nearest Neighbors,StandardScaler,NoOversampling,0.785945945945946,0.01474398021295768,0.8142048852371433,0.016692823033026587,0.7764821375361761,0.022937400014548807,0.785945945945946,0.01474398021295768
K-Nearest Neighbors,StandardScaler,SMOTE,0.7427027027027028,0.02383287317302551,0.7987769096344948,0.02192826215514349,0.768457380146787,0.02477885375419847,0.7427027027027028,0.02383287317302551
K-Nearest Neighbors,StandardScaler,RandomOverSampler,0.7372972972972973,0.027048640006912004,0.7805774734195786,0.030554155595335704,0.7549395337830322,0.025424792427945344,0.7372972972972973,0.027048640006912004
K-Nearest Neighbors,StandardScaler,BorderlineSMOTE,0.7297297297297297,0.01776397483800541,0.7663095522863325,0.024316698119294218,0.7535196066748,0.01994083361958679,0.7297297297297297,0.01776397483800541
K-Nearest Neighbors,StandardScaler,KMeansSMOTE,0.7351351351351351,0.02022517506364291,0.7873119024310975,0.020202721160153987,0.768454558840866,0.022331809455501787,0.7351351351351351,0.02022517506364291
K-Nearest Neighbors,RobustScaler,NoOversampling,0.7913513513513514,0.011643599582993533,0.8141483172379724,0.013228992670851657,0.785721631379001,0.01342756421569716,0.7913513513513514,0.011643599582993533
K-Nearest Neighbors,RobustScaler,SMOTE,0.7448648648648649,0.02722092608003064,0.7944534079332841,0.03222371469881239,0.7665205040757241,0.029888496941503123,0.7448648648648649,0.02722092608003064
K-Nearest Neighbors,RobustScaler,RandomOverSampler,0.7427027027027027,0.018911195334633417,0.7891029463382404,0.026782660503655763,0.7612624541422852,0.01805718294659552,0.7427027027027027,0.018911195334633417
K-Nearest Neighbors,RobustScaler,BorderlineSMOTE,0.734054054054054,0.019156805563966872,0.7746025373625993,0.02045168509418812,0.7585736082774981,0.0252200424868559,0.734054054054054,0.019156805563966872
K-Nearest Neighbors,RobustScaler,KMeansSMOTE,0.7405405405405405,0.026259368219440252,0.7937134208310679,0.029261192729999323,0.7708230647614481,0.026017715043607406,0.7405405405405405,0.026259368219440252
K-Nearest Neighbors,QuantileTransformer,NoOversampling,0.772972972972973,0.024652441623765144,0.8047606411606413,0.01946140081267898,0.7730711105546997,0.028445326079623582,0.772972972972973,0.024652441623765144
K-Nearest Neighbors,QuantileTransformer,SMOTE,0.7308108108108108,0.028684322511181838,0.7838189074241706,0.02624245877986518,0.7536908837564121,0.02479376362488196,0.7308108108108108,0.028684322511181838
K-Nearest Neighbors,QuantileTransformer,RandomOverSampler,0.734054054054054,0.02226082192645837,0.7722388890778984,0.022660080903254692,0.7535351817870339,0.020078653462352984,0.734054054054054,0.02226082192645837
K-Nearest Neighbors,QuantileTransformer,BorderlineSMOTE,0.7145945945945946,0.023034892705581077,0.7650604287074876,0.032091759477544404,0.737909319278534,0.026802352564610357,0.7145945945945946,0.023034892705581077
K-Nearest Neighbors,QuantileTransformer,KMeansSMOTE,0.7221621621621621,0.01551643253449441,0.770595815688695,0.013797939008672207,0.7486512467788616,0.0106933858020564,0.7221621621621621,0.01551643253449441
Gradient Boosting,NoScaler,NoOversampling,0.7643243243243243,0.018911195334633406,0.7960796584326202,0.014203593478709326,0.7521134870176905,0.024854728206023146,0.7643243243243243,0.018911195334633406
Gradient Boosting,NoScaler,SMOTE,0.7524324324324324,0.02090711308736617,0.7958157377807397,0.0202245950200496,0.7624350291395185,0.01459978299294718,0.7524324324324324,0.02090711308736617
Gradient Boosting,NoScaler,RandomOverSampler,0.7740540540540539,0.017229597243793776,0.798197111212527,0.025870756799542413,0.7779053219074191,0.014763443983873789,0.7740540540540539,0.017229597243793776
Gradient Boosting,NoScaler,BorderlineSMOTE,0.7448648648648649,0.024509803348658685,0.7886615432876302,0.028163990534316362,0.7583798674780953,0.025397550903637118,0.7448648648648649,0.024509803348658685
Gradient Boosting,NoScaler,KMeansSMOTE,0.7437837837837837,0.027477329788408302,0.7743639046399375,0.025107241182742157,0.7624227276177742,0.025946760073140288,0.7437837837837837,0.027477329788408302
Gradient Boosting,StandardScaler,NoOversampling,0.7643243243243243,0.018911195334633406,0.7960796584326202,0.014203593478709326,0.7521134870176905,0.024854728206023146,0.7643243243243243,0.018911195334633406
Gradient Boosting,StandardScaler,SMOTE,0.7481081081081081,0.021239873193933508,0.7926416333961092,0.019669502898186562,0.7579413431845323,0.01557262919286214,0.7481081081081081,0.021239873193933508
Gradient Boosting,StandardScaler,RandomOverSampler,0.7740540540540539,0.017229597243793776,0.798197111212527,0.025870756799542413,0.7779053219074191,0.014763443983873789,0.7740540540540539,0.017229597243793776
Gradient Boosting,StandardScaler,BorderlineSMOTE,0.7427027027027028,0.025491515940652108,0.787926075126075,0.028133980041579375,0.7568020762192409,0.026331114269703557,0.7427027027027028,0.025491515940652108
Gradient Boosting,StandardScaler,KMeansSMOTE,0.7437837837837837,0.027477329788408302,0.7743639046399375,0.025107241182742157,0.7624227276177742,0.025946760073140288,0.7437837837837837,0.027477329788408302
Gradient Boosting,RobustScaler,NoOversampling,0.7643243243243243,0.018911195334633406,0.7960796584326202,0.014203593478709326,0.7521134870176905,0.024854728206023146,0.7643243243243243,0.018911195334633406
Gradient Boosting,RobustScaler,SMOTE,0.7502702702702703,0.02402822786042471,0.7939926702765577,0.023595134481935388,0.7601491017770097,0.018458371557396377,0.7502702702702703,0.02402822786042471
Gradient Boosting,RobustScaler,RandomOverSampler,0.7740540540540539,0.017229597243793776,0.798197111212527,0.025870756799542413,0.7779053219074191,0.014763443983873789,0.7740540540540539,0.017229597243793776
Gradient Boosting,RobustScaler,BorderlineSMOTE,0.7427027027027028,0.025491515940652108,0.787926075126075,0.028133980041579375,0.7568020762192409,0.026331114269703557,0.7427027027027028,0.025491515940652108
Gradient Boosting,RobustScaler,KMeansSMOTE,0.7437837837837837,0.027477329788408302,0.7743639046399375,0.025107241182742157,0.7624227276177742,0.025946760073140288,0.7437837837837837,0.027477329788408302
Gradient Boosting,QuantileTransformer,NoOversampling,0.7589189189189189,0.020962939923962493,0.7873870702847684,0.02122439679942135,0.7544594124729429,0.03104542895166913,0.7589189189189189,0.020962939923962493
Gradient Boosting,QuantileTransformer,SMOTE,0.7481081081081081,0.018282740027338144,0.7917576906298134,0.01761164852109937,0.7578121810553702,0.01353618911980517,0.7481081081081081,0.018282740027338144
Gradient Boosting,QuantileTransformer,RandomOverSampler,0.7708108108108108,0.011643599582993531,0.7953663984199266,0.02354696329243146,0.7747370185308984,0.013484084350707904,0.7708108108108108,0.011643599582993531
Gradient Boosting,QuantileTransformer,BorderlineSMOTE,0.7416216216216216,0.023287199165987066,0.7874609335304987,0.027921616219554742,0.7558951418239345,0.026274617652101227,0.7416216216216216,0.023287199165987066
Gradient Boosting,QuantileTransformer,KMeansSMOTE,0.7459459459459459,0.02819114553601146,0.777356320579188,0.026499182789847777,0.7646816648515398,0.027249286493187162,0.7459459459459459,0.02819114553601146
Discriminant Analysis,NoScaler,NoOversampling,0.7362162162162162,0.019156805563966883,0.796242111274587,0.012016942686149865,0.6948454858137435,0.024272855432775277,0.7362162162162162,0.019156805563966883
Discriminant Analysis,NoScaler,SMOTE,0.6897297297297298,0.02768918589160151,0.8003572183912742,0.03844899033194784,0.6956596717649348,0.022906730015092792,0.6897297297297298,0.02768918589160151
Discriminant Analysis,NoScaler,RandomOverSampler,0.6886486486486487,0.02010927052728462,0.7905949733054997,0.0248493502166442,0.702854223442859,0.02283444939671429,0.6886486486486487,0.02010927052728462
Discriminant Analysis,NoScaler,BorderlineSMOTE,0.6183783783783784,0.02308557459898662,0.7833928203928202,0.02110515792857459,0.6115857627705171,0.028811253473100974,0.6183783783783784,0.02308557459898662
Discriminant Analysis,NoScaler,KMeansSMOTE,0.6637837837837839,0.009299811099505553,0.7951045242004995,0.02256808278090185,0.679205399677536,0.011572348529213487,0.6637837837837839,0.009299811099505553
Discriminant Analysis,StandardScaler,NoOversampling,0.8108108108108107,0.01133847403427192,0.8357347885249998,0.0161112515221898,0.794988339403866,0.00615428272694596,0.8108108108108107,0.01133847403427192
Discriminant Analysis,StandardScaler,SMOTE,0.7751351351351351,0.013928755380243385,0.832977299039084,0.011193786667351496,0.7758169542531775,0.014372936235594594,0.7751351351351351,0.013928755380243385
Discriminant Analysis,StandardScaler,RandomOverSampler,0.7643243243243243,0.013502698374915467,0.8294394134394135,0.010716828899885504,0.7670288975514324,0.02021169940297853,0.7643243243243243,0.013502698374915467
Discriminant Analysis,StandardScaler,BorderlineSMOTE,0.7264864864864865,0.01164359958299353,0.7970745594521338,0.009916376583710376,0.7232768215564451,0.012911906296937966,0.7264864864864865,0.01164359958299353
Discriminant Analysis,StandardScaler,KMeansSMOTE,0.7578378378378379,0.020907113087366192,0.8133839956657294,0.01066091916419251,0.7670619924466114,0.026915849363043105,0.7578378378378379,0.020907113087366192
Discriminant Analysis,RobustScaler,NoOversampling,0.774054054054054,0.020907113087366175,0.801517164694838,0.025260046832566198,0.7639545407099856,0.016678996174798868,0.774054054054054,0.020907113087366175
Discriminant Analysis,RobustScaler,SMOTE,0.7372972972972972,0.02571973460188176,0.8203992146962937,0.02449739957662726,0.7389621381400009,0.03229627995043011,0.7372972972972972,0.02571973460188176
Discriminant Analysis,RobustScaler,RandomOverSampler,0.7416216216216217,0.021458846747328883,0.8169540264540265,0.014520745965898882,0.7444622359036274,0.030049260442281827,0.7416216216216217,0.021458846747328883
Discriminant Analysis,RobustScaler,BorderlineSMOTE,0.705945945945946,0.009424646364412252,0.7932933294775399,0.01663148227029299,0.7059849090434611,0.01379686144215615,0.705945945945946,0.009424646364412252
Discriminant Analysis,RobustScaler,KMeansSMOTE,0.7113513513513514,0.0228310400885869,0.7904053274053273,0.009944196828709125,0.7301033638297575,0.035137008340066576,0.7113513513513514,0.0228310400885869
Discriminant Analysis,QuantileTransformer,NoOversampling,0.8021621621621622,0.013062752403886047,0.8318967608450368,0.01477215709972223,0.7915034525990788,0.01126298472161076,0.8021621621621622,0.013062752403886047
Discriminant Analysis,QuantileTransformer,SMOTE,0.7275675675675676,0.01213510503818575,0.8012405651600698,0.013502507860347809,0.7273572488417904,0.01942244058173087,0.7275675675675676,0.01213510503818575
Discriminant Analysis,QuantileTransformer,RandomOverSampler,0.72,0.010481469961981231,0.7982678255836151,0.013058897406368368,0.7307146158980171,0.013202904886558888,0.72,0.010481469961981231
Discriminant Analysis,QuantileTransformer,BorderlineSMOTE,0.6972972972972973,0.01450422471891754,0.787157596929908,0.01742180012439553,0.7019629810162821,0.022864197185794178,0.6972972972972973,0.01450422471891754
Discriminant Analysis,QuantileTransformer,KMeansSMOTE,0.7189189189189189,0.026035880170361705,0.7917941522399726,0.018341351636631396,0.7243237633702873,0.03153368467258741,0.7189189189189189,0.026035880170361705
