Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanPrecision,SdPrecision,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Random Forest,NoScaler,NoOversampling,0.7381640458988525,0.023570934411512746,0.7633386809892598,0.026686323855832035,0.757077573431851,0.02515532826058018,0.7381640458988525,0.023570934411512746
Random Forest,NoScaler,SMOTE,0.7095744034970555,0.03318666410909907,0.7377213838679284,0.019990094794380873,0.7425967576628759,0.014243222098185756,0.7095744034970555,0.03318666410909907
Random Forest,NoScaler,RandomOverSampler,0.7228097868981846,0.028879956491230933,0.741381079264298,0.01952256786795126,0.7592102400350436,0.018275691733192854,0.7228097868981846,0.028879956491230933
Random Forest,NoScaler,BorderlineSMOTE,0.7150749802683505,0.03478613787604811,0.7484415192599909,0.029400373231951972,0.7399314109181127,0.025308794965260544,0.7150749802683505,0.03478613787604811
Random Forest,NoScaler,KMeansSMOTE,0.7106854471495356,0.038053136577848014,0.7360832280232794,0.03456916950619742,0.7367513369214951,0.020067814591214556,0.7106854471495356,0.038053136577848014
Random Forest,StandardScaler,NoOversampling,0.7381640458988525,0.023570934411512746,0.7633386809892598,0.026686323855832035,0.757077573431851,0.02515532826058018,0.7381640458988525,0.023570934411512746
Random Forest,StandardScaler,SMOTE,0.7095744034970555,0.03318666410909907,0.7377213838679284,0.019990094794380873,0.7425967576628759,0.014243222098185756,0.7095744034970555,0.03318666410909907
Random Forest,StandardScaler,RandomOverSampler,0.7228097868981846,0.028879956491230933,0.741381079264298,0.01952256786795126,0.7592102400350436,0.018275691733192854,0.7228097868981846,0.028879956491230933
Random Forest,StandardScaler,BorderlineSMOTE,0.7150749802683505,0.03478613787604811,0.7499721315048888,0.031171043562721913,0.7401431039869486,0.025633784621885695,0.7150749802683505,0.03478613787604811
Random Forest,StandardScaler,KMeansSMOTE,0.7106854471495356,0.038053136577848014,0.7360832280232794,0.03456916950619742,0.7367513369214951,0.020067814591214556,0.7106854471495356,0.038053136577848014
Random Forest,RobustScaler,NoOversampling,0.7381640458988525,0.023570934411512746,0.7633386809892598,0.026686323855832035,0.757077573431851,0.02515532826058018,0.7381640458988525,0.023570934411512746
Random Forest,RobustScaler,SMOTE,0.7095744034970555,0.03318666410909907,0.7377213838679284,0.019990094794380873,0.7425967576628759,0.014243222098185756,0.7095744034970555,0.03318666410909907
Random Forest,RobustScaler,RandomOverSampler,0.7228097868981846,0.028879956491230933,0.741381079264298,0.01952256786795126,0.7592102400350436,0.018275691733192854,0.7228097868981846,0.028879956491230933
Random Forest,RobustScaler,BorderlineSMOTE,0.7150749802683505,0.03478613787604811,0.7499721315048888,0.031171043562721913,0.7401431039869486,0.025633784621885695,0.7150749802683505,0.03478613787604811
Random Forest,RobustScaler,KMeansSMOTE,0.7106854471495356,0.038053136577848014,0.7360832280232794,0.03456916950619742,0.7367513369214951,0.020067814591214556,0.7106854471495356,0.038053136577848014
Random Forest,QuantileTransformer,NoOversampling,0.7326816829579261,0.02827647873859314,0.7639154155252956,0.023468792695968153,0.7517344115305852,0.02603573499437416,0.7326816829579261,0.02827647873859314
Random Forest,QuantileTransformer,SMOTE,0.7172727824661527,0.037187542222942,0.7453045492403902,0.026671357242522568,0.7463865427544704,0.015868904910311524,0.7172727824661527,0.037187542222942
Random Forest,QuantileTransformer,RandomOverSampler,0.7150992653755086,0.02361501445664812,0.7419374642023676,0.013554151193237484,0.7494949500044621,0.020309996386569756,0.7150992653755086,0.02361501445664812
Random Forest,QuantileTransformer,BorderlineSMOTE,0.7172788537429422,0.03530941838625441,0.7541321021215699,0.03138264745474763,0.7390066133386485,0.027289891944978342,0.7172788537429422,0.03530941838625441
Random Forest,QuantileTransformer,KMeansSMOTE,0.7084876449517334,0.039038342803913134,0.7317722784644698,0.036823471757266885,0.7391521490593943,0.01996229460442834,0.7084876449517334,0.039038342803913134
Support Vector Machine,NoScaler,NoOversampling,0.4719324874021007,0.018778073394418456,0.7188562048480209,0.01825552243641359,0.37571666706906626,0.027190935662239114,0.4719324874021007,0.018778073394418456
Support Vector Machine,NoScaler,SMOTE,0.6205148442717503,0.031093372957940985,0.7271109801826177,0.01020804018802771,0.6675401110065581,0.0413487177967723,0.6205148442717503,0.031093372957940985
Support Vector Machine,NoScaler,RandomOverSampler,0.6238054762916642,0.03262672513527192,0.732349742473835,0.028519410083782403,0.6715322612526933,0.010577857022419259,0.6238054762916642,0.03262672513527192
Support Vector Machine,NoScaler,BorderlineSMOTE,0.5830793515876389,0.017358356879951405,0.7034049352768528,0.024492279174682857,0.6371470130138606,0.010168565005380516,0.5830793515876389,0.017358356879951405
Support Vector Machine,NoScaler,KMeansSMOTE,0.5919252018699532,0.03484575661726872,0.6994259974000925,0.019575296176278914,0.6650657047163506,0.043230576416741114,0.5919252018699532,0.03484575661726872
