"TaxonToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Eoraptor","Late Triassic",2.5,1.62,0.648,2.696,25,0.2,6.74
"Eoraptor","Late Triassic",2.88,1.85,0.642361111111111,2.48263888888889,37.5,0.133333333333333,7.15
"Eoraptor","Late Triassic",1.98,1.48,0.747474747474748,2.89393939393939,30,0.166666666666667,5.73
"Eoraptor","Late Triassic",2.32,1.8,0.775862068965517,2.23706896551724,35,0.142857142857143,5.19
"Eoraptor","Late Triassic",3.04,1.97,0.648026315789474,2.16447368421053,30,0.166666666666667,6.58
"Eoraptor","Late Triassic",2.9,1.74,0.6,1.87586206896552,30,0.166666666666667,5.44
"Eoraptor","Late Triassic",2.71,1.58,0.583025830258303,2.27675276752768,25,0.2,6.17
"Eoraptor","Late Triassic",2.67,1.82,0.681647940074906,1.8689138576779,30,0.166666666666667,4.99
"Eoraptor","Late Triassic",2.56,1.69,0.66015625,1.84375,30,0.166666666666667,4.72
"Eoraptor","Late Triassic",2.94,1.87,0.636054421768708,1.80952380952381,30,0.166666666666667,5.32
"Eoraptor","Late Triassic",2.54,1.55,0.610236220472441,2.55905511811024,32.5,0.153846153846154,6.5
"Eoraptor","Late Triassic",3.33,1.82,0.546546546546547,2.03003003003003,40,0.125,6.76
"Eoraptor","Late Triassic",2.86,1.6,0.559440559440559,1.68881118881119,32.5,0.153846153846154,4.83
"Coelophysis lateral","Late Triassic",3,1.49,0.496666666666667,2.73333333333333,50,0.1,8.2
"Coelophysis lateral","Late Triassic",4.1,1.37,0.334146341463415,2.17073170731707,47,0.106382978723404,8.9
"Coelophysis lateral","Late Triassic",4.4,1.63,0.370454545454545,2.63636363636364,40,0.125,11.6
"Coelophysis lateral","Late Triassic",5.5,1.71,0.310909090909091,1.76363636363636,40,0.125,9.7
"Coelophysis lateral","Late Triassic",5.9,1.79,0.303389830508475,1.57627118644068,40,0.125,9.3
"Coelophysis lateral","Late Triassic",5.4,1.85,0.342592592592593,1.38888888888889,35,0.142857142857143,7.5
"Coelophysis lateral","Late Triassic",4.7,1.58,0.336170212765957,1.17021276595745,35,0.142857142857143,5.5
"Coelophysis lateral","Late Triassic",5.2,1.7,0.326923076923077,1.19230769230769,40,0.125,6.2
"Coelophysis lateral","Late Triassic",3.9,1.49,0.382051282051282,1.38461538461538,35,0.142857142857143,5.4
"Coelophysis lateral","Late Triassic",3.3,1.14,0.345454545454545,1.51515151515152,40,0.125,5
"Coelophysis lateral","Late Triassic",3.5,1.63,0.465714285714286,1.17142857142857,35,0.142857142857143,4.1
"Coelophysis lateral","Late Triassic",3.35,1.86,0.555223880597015,0.985074626865672,40,0.125,3.3
"Coelophysis lateral","Late Triassic",3.54,0.93,0.26271186440678,0.974576271186441,40,0.125,3.45
"Coelophysis lateral","Late Triassic",3.26,0.86,0.263803680981595,1.16564417177914,40,0.125,3.8
"Coelophysis lateral","Late Triassic",2.6,0.95,0.365384615384615,2.57692307692308,45,0.111111111111111,6.7
"Coelophysis lateral","Late Triassic",3.1,1.57,0.506451612903226,2,40,0.125,6.2
"Ceratosaurus lateral","Late Jurassic",19,6.5,0.342105263157895,1.83157894736842,13,0.384615384615385,34.8
"Ceratosaurus lateral","Late Jurassic",18.4,7.3,0.396739130434783,1.7554347826087,13.33,0.375093773443361,32.3
"Ceratosaurus lateral","Late Jurassic",17.4,8.8,0.505747126436782,1.98850574712644,11.5,0.434782608695652,34.6
"Ceratosaurus lateral","Late Jurassic",15,8,0.533333333333333,1.88666666666667,12.5,0.4,28.3
"Ceratosaurus lateral","Late Jurassic",30.03,11.42,0.38028638028638,2.08025308025308,9,0.555555555555556,62.47
"Ceratosaurus lateral","Late Jurassic",27.52,9.75,0.354287790697674,2.17877906976744,10.33,0.484027105517909,59.96
"Ceratosaurus mesial","Late Jurassic",24.2,14.53,0.600413223140496,1.40619834710744,8,0.625,34.03
"Ceratosaurus mesial","Late Jurassic",22.32,17.46,0.782258064516129,1.80062724014337,8.5,0.588235294117647,40.19
"Ceratosaurus mesial","Late Jurassic",23.5,14.33,0.609787234042553,1.87617021276596,8.33,0.600240096038415,44.09
"Ceratosaurus mesial","Late Jurassic",19.73,14.21,0.72022301064369,1.82108464267613,8.33,0.600240096038415,35.93
"Ceratosaurus mesial","Late Jurassic",21.96,14.47,0.658925318761384,1.86247723132969,8,0.625,40.9
"Ceratosaurus lateral","Late Jurassic",31.11,13.27,0.426550948248152,2.13629058180649,11.25,0.444444444444444,66.46
